split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,1742,2949,5431,10334,19697,10730,5227
val,1675,2793,4996,9381,17455,10155,5000
test,1708,2834,5065,9580,17916,9790,4999
