split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,5152,8423,15334,28788,54173,30896,15460
val,5142,8452,15548,29169,55261,31092,15831
test,5080,8342,15085,28400,54567,30177,15320
