split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,1663,1630,1522,1384,1261,3225,1592
val,1681,1596,1444,1336,1221,3054,1522
test,1663,1659,1516,1394,1213,3178,1571
