split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,3032,4708,7624,12227,19514,14736,7333
val,3121,4745,7521,12151,19507,15245,7692
test,3126,4676,7331,11773,18772,14624,7350
