split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,2597,4277,7827,14688,27599,15211,7675
val,2570,4352,7923,14907,28196,15668,7721
test,2609,4121,7510,13821,25987,15276,7768
