split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,1260,1521,1884,2179,2368,3733,1836
val,1276,1525,1774,1973,2128,3572,1817
test,1277,1509,1859,2212,2580,3776,1902
