# model_name=pna_reverse_mp_with_port_and_ego_fedavg
# seed=0
# started_at=20260119-124656
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,nan,0.7709875447962006,0.47404256192120636,0.5560040473937988,0.678284764289856,0.6980759501457214,0.4477699398994446,0.17692308127880096,0.43820011615753174,0.6381716132164001,0.5093804597854614,0.07956241071224213,0.5977296233177185,0.39436617493629456
2,nan,0.6768580915718307,0.6938894472338937,0.8703374862670898,0.9569308757781982,0.929543137550354,0.9948698282241821,0.3606823682785034,0.5390437841415405,0.6820144057273865,0.5557233691215515,0.4449414908885956,0.6494845747947693,0.6492125988006592
3,nan,0.6142765403078481,0.715384076942097,0.9554744958877563,0.9571196436882019,0.9310624003410339,0.9904580116271973,0.498563677072525,0.5057668089866638,0.6808074712753296,0.5752487182617188,0.4615384638309479,0.6492066383361816,0.6639785170555115
4,nan,0.5731284857365457,0.7258751771666787,0.9588941335678101,0.9571196436882019,0.8539130687713623,0.9996218085289001,0.5558781027793884,0.5080248117446899,0.7133573889732361,0.6187779903411865,0.5053566098213196,0.6493209004402161,0.6643624901771545
5,nan,0.5276354685513326,0.7546740607781843,0.9588941335678101,0.9573082327842712,0.9780964851379395,0.9996218085289001,0.6495134830474854,0.5271286368370056,0.7207151651382446,0.649189829826355,0.5466904044151306,0.6502764225006104,0.6639800667762756
6,nan,0.5241846377969547,0.741527183489366,0.9588941335678101,0.9567420482635498,0.9935089945793152,0.9493545293807983,0.6403217911720276,0.45520806312561035,0.723100483417511,0.6352208852767944,0.5302096009254456,0.6498759984970093,0.6643624901771545
7,nan,0.5011202287253623,0.7582884539257396,0.9592726826667786,0.9571196436882019,1.0,0.9992432594299316,0.6028450727462769,0.5298202633857727,0.7249734997749329,0.6744815111160278,0.5797911882400513,0.6495139598846436,0.6641119122505188
8,nan,0.5130461039756817,0.7349532815543088,0.9583257436752319,0.9571196436882019,0.8856478929519653,0.9977263808250427,0.6229638457298279,0.43560513854026794,0.7105519771575928,0.638510525226593,0.5643514394760132,0.6497034430503845,0.6639800667762756
9,nan,0.4767153346828978,0.7558448152108626,0.9594619870185852,0.9584386944770813,0.9751166701316833,1.0,0.6008813977241516,0.5006456971168518,0.7270451188087463,0.6755713820457458,0.6033281683921814,0.6505795121192932,0.6632243394851685
10,nan,0.46567456447587774,0.7558920789848674,0.9592726826667786,0.9573082327842712,1.0,0.9877535104751587,0.6475325226783752,0.49510976672172546,0.7205448746681213,0.6491684317588806,0.5841618776321411,0.649980902671814,0.6639800667762756
11,nan,0.44795099853827136,0.7533082934943113,0.9598401188850403,0.9620025753974915,1.0,0.9998109340667725,0.5734137892723083,0.49467507004737854,0.7261843085289001,0.6666666865348816,0.5894736647605896,0.6512245535850525,0.6630995273590088
12,nan,0.43136092179421115,0.7616362734274431,0.9628555774688721,0.9638683795928955,0.999241828918457,0.9998109340667725,0.5521126389503479,0.5594620704650879,0.7258387207984924,0.6768864393234253,0.6259345412254333,0.6498588919639587,0.6621289849281311
13,nan,0.4154173599941023,0.7678691798990424,0.9604067802429199,0.9749244451522827,0.9998103380203247,0.9994332790374756,0.6579941511154175,0.5403689742088318,0.7306467294692993,0.672325074672699,0.5985375046730042,0.6500940918922424,0.6620196104049683
14,nan,0.41259786032366474,0.7611431100151755,0.9609729647636414,0.9603174328804016,0.9998103380203247,0.9998109340667725,0.6294660568237305,0.5342216491699219,0.7222335934638977,0.666576623916626,0.585391640663147,0.6502857208251953,0.6634872555732727
15,nan,0.39582683299608845,0.7661494666879828,0.9671599268913269,0.9745596647262573,0.999241828918457,0.9994332790374756,0.622840166091919,0.5530921816825867,0.7301129698753357,0.6749891638755798,0.5926333069801331,0.6511973738670349,0.6623842716217041
16,nan,0.3992450642896621,0.7680669914592396,0.9660404920578003,0.9644268751144409,0.9990525245666504,0.999622106552124,0.6322580575942993,0.5599847435951233,0.7273765802383423,0.6752650737762451,0.6097511649131775,0.653335690498352,0.6616235971450806
17,nan,0.4152959443439057,0.7585172599012201,0.9867081046104431,0.9699785709381104,0.976839005947113,0.9994332790374756,0.5043421983718872,0.5837421417236328,0.7169249653816223,0.6775751709938049,0.6207845211029053,0.6497851610183716,0.6575767397880554
18,nan,0.3868657139939029,0.764058069749312,0.9703183770179749,0.9642407894134521,0.9990525245666504,0.999622106552124,0.5975610017776489,0.5648654103279114,0.727127194404602,0.6726862192153931,0.5972729325294495,0.649566650390625,0.6623255610466003
19,nan,0.3880240488998103,0.7621847228570418,0.9684627652168274,0.9736467003822327,0.999241828918457,0.9992443919181824,0.5665763020515442,0.5673363208770752,0.7280838489532471,0.6736994385719299,0.5958930253982544,0.6500468850135803,0.6618004441261292
20,nan,0.3846076581222128,0.764042009006847,0.9671599268913269,0.9688729643821716,0.999431312084198,0.9998109340667725,0.6144200563430786,0.5496869683265686,0.7270107865333557,0.6737861633300781,0.591395914554596,0.6500553488731384,0.662831723690033
21,nan,0.376212938861095,0.768093385479667,0.9769436717033386,0.9778329730033875,0.998863160610199,0.999622106552124,0.6457989811897278,0.552498996257782,0.7321823835372925,0.6659343838691711,0.583010196685791,0.6521894931793213,0.6641508936882019
22,nan,0.38294497721926124,0.7661626447330822,0.9776745438575745,0.9697944521903992,0.9984849095344543,0.9998109340667725,0.6072811484336853,0.5725895762443542,0.7289981842041016,0.6711409091949463,0.5884068608283997,0.6519839763641357,0.6616235971450806
