seed,graph_id,phase,local_epoch,train_loss,val_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,task,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate,best_epoch,eval_loss
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,4.0,,,,,,,,,,cycle4,1484.0,263.0,2197.0,56.0,0.8494562106468231,0.9636363636363636,0.9029510617256165,0.9029510617256165,0.9029510617256165,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,4.0,,,,,,,,,,cycle5,1026.0,419.0,2507.0,48.0,0.7100346020761246,0.9553072625698324,0.8146089911460876,0.8146089911460876,0.8146089911460876,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,4.0,,,,,,,,,,cycle6,586.0,844.0,2516.0,54.0,0.4097902097902098,0.915625,0.5661836266517639,0.5661836266517639,0.5661836266517639,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,5.0,0.2625443587303162,0.2750382219552993,0.92455,0.7122499942779541,0.9025382677775624,0.8610218167304993,0.8610218167304993,0.8605691194534302,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,5.0,,,,,,,,,,cycle2,2237.0,24.0,1728.0,11.0,0.9893852277753208,0.9951067615658364,0.9922376871109008,0.9922376871109008,0.9899742007255554,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,5.0,,,,,,,,,,cycle3,1971.0,37.0,1972.0,20.0,0.9815737051792828,0.9899547965846308,0.9857463836669922,0.9857463836669922,0.9857463836669922,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,5.0,,,,,,,,,,cycle4,1319.0,53.0,2407.0,221.0,0.9613702623906706,0.8564935064935065,0.905906617641449,0.905906617641449,0.905906617641449,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,5.0,,,,,,,,,,cycle5,904.0,184.0,2742.0,170.0,0.8308823529411765,0.8417132216014898,0.8362627625465393,0.8362627625465393,0.8362627625465393,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,5.0,,,,,,,,,,cycle6,556.0,705.0,2655.0,84.0,0.4409199048374306,0.86875,0.5849552750587463,0.5849552750587463,0.5849552750587463,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,6.0,0.2331167129278183,0.2050344845056533,0.94015,0.7540000081062317,0.924178121238994,0.8846597671508789,0.8846597671508789,0.8843881487846375,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,6.0,,,,,,,,,,cycle2,2244.0,17.0,1735.0,4.0,0.9924812030075189,0.998220640569395,0.9953426122665404,0.9953426122665404,0.9939845204353333,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,6.0,,,,,,,,,,cycle3,1986.0,29.0,1980.0,5.0,0.98560794044665,0.9974886991461576,0.9915127158164978,0.9915127158164978,0.9915127158164978,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,6.0,,,,,,,,,,cycle4,1487.0,50.0,2410.0,53.0,0.9674690956408588,0.9655844155844155,0.9665257930755616,0.9665257930755616,0.9665257930755616,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,6.0,,,,,,,,,,cycle5,1026.0,314.0,2612.0,48.0,0.7656716417910447,0.9553072625698324,0.850041389465332,0.850041389465332,0.850041389465332,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,6.0,,,,,,,,,,cycle6,552.0,589.0,2771.0,88.0,0.4837861524978089,0.8625,0.6198764443397522,0.6198764443397522,0.6198764443397522,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,7.0,0.2322986872196197,0.2303236908912658,0.91945,0.7127500176429749,0.9008920332205476,0.8632164001464844,0.8632164001464844,0.8626759648323059,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,7.0,,,,,,,,,,cycle2,2226.0,21.0,1731.0,22.0,0.9906542056074766,0.9902135231316724,0.9904338121414183,0.9904338121414183,0.9877318143844604,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,7.0,,,,,,,,,,cycle3,1982.0,51.0,1958.0,9.0,0.9749139203148056,0.9954796584630838,0.9850894808769226,0.9850894808769226,0.9850894808769226,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,7.0,,,,,,,,,,cycle4,1478.0,97.0,2363.0,62.0,0.9384126984126984,0.9597402597402598,0.9489566683769226,0.9489566683769226,0.9489566683769226,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,7.0,,,,,,,,,,cycle5,1042.0,419.0,2507.0,32.0,0.7132101300479123,0.9702048417132216,0.822090744972229,0.822090744972229,0.822090744972229,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,7.0,,,,,,,,,,cycle6,594.0,852.0,2508.0,46.0,0.4107883817427386,0.928125,0.5695110559463501,0.5695110559463501,0.5695110559463501,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,8.0,0.2321231466531753,0.2464171496629714,0.9443,0.7774999737739563,0.9268548916611952,0.880020260810852,0.880020260810852,0.879815399646759,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,8.0,,,,,,,,,,cycle2,2244.0,12.0,1740.0,4.0,0.9946808510638298,0.998220640569395,0.9964475631713868,0.9964475631713868,0.9954233765602112,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,8.0,,,,,,,,,,cycle3,1974.0,26.0,1983.0,17.0,0.987,0.9914615770969362,0.9892257452011108,0.9892257452011108,0.9892257452011108,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,8.0,,,,,,,,,,cycle4,1465.0,32.0,2428.0,75.0,0.978623914495658,0.9512987012987012,0.9647679328918456,0.9647679328918456,0.9647679328918456,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,8.0,,,,,,,,,,cycle5,904.0,148.0,2778.0,170.0,0.8593155893536122,0.8417132216014898,0.8504233360290527,0.8504233360290527,0.8504233360290527,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,8.0,,,,,,,,,,cycle6,471.0,461.0,2899.0,169.0,0.5053648068669528,0.7359375,0.5992366671562195,0.5992366671562195,0.5992366671562195,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,9.0,0.2126772590279579,0.2321963807344436,0.90895,0.6850000023841858,0.8905188480731077,0.8538210988044739,0.8538210988044739,0.8535383343696594,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,9.0,,,,,,,,,,cycle2,2242.0,16.0,1736.0,6.0,0.9929140832595216,0.9973309608540926,0.9951175451278688,0.9951175451278688,0.993703544139862,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,9.0,,,,,,,,,,cycle3,1984.0,27.0,1982.0,7.0,0.9865738438587768,0.9964841788046208,0.9915042519569396,0.9915042519569396,0.9915042519569396,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,9.0,,,,,,,,,,cycle4,1504.0,83.0,2377.0,36.0,0.9477000630119724,0.9766233766233766,0.961944341659546,0.961944341659546,0.961944341659546,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,9.0,,,,,,,,,,cycle5,1060.0,580.0,2346.0,14.0,0.6463414634146342,0.9869646182495344,0.781134843826294,0.781134843826294,0.781134843826294,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,9.0,,,,,,,,,,cycle6,616.0,1028.0,2332.0,24.0,0.3746958637469586,0.9625,0.5394045114517212,0.5394045114517212,0.5394045114517212,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,10.0,0.2088284015655517,0.2104404265880584,0.94255,0.765999972820282,0.9262089782287584,0.889258086681366,0.889258086681366,0.8888618350028992,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,10.0,,,,,,,,,,cycle2,2228.0,12.0,1740.0,20.0,0.9946428571428572,0.9911032028469752,0.9928698539733888,0.9928698539733888,0.9908884167671204,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,10.0,,,,,,,,,,cycle3,1952.0,30.0,1979.0,39.0,0.9848637739656912,0.98041185334003,0.9826327562332152,0.9826327562332152,0.9826327562332152,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,10.0,,,,,,,,,,cycle4,1483.0,40.0,2420.0,57.0,0.9737360472751148,0.962987012987013,0.9683316946029664,0.9683316946029664,0.9683316946029664,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,10.0,,,,,,,,,,cycle5,985.0,184.0,2742.0,89.0,0.8426005132591959,0.9171322160148976,0.8782879710197449,0.8782879710197449,0.8782879710197449,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,10.0,,,,,,,,,,cycle6,563.0,601.0,2759.0,77.0,0.4836769759450172,0.8796875,0.6241685152053833,0.6241685152053833,0.6241685152053833,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,11.0,0.216706158041954,0.204543156504631,0.92875,0.7325000166893005,0.9121075680009868,0.8741496801376343,0.8741496801376343,0.8738210797309875,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,11.0,,,,,,,,,,cycle2,2246.0,23.0,1729.0,2.0,0.989863375936536,0.9991103202846976,0.9944653511047364,0.9944653511047364,0.9928222298622132,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,11.0,,,,,,,,,,cycle3,1990.0,43.0,1966.0,1.0,0.9788489916379736,0.9994977398292316,0.9890655875205994,0.9890655875205994,0.9890655875205994,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,11.0,,,,,,,,,,cycle4,1525.0,118.0,2342.0,15.0,0.928180158247109,0.9902597402597404,0.9582155346870422,0.9582155346870422,0.9582155346870422,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,11.0,,,,,,,,,,cycle5,1041.0,362.0,2564.0,33.0,0.7419814682822523,0.9692737430167596,0.8405328989028931,0.8405328989028931,0.8405328989028931,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,11.0,,,,,,,,,,cycle6,592.0,780.0,2580.0,48.0,0.4314868804664723,0.925,0.5884691476821899,0.5884691476821899,0.5884691476821899,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,12.0,0.2099556477069854,0.2270385594367981,0.9178,0.7014999985694885,0.8994249357641013,0.8627918362617493,0.8627918362617493,0.8624303936958313,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,12.0,,,,,,,,,,cycle2,2231.0,12.0,1740.0,17.0,0.9946500222915736,0.9924377224199288,0.9935426712036132,0.9935426712036132,0.9917355179786682,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,12.0,,,,,,,,,,cycle3,1975.0,34.0,1975.0,16.0,0.9830761572921852,0.9919638372677048,0.9875000715255736,0.9875000715255736,0.9875000715255736,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,12.0,,,,,,,,,,cycle4,1494.0,58.0,2402.0,46.0,0.9626288659793816,0.9701298701298702,0.9663648009300232,0.9663648009300232,0.9663648009300232,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,12.0,,,,,,,,,,cycle5,1042.0,450.0,2476.0,32.0,0.6983914209115282,0.9702048417132216,0.81215900182724,0.81215900182724,0.81215900182724,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,12.0,,,,,,,,,,cycle6,609.0,948.0,2412.0,31.0,0.3911368015414258,0.9515625,0.5543923377990723,0.5543923377990723,0.5543923377990723,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,13.0,0.2085116410255432,0.190585819363594,0.9421,0.7642499804496765,0.9270780856423172,0.8906342387199402,0.8906342387199402,0.890347957611084,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,13.0,,,,,,,,,,cycle2,2245.0,19.0,1733.0,3.0,0.9916077738515902,0.9986654804270464,0.995124101638794,0.995124101638794,0.9936926364898682,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,13.0,,,,,,,,,,cycle3,1986.0,39.0,1970.0,5.0,0.9807407407407408,0.9974886991461576,0.9890437722206116,0.9890437722206116,0.9890437722206116,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,13.0,,,,,,,,,,cycle4,1521.0,79.0,2381.0,19.0,0.950625,0.9876623376623376,0.96878981590271,0.96878981590271,0.96878981590271,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,13.0,,,,,,,,,,cycle5,1024.0,242.0,2684.0,50.0,0.8088467614533965,0.9534450651769087,0.8752136826515198,0.8752136826515198,0.8752136826515198,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,13.0,,,,,,,,,,cycle6,585.0,647.0,2713.0,55.0,0.4748376623376623,0.9140625,0.625,0.625,0.625,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,14.0,0.2074995710849762,0.1979376995563507,0.9429,0.7682499885559082,0.9275196750444274,0.8906229138374329,0.8906229138374329,0.8903523683547974,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,14.0,,,,,,,,,,cycle2,2243.0,16.0,1736.0,5.0,0.9929172200088536,0.9977758007117438,0.9953405261039734,0.9953405261039734,0.9939879775047302,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,14.0,,,,,,,,,,cycle3,1990.0,48.0,1961.0,1.0,0.9764474975466144,0.9994977398292316,0.9878381490707396,0.9878381490707396,0.9878381490707396,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,14.0,,,,,,,,,,cycle4,1498.0,65.0,2395.0,42.0,0.9584133077415228,0.9727272727272728,0.9655172228813172,0.9655172228813172,0.9655172228813172,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,14.0,,,,,,,,,,cycle5,1001.0,198.0,2728.0,73.0,0.8348623853211009,0.9320297951582868,0.8807743191719055,0.8807743191719055,0.8807743191719055,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,14.0,,,,,,,,,,cycle6,575.0,629.0,2731.0,65.0,0.4775747508305648,0.8984375,0.623644232749939,0.623644232749939,0.623644232749939,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,15.0,0.1895373449325561,0.2697829573154449,0.90435,0.671500027179718,0.8861106149907723,0.8500731587409973,0.8500731587409973,0.849894642829895,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,15.0,,,,,,,,,,cycle2,2244.0,10.0,1742.0,4.0,0.9955634427684116,0.998220640569395,0.9968902468681335,0.9968902468681335,0.995997667312622,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,15.0,,,,,,,,,,cycle3,1985.0,23.0,1986.0,6.0,0.9885458167330676,0.9969864389753892,0.992748200893402,0.992748200893402,0.992748200893402,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,15.0,,,,,,,,,,cycle4,1519.0,102.0,2358.0,21.0,0.9370758790869832,0.9863636363636364,0.961088240146637,0.961088240146637,0.961088240146637,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,15.0,,,,,,,,,,cycle5,1065.0,657.0,2269.0,9.0,0.6184668989547039,0.9916201117318436,0.7618025541305542,0.7618025541305542,0.7618025541305542,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,15.0,,,,,,,,,,cycle6,629.0,1070.0,2290.0,11.0,0.3702177751618599,0.9828125,0.5378366708755493,0.5378366708755493,0.5378366708755493,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,16.0,0.1860396373271942,0.2203956931829452,0.93925,0.7572500109672546,0.922626249761192,0.8835679888725281,0.8835679888725281,0.8830118179321289,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,16.0,,,,,,,,,,cycle2,2246.0,39.0,1713.0,2.0,0.9829321663019692,0.9991103202846976,0.9909552335739136,0.9909552335739136,0.9881742596626282,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,16.0,,,,,,,,,,cycle3,1990.0,51.0,1958.0,1.0,0.9750122488975992,0.9994977398292316,0.9871031641960144,0.9871031641960144,0.9871031641960144,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,16.0,,,,,,,,,,cycle4,1478.0,42.0,2418.0,62.0,0.9723684210526315,0.9597402597402598,0.9660131335258484,0.9660131335258484,0.9660131335258484,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,16.0,,,,,,,,,,cycle5,971.0,228.0,2698.0,103.0,0.8098415346121768,0.904096834264432,0.8543775081634521,0.8543775081634521,0.8543775081634521,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,16.0,,,,,,,,,,cycle6,559.0,606.0,2754.0,81.0,0.4798283261802575,0.8734375,0.619390606880188,0.619390606880188,0.619390606880188,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,17.0,0.1957439494132995,0.3680011178255081,0.93085,0.7379999756813049,0.9023925471098878,0.8337225914001465,0.8337225914001465,0.8335332870483398,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,17.0,,,,,,,,,,cycle2,2241.0,8.0,1744.0,7.0,0.9964428634948866,0.9968861209964412,0.9966644048690796,0.9966644048690796,0.9957179427146912,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,17.0,,,,,,,,,,cycle3,1953.0,21.0,1988.0,38.0,0.9893617021276596,0.9809141135107986,0.9851197600364684,0.9851197600364684,0.9851197600364684,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,17.0,,,,,,,,,,cycle4,1202.0,4.0,2456.0,338.0,0.9966832504145936,0.7805194805194805,0.8754552006721497,0.8754552006721497,0.8754552006721497,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,17.0,,,,,,,,,,cycle5,660.0,30.0,2896.0,414.0,0.9565217391304348,0.6145251396648045,0.7482993006706238,0.7482993006706238,0.7482993006706238,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,17.0,,,,,,,,,,cycle6,337.0,220.0,3140.0,303.0,0.6050269299820467,0.5265625,0.5630743503570557,0.5630743503570557,0.5630743503570557,640.0,0.1599999964237213,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val,18.0,0.1856977980136871,0.2239151982069015,0.9487,0.7879999876022339,0.932375428420775,0.8902571797370911,0.8902571797370911,0.8899656534194946,4000.0,,,,,,,,,,,,,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,18.0,,,,,,,,,,cycle2,2238.0,13.0,1739.0,10.0,0.9942247889826744,0.9955516014234876,0.9948877692222596,0.9948877692222596,0.9934304356575012,2248.0,0.5619999766349792,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,18.0,,,,,,,,,,cycle3,1972.0,25.0,1984.0,19.0,0.9874812218327492,0.9904570567553992,0.9889668822288512,0.9889668822288512,0.9889668822288512,1991.0,0.4977500140666961,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,18.0,,,,,,,,,,cycle4,1465.0,39.0,2421.0,75.0,0.9740691489361702,0.9512987012987012,0.962549328804016,0.962549328804016,0.962549328804016,1540.0,0.3849999904632568,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,18.0,,,,,,,,,,cycle5,898.0,71.0,2855.0,176.0,0.9267285861713106,0.8361266294227188,0.8790993690490723,0.8790993690490723,0.8790993690490723,1074.0,0.2685000002384186,,
2,./andrea/test_data/data_4000_5_1.5_chordal,val_task,18.0,,,,,,,,,,cycle6,500.0,458.0,2902.0,140.0,0.5219206680584552,0.78125,0.6257822513580322,0.6257822513580322,0.6257822513580322,640.0,0.1599999964237213,,
