seed,graph_id,phase,local_epoch,train_loss,val_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,task,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate,best_epoch,eval_loss
1,./andrea/test_data/data_4000_5_2.5_chordal,val,1.0,0.5096845605373382,0.3778872323036193,0.84135,0.5364999771118164,0.8275262271022449,0.8284037709236145,0.8284037709236145,0.8284037709236145,4000.0,,,,,,,,,,,,,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,1.0,,,,,,,,,,cycle2,1764.0,42.0,2173.0,21.0,0.9767441860465116,0.9882352941176472,0.9824561476707458,0.9824561476707458,0.9824561476707458,1785.0,0.4462499916553497,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,1.0,,,,,,,,,,cycle3,1628.0,212.0,1965.0,195.0,0.8847826086956522,0.8930334613274822,0.8888888955116272,0.8888888955116272,0.8888888955116272,1823.0,0.4557499885559082,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,1.0,,,,,,,,,,cycle4,1534.0,340.0,1787.0,339.0,0.8185699039487727,0.8190069407367859,0.8187883496284485,0.8187883496284485,0.8187883496284485,1873.0,0.4682500064373016,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,1.0,,,,,,,,,,cycle5,1406.0,675.0,1630.0,289.0,0.6756367131186929,0.8294985250737463,0.7447033524513245,0.7447033524513245,0.7447033524513245,1695.0,0.4237500131130218,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,1.0,,,,,,,,,,cycle6,1280.0,700.0,1660.0,360.0,0.6464646464646465,0.7804878048780488,0.7071822881698608,0.7071822881698608,0.7071822881698608,1640.0,0.4099999964237213,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val,2.0,0.324402217388153,0.2887639000415802,0.88005,0.5985000133514404,0.8766644388463317,0.8799551129341125,0.8799551129341125,0.8799551129341125,4000.0,,,,,,,,,,,,,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,2.0,,,,,,,,,,cycle2,1782.0,59.0,2156.0,3.0,0.9679521998913634,0.9983193277310924,0.9829012751579284,0.9829012751579284,0.9829012751579284,1785.0,0.4462499916553497,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,2.0,,,,,,,,,,cycle3,1801.0,90.0,2087.0,22.0,0.9524061343204654,0.9879319802523312,0.9698437452316284,0.9698437452316284,0.9698437452316284,1823.0,0.4557499885559082,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,2.0,,,,,,,,,,cycle4,1834.0,418.0,1709.0,39.0,0.8143872113676732,0.9791777896422852,0.8892120718955994,0.8892120718955994,0.8892120718955994,1873.0,0.4682500064373016,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,2.0,,,,,,,,,,cycle5,1588.0,664.0,1641.0,107.0,0.7051509769094139,0.9368731563421828,0.8046618103981018,0.8046618103981018,0.8046618103981018,1695.0,0.4237500131130218,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,2.0,,,,,,,,,,cycle6,1521.0,878.0,1482.0,119.0,0.634014172571905,0.927439024390244,0.7531567811965942,0.7531567811965942,0.7531567811965942,1640.0,0.4099999964237213,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val,3.0,0.2612190668582916,0.2258054869174957,0.9012,0.6477500200271606,0.8918445539135195,0.8918754458427429,0.8918754458427429,0.8918754458427429,4000.0,,,,,,,,,,,,,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,3.0,,,,,,,,,,cycle2,1768.0,20.0,2195.0,17.0,0.988814317673378,0.9904761904761904,0.9896445274353028,0.9896445274353028,0.9896445274353028,1785.0,0.4462499916553497,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,3.0,,,,,,,,,,cycle3,1810.0,30.0,2147.0,13.0,0.9836956521739132,0.9928688974218322,0.9882609844207764,0.9882609844207764,0.9882609844207764,1823.0,0.4557499885559082,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,3.0,,,,,,,,,,cycle4,1738.0,144.0,1983.0,135.0,0.9234856535600424,0.9279231179925254,0.9256991147994996,0.9256991147994996,0.9256991147994996,1873.0,0.4682500064373016,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,3.0,,,,,,,,,,cycle5,1461.0,479.0,1826.0,234.0,0.7530927835051546,0.8619469026548673,0.8038514256477356,0.8038514256477356,0.8038514256477356,1695.0,0.4237500131130218,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,3.0,,,,,,,,,,cycle6,1370.0,634.0,1726.0,270.0,0.6836327345309381,0.8353658536585366,0.7519209384918213,0.7519209384918213,0.7519209384918213,1640.0,0.4099999964237213,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val,4.0,0.2330847918987274,0.2077705093622207,0.9173,0.6825000047683716,0.9106235815411218,0.9097338914871216,0.9097338914871216,0.9097338914871216,4000.0,,,,,,,,,,,,,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,4.0,,,,,,,,,,cycle2,1784.0,73.0,2142.0,1.0,0.9606892837910608,0.999439775910364,0.9796814918518066,0.9796814918518066,0.9796814918518066,1785.0,0.4462499916553497,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,4.0,,,,,,,,,,cycle3,1816.0,67.0,2110.0,7.0,0.9644184811471056,0.9961601755348328,0.9800323247909546,0.9800323247909546,0.9800323247909546,1823.0,0.4557499885559082,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,4.0,,,,,,,,,,cycle4,1839.0,228.0,1899.0,34.0,0.8896952104499274,0.98184730379071,0.9335026144981384,0.9335026144981384,0.9335026144981384,1873.0,0.4682500064373016,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,4.0,,,,,,,,,,cycle5,1550.0,356.0,1949.0,145.0,0.8132214060860441,0.9144542772861356,0.8608719706535339,0.8608719706535339,0.8608719706535339,1695.0,0.4237500131130218,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,4.0,,,,,,,,,,cycle6,1437.0,540.0,1820.0,203.0,0.7268588770864947,0.876219512195122,0.7945811152458191,0.7945811152458191,0.7945811152458191,1640.0,0.4099999964237213,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val,5.0,0.2033029232025146,0.213836361169815,0.91635,0.6897500157356262,0.904470964426426,0.9020246267318726,0.9020246267318726,0.9020246267318726,4000.0,,,,,,,,,,,,,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,5.0,,,,,,,,,,cycle2,1781.0,18.0,2197.0,4.0,0.9899944413563092,0.9977591036414566,0.9938615560531616,0.9938615560531616,0.9938615560531616,1785.0,0.4462499916553497,,
1,./andrea/test_data/data_4000_5_2.5_chordal,val_task,5.0,,,,,,,,,,cycle3,1795.0,33.0,2144.0,28.0,0.9819474835886216,0.9846407021393307,0.9832922220230104,0.9832922220230104,0.9832922220230104,1823.0,0.4557499885559082,,
