split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,3378,5723,10358,19557,37578,20609,10370
val,3467,5680,10244,19293,36352,20727,10424
test,3418,5729,10348,19374,36666,20479,10126
