split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,3864,4660,5652,6481,7166,11520,5697
val,3790,4585,5624,6606,7337,11106,5615
test,3904,4724,5711,6764,7673,11508,5831
