split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,2631,3381,4780,7001,10194,9513,4779
val,2599,3268,4704,6809,10082,9176,4558
test,2646,3333,4611,6680,9943,9361,4741
