split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,5115,6229,7430,8549,9644,14942,7601
val,5081,6212,7596,8770,9841,14922,7459
test,5209,6246,7523,8777,9620,15252,7814
