split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,5138,7580,12217,19521,30776,24563,12510
val,5193,7665,12074,19312,30393,24581,12396
test,5267,7852,12316,19729,30988,24624,12383
