# model_name=pna_reverse_mp_with_port_and_ego_fedprox
# seed=0
# started_at=20251227-192503
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,nan,0.8168272806797177,0.2507169951092113,0.5645894408226013,0.48087188601493835,0.07549908757209778,0.0,0.0,0.0,0.6466501355171204,0.5104100108146667,0.0,0.4798663854598999,0.0
2,nan,0.8124172782991081,0.3662844923409549,0.5410363674163818,0.551862895488739,0.5249427556991577,0.7402697205543518,0.0,0.0,0.0783073902130127,0.5606542825698853,0.0,0.47999998927116394,0.5520560145378113
3,nan,0.8107193398755044,0.4289723268964074,0.5380204916000366,0.6848616600036621,0.507899820804596,0.8217731714248657,0.0,0.48776763677597046,0.14013637602329254,0.5456583499908447,0.0,0.4914481043815613,0.5011299848556519
4,nan,0.8055653609335423,0.4708002602512186,0.5968796014785767,0.6050242781639099,0.5688390135765076,0.6131811738014221,0.42401596903800964,0.4624718129634857,0.2256365269422531,0.6242635846138,0.0,0.4991304576396942,0.5593604445457458
5,nan,0.8042360686231405,0.4698424000631679,0.5484859943389893,0.6389291882514954,0.5222904682159424,0.7680619955062866,0.4189073443412781,0.5593760013580322,0.0975726991891861,0.6071636080741882,0.0,0.4944550693035126,0.5130240321159363
6,nan,0.8008740607183427,0.4516781094399365,0.570033848285675,0.5792701244354248,0.5751063227653503,0.5743756890296936,0.4026963710784912,0.5538938045501709,0.15583814680576324,0.48955076932907104,0.0,0.5056952238082886,0.5619989037513733
7,nan,0.7995895745698363,0.47593973170627246,0.6240839958190918,0.5770347714424133,0.628057599067688,0.5577815175056458,0.3919372856616974,0.5463236570358276,0.33386391401290894,0.47406691312789917,0.0,0.513708233833313,0.5884791612625122
8,nan,0.798676477978006,0.5089063563130118,0.5816813707351685,0.6625014543533325,0.5911385416984558,0.675041675567627,0.43437862396240234,0.546057403087616,0.4309936463832855,0.595024824142456,0.0,0.49893718957901,0.5822151899337769
9,nan,0.7971429573372006,0.5220094296065244,0.581267774105072,0.6974533796310425,0.5764268040657043,0.6976003646850586,0.43637797236442566,0.5593615174293518,0.5276381969451904,0.5883163809776306,0.0,0.5002423524856567,0.5774189829826355
10,nan,0.7970741423778236,0.5218908434564417,0.6496134996414185,0.6444569230079651,0.6334254741668701,0.6326775550842285,0.4221740663051605,0.5661816000938416,0.44300609827041626,0.5811594128608704,0.0,0.5483160614967346,0.6197885870933533
