run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle5,1,,,,,,,,,,2000,0.0,0.0,1813.0,187.0,0.0,0.0,0.0,0.0,0.0,187.0,0.09350000321865082
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle6,1,,,,,,,,,,2000,0.0,0.0,1817.0,183.0,0.0,0.0,0.0,0.0,0.0,183.0,0.09149999916553497
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client,val,,1,,,1.4022219076156617,0.7692,0.390500009059906,0.0,0.0,0.0,0.0,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle2,1,,,,,,,,,,2000,0.0,0.0,1138.0,862.0,0.0,0.0,0.0,0.0,0.0,862.0,0.4309999942779541
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle3,1,,,,,,,,,,2000,0.0,0.0,1309.0,691.0,0.0,0.0,0.0,0.0,0.0,691.0,0.34549999237060547
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle4,1,,,,,,,,,,2000,0.0,0.0,1609.0,391.0,0.0,0.0,0.0,0.0,0.0,391.0,0.19550000131130219
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle5,1,,,,,,,,,,2000,0.0,0.0,1764.0,236.0,0.0,0.0,0.0,0.0,0.0,236.0,0.11800000071525574
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle6,1,,,,,,,,,,2000,0.0,0.0,1872.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,0.06400000303983688
fedavg,fedavg,504|859,504|859,1,all,all,global_val_mean,val,,1,,,1.8228557333946227,0.84775,0.5764999985694885,0.0,0.0,0.0,0.0,4000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,train_epoch,train,,2,1.0,0.5813818922042847,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,train_epoch,train,,2,2.0,0.5029176354408265,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,train_epoch,train,,2,3.0,0.41963924074172976,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch,val,,2,,,0.5338907983303071,0.845,0.671999990940094,0.4759972954699121,0.47730693221092224,0.47730693221092224,0.47730693221092224,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle2,2,,,,,,,,,,2000,82.0,187.0,1731.0,0.0,0.3048327137546468,1.0,0.4672364890575409,0.4672364890575409,0.4672364890575409,82.0,0.04100000113248825
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle3,2,,,,,,,,,,2000,123.0,281.0,1591.0,5.0,0.30445544554455445,0.9609375,0.4624060094356537,0.4624060094356537,0.4624060094356537,128.0,0.06400000303983688
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle4,2,,,,,,,,,,2000,154.0,289.0,1554.0,3.0,0.3476297968397291,0.9808917197452229,0.5133333206176758,0.5133333206176758,0.5133333206176758,157.0,0.07850000262260437
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle5,2,,,,,,,,,,2000,165.0,300.0,1513.0,22.0,0.3548387096774194,0.8823529411764706,0.5061349272727966,0.5061349272727966,0.5061349272727966,187.0,0.09350000321865082
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle6,2,,,,,,,,,,2000,180.0,460.0,1357.0,3.0,0.28125,0.9836065573770492,0.43742403388023376,0.43742403388023376,0.43742403388023376,183.0,0.09149999916553497
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,train_epoch,train,,2,1.0,0.6166306614875794,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,train_epoch,train,,2,2.0,0.5176397540569305,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,train_epoch,train,,2,3.0,0.4411774003505707,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch,val,,2,,,0.49570761919021605,0.8183,0.5920000076293945,0.708018640527077,0.6443666815757751,0.6443666815757751,0.6443666815757751,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle2,2,,,,,,,,,,2000,806.0,43.0,1095.0,56.0,0.9493521790341578,0.9350348027842227,0.9421391487121582,0.9421391487121582,0.9421391487121582,862.0,0.4309999942779541
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle3,2,,,,,,,,,,2000,662.0,235.0,1074.0,29.0,0.738015607580825,0.9580318379160637,0.8337531685829163,0.8337531685829163,0.8337531685829163,691.0,0.34549999237060547
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle4,2,,,,,,,,,,2000,379.0,396.0,1213.0,12.0,0.4890322580645161,0.969309462915601,0.6500858068466187,0.6500858068466187,0.6500858068466187,391.0,0.19550000131130219
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle5,2,,,,,,,,,,2000,233.0,475.0,1289.0,3.0,0.3290960451977401,0.9872881355932204,0.49364402890205383,0.49364402890205383,0.49364402890205383,236.0,0.11800000071525574
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle6,2,,,,,,,,,,2000,123.0,563.0,1309.0,5.0,0.1793002915451895,0.9609375,0.30221131443977356,0.30221131443977356,0.30221131443977356,128.0,0.06400000303983688
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client,val,,2,,,0.8887208147048951,0.9104,0.7584999799728394,0.5274261603375527,0.5173312425613403,0.5173312425613403,0.5173312425613403,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle2,2,,,,,,,,,,2000,43.0,64.0,1854.0,39.0,0.40186915887850466,0.524390243902439,0.45502641797065735,0.45502641797065735,0.45502641797065735,82.0,0.04100000113248825
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle3,2,,,,,,,,,,2000,87.0,183.0,1689.0,41.0,0.32222222222222224,0.6796875,0.43718594312667847,0.43718594312667847,0.43718594312667847,128.0,0.06400000303983688
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle4,2,,,,,,,,,,2000,131.0,141.0,1702.0,26.0,0.48161764705882354,0.8343949044585988,0.6107226014137268,0.6107226014137268,0.6107226014137268,157.0,0.07850000262260437
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle5,2,,,,,,,,,,2000,135.0,128.0,1685.0,52.0,0.5133079847908745,0.7219251336898396,0.6000000238418579,0.6000000238418579,0.6000000238418579,187.0,0.09350000321865082
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle6,2,,,,,,,,,,2000,104.0,143.0,1674.0,79.0,0.42105263157894735,0.5683060109289617,0.48372092843055725,0.48372092843055725,0.48372092843055725,183.0,0.09149999916553497
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client,val,,2,,,0.6131530590057374,0.7577,0.4194999933242798,0.6067196883622789,0.5660226941108704,0.5660226941108704,0.5660226941108704,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle2,2,,,,,,,,,,2000,577.0,114.0,1024.0,285.0,0.8350217076700435,0.6693735498839907,0.7430779933929443,0.7430779933929443,0.7430779933929443,862.0,0.4309999942779541
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle3,2,,,,,,,,,,2000,582.0,243.0,1066.0,109.0,0.7054545454545454,0.8422575976845152,0.767810046672821,0.767810046672821,0.767810046672821,691.0,0.34549999237060547
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle4,2,,,,,,,,,,2000,382.0,417.0,1192.0,9.0,0.4780976220275344,0.9769820971867008,0.6420167684555054,0.6420167684555054,0.6420167684555054,391.0,0.19550000131130219
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle5,2,,,,,,,,,,2000,221.0,555.0,1209.0,15.0,0.2847938144329897,0.9364406779661016,0.4367588758468628,0.4367588758468628,0.4367588758468628,236.0,0.11800000071525574
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle6,2,,,,,,,,,,2000,107.0,655.0,1217.0,21.0,0.14041994750656167,0.8359375,0.2404494285583496,0.2404494285583496,0.2404494285583496,128.0,0.06400000303983688
fedavg,fedavg,504|859,504|859,1,all,all,global_val_mean,val,,2,,,0.7509369368553162,0.83405,0.5889999866485596,0.5670729243499157,0.5416769683361053,0.5416769683361053,0.5416769683361053,4000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,train_epoch,train,,3,1.0,0.4344833805561066,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,train_epoch,train,,3,2.0,0.37795093059539797,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,train_epoch,train,,3,3.0,0.33770810985565186,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch,val,,3,,,0.4576908178329468,0.9241,0.7799999713897705,0.6331561140647656,0.6997602581977844,0.6997602581977844,0.6997602581977844,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle2,3,,,,,,,,,,2000,82.0,16.0,1902.0,0.0,0.8367346938775511,1.0,0.9111111164093018,0.9111111164093018,0.9111111164093018,82.0,0.04100000113248825
