subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,member_sum_aff_text,member_max_dtw_text,member_max_dtw_partner_text,member_min_aff_partner_text,global_max_pair_dtw,global_max_pair_dtw_graph_i,global_max_pair_dtw_graph_j,global_max_pair_dtw_member_idx_i,global_max_pair_dtw_member_idx_j,global_min_pair_aff,global_min_pair_aff_graph_i,global_min_pair_aff_graph_j,global_min_pair_aff_member_idx_i,global_min_pair_aff_member_idx_j,peeled_sum_aff,peeled_max_dtw,peeled_max_dtw_partner_graph_id,peeled_in_global_max_pair,selected_grad_tails_text,applied_split_event_idx,pairwise_n_members,pairwise_logged_for_applied_split,pairwise_member_order_json,pairwise_histories_json,pairwise_dtw_json,pairwise_affinity_json,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,1,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,158.0133819580078,165.7984619140625,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.13571166992188,158.974520111084,160.8179931640625,165.7984619140625,5.502019316303126,,,,,,,,,,,,,,,,,,,,,87:160.8801|157:163.0035|149:163.7468|109:163.1659|143:163.5069|114:160.9412|117:155.9113|2:148.5861|88:148.1357|145:162.9329|166:160.2572|141:160.7559|65:150.7945|6:162.7551|131:160.3138|119:155.5954|96:165.7985|162:148.7347|107:163.1271|0:160.5479,,,0,,,,,1,1,1,0,0,,,0,0,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,2,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,157.72471618652344,163.4339599609375,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.07772827148438,158.50040969848632,160.35877227783203,163.4339599609375,5.345238283351267,,,,,,,,,,,,,,,,,,,,,"87:160.8801,160.4584|157:163.0035,162.8144|149:163.7468,163.4340|109:163.1659,163.0323|143:163.5069,162.6528|114:160.9412,161.2487|117:155.9113,155.3049|2:148.5861,148.7237|88:148.1357,148.1409|145:162.9329,162.5976|166:160.2572,160.0352|141:160.7559,159.8849|65:150.7945,150.3022|6:162.7551,162.6136|131:160.3138,160.2592|119:155.5954,154.9974|96:165.7985,162.8922|162:148.7347,148.0777|107:163.1271,162.3632|0:160.5479,160.1750",,,0,,,,,1,1,1,0,0,,,1,1,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,3,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,159.14959716796875,165.32061767578125,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.9996337890625,160.2665267944336,161.8070526123047,165.32061767578125,5.385200230190825,,,,,,,,,,,,,,,,,,,,,"87:160.8801,160.4584,162.1075|157:163.0035,162.8144,164.2968|149:163.7468,163.4340,165.0869|109:163.1659,163.0323,164.2889|143:163.5069,162.6528,164.6923|114:160.9412,161.2487,161.5067|117:155.9113,155.3049,158.5417|2:148.5861,148.7237,151.8575|88:148.1357,148.1409,149.9179|145:162.9329,162.5976,163.5284|166:160.2572,160.0352,161.2034|141:160.7559,159.8849,161.4808|65:150.7945,150.3022,151.2273|6:162.7551,162.6136,163.9178|131:160.3138,160.2592,161.3138|119:155.5954,154.9974,156.3440|96:165.7985,162.8922,164.6922|162:148.7347,148.0777,148.9996|107:163.1271,162.3632,165.3206|0:160.5479,160.1750,165.0065",,,0,,,,,1,1,1,0,0,,,2,2,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,4,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,160.97048950195312,176.33070373535156,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,150.2657928466797,163.128507232666,164.0411605834961,176.33070373535156,6.768248161387259,,,,,,,,,,,,,,,,,,,,,"87:160.8801,160.4584,162.1075,164.0461|157:163.0035,162.8144,164.2968,167.2421|149:163.7468,163.4340,165.0869,171.2472|109:163.1659,163.0323,164.2889,169.8398|143:163.5069,162.6528,164.6923,166.9134|114:160.9412,161.2487,161.5067,162.8053|117:155.9113,155.3049,158.5417,160.1358|2:148.5861,148.7237,151.8575,150.8864|88:148.1357,148.1409,149.9179,150.2658|145:162.9329,162.5976,163.5284,165.5344|166:160.2572,160.0352,161.2034,163.6353|141:160.7559,159.8849,161.4808,164.9823|65:150.7945,150.3022,151.2273,153.9960|6:162.7551,162.6136,163.9178,164.0363|131:160.3138,160.2592,161.3138,163.7908|119:155.5954,154.9974,156.3440,159.4083|96:165.7985,162.8922,164.6922,176.3307|162:148.7347,148.0777,148.9996,152.0743|107:163.1271,162.3632,165.3206,168.8140|0:160.5479,160.1750,165.0065,166.5860",,,0,,,,,1,1,1,0,0,,,3,3,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,5,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,164.22813415527344,185.000244140625,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,152.95494079589844,167.85114059448242,169.05422973632812,185.000244140625,8.582912673095311,,,,,,,,,,,,,,,,,,,,,"87:160.8801,160.4584,162.1075,164.0461,165.7788|157:163.0035,162.8144,164.2968,167.2421,169.0942|149:163.7468,163.4340,165.0869,171.2472,169.5087|109:163.1659,163.0323,164.2889,169.8398,175.2979|143:163.5069,162.6528,164.6923,166.9134,172.0074|114:160.9412,161.2487,161.5067,162.8053,168.7753|117:155.9113,155.3049,158.5417,160.1358,160.7523|2:148.5861,148.7237,151.8575,150.8864,158.4961|88:148.1357,148.1409,149.9179,150.2658,155.2283|145:162.9329,162.5976,163.5284,165.5344,170.2085|166:160.2572,160.0352,161.2034,163.6353,169.0143|141:160.7559,159.8849,161.4808,164.9823,171.0222|65:150.7945,150.3022,151.2273,153.9960,152.9549|6:162.7551,162.6136,163.9178,164.0363,169.4202|131:160.3138,160.2592,161.3138,163.7908,166.1236|119:155.5954,154.9974,156.3440,159.4083,161.4369|96:165.7985,162.8922,164.6922,176.3307,177.6431|162:148.7347,148.0777,148.9996,152.0743,155.2744|107:163.1271,162.3632,165.3206,168.8140,183.9854|0:160.5479,160.1750,165.0065,166.5860,185.0002",,,0,,,,,1,1,1,0,0,,,4,4,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,6,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,171.35858154296875,205.11741638183594,158.0133819580078,174.22425537109376,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,156.56466674804688,177.65813064575195,178.46751403808594,205.11741638183594,12.554411645922219,,,,,,,,,,,,,,,,,,,,,"87:160.4584,162.1075,164.0461,165.7788,182.8328|157:162.8144,164.2968,167.2421,169.0942,194.3689|149:163.4340,165.0869,171.2472,169.5087,205.1174|109:163.0323,164.2889,169.8398,175.2979,180.8072|143:162.6528,164.6923,166.9134,172.0074,186.9171|114:161.2487,161.5067,162.8053,168.7753,177.8533|117:155.3049,158.5417,160.1358,160.7523,166.7215|2:148.7237,151.8575,150.8864,158.4961,157.3956|88:148.1409,149.9179,150.2658,155.2283,167.4276|145:162.5976,163.5284,165.5344,170.2085,179.0817|166:160.0352,161.2034,163.6353,169.0143,173.9682|141:159.8849,161.4808,164.9823,171.0222,182.0160|65:150.3022,151.2273,153.9960,152.9549,156.5647|6:162.6136,163.9178,164.0363,169.4202,172.3539|131:160.2592,161.3138,163.7908,166.1236,171.9069|119:154.9974,156.3440,159.4083,161.4369,162.7735|96:162.8922,164.6922,176.3307,177.6431,184.1784|162:148.0777,148.9996,152.0743,155.2744,166.5270|107:162.3632,165.3206,168.8140,183.9854,194.5675|0:160.1750,165.0065,166.5860,185.0002,189.7834",,,0,,,,,1,1,1,1,1,False,True,5,5,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,7,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,175.1641845703125,233.759033203125,158.29743576049805,180.66547393798828,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,162.48109436035156,185.38851013183594,179.03327178955078,233.759033203125,18.23160434947404,,,,,,,,,,,,,,,,,,,,,"87:162.1075,164.0461,165.7788,182.8328,189.3616|157:164.2968,167.2421,169.0942,194.3689,191.3416|149:165.0869,171.2472,169.5087,205.1174,214.8018|109:164.2889,169.8398,175.2979,180.8072,191.9025|143:164.6923,166.9134,172.0074,186.9171,178.4324|114:161.5067,162.8053,168.7753,177.8533,176.9086|117:158.5417,160.1358,160.7523,166.7215,176.4864|2:151.8575,150.8864,158.4961,157.3956,164.9968|88:149.9179,150.2658,155.2283,167.4276,184.6349|145:163.5284,165.5344,170.2085,179.0817,179.6342|166:161.2034,163.6353,169.0143,173.9682,170.4689|141:161.4808,164.9823,171.0222,182.0160,197.9829|65:151.2273,153.9960,152.9549,156.5647,162.4811|6:163.9178,164.0363,169.4202,172.3539,178.3209|131:161.3138,163.7908,166.1236,171.9069,166.7285|119:156.3440,159.4083,161.4369,162.7735,170.1676|96:164.6922,176.3307,177.6431,184.1784,233.7590|162:148.9996,152.0743,155.2744,166.5270,173.0411|107:165.3206,168.8140,183.9854,194.5675,189.3686|0:165.0065,166.5860,185.0002,189.7834,216.9510",,,0,,,,,1,1,1,1,1,False,True,6,6,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,8,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,172.61598205566406,222.3317413330078,158.58148956298828,189.02367858886717,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,163.62356567382812,188.57475051879882,184.38970184326172,222.3317413330078,16.70907309391164,,,,,,,,,,,,,,,,,,,,,"87:164.0461,165.7788,182.8328,189.3616,220.0575|157:167.2421,169.0942,194.3689,191.3416,204.4502|149:171.2472,169.5087,205.1174,214.8018,192.7373|109:169.8398,175.2979,180.8072,191.9025,209.5308|143:166.9134,172.0074,186.9171,178.4324,179.5654|114:162.8053,168.7753,177.8533,176.9086,185.6308|117:160.1358,160.7523,166.7215,176.4864,180.4373|2:150.8864,158.4961,157.3956,164.9968,179.2041|88:150.2658,155.2283,167.4276,184.6349,176.2890|145:165.5344,170.2085,179.0817,179.6342,195.1662|166:163.6353,169.0143,173.9682,170.4689,168.5466|141:164.9823,171.0222,182.0160,197.9829,185.4403|65:153.9960,152.9549,156.5647,162.4811,163.6236|6:164.0363,169.4202,172.3539,178.3209,170.5682|131:163.7908,166.1236,171.9069,166.7285,179.3142|119:159.4083,161.4369,162.7735,170.1676,168.6115|96:176.3307,177.6431,184.1784,233.7590,222.3317|162:152.0743,155.2744,166.5270,173.0411,183.3391|107:168.8140,183.9854,194.5675,189.3686,202.3838|0:166.5860,185.0002,189.7834,216.9510,204.2675",,,0,,,,,1,1,1,1,1,False,True,7,7,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,9,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,174.21414184570312,272.3171691894531,158.86554336547852,203.10569915771484,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,159.75018310546875,195.63689422607422,187.60372161865234,272.3171691894531,26.799795037631377,,,,,,,,,,,,,,,,,,,,,"87:165.7788,182.8328,189.3616,220.0575,191.6158|157:169.0942,194.3689,191.3416,204.4502,211.3453|149:169.5087,205.1174,214.8018,192.7373,197.6696|109:175.2979,180.8072,191.9025,209.5308,272.3172|143:172.0074,186.9171,178.4324,179.5654,184.4147|114:168.7753,177.8533,176.9086,185.6308,173.7496|117:160.7523,166.7215,176.4864,180.4373,190.7927|2:158.4961,157.3956,164.9968,179.2041,159.7502|88:155.2283,167.4276,184.6349,176.2890,174.7470|145:170.2085,179.0817,179.6342,195.1662,202.1825|166:169.0143,173.9682,170.4689,168.5466,224.7505|141:171.0222,182.0160,197.9829,185.4403,178.7722|65:152.9549,156.5647,162.4811,163.6236,174.6687|6:169.4202,172.3539,178.3209,170.5682,176.9800|131:166.1236,171.9069,166.7285,179.3142,173.6458|119:161.4369,162.7735,170.1676,168.6115,169.2740|96:177.6431,184.1784,233.7590,222.3317,219.3241|162:155.2744,166.5270,173.0411,183.3391,183.9329|107:183.9854,194.5675,189.3686,202.3838,234.5454|0:185.0002,189.7834,216.9510,204.2675,218.2598",,,0,,,,,1,1,1,1,1,False,True,8,8,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,10,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,175.13076782226562,259.2857360839844,159.14959716796875,215.44601135253905,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,165.80996704101562,202.64622650146484,194.83169555664062,259.2857360839844,25.129479731432696,,,,,,,,,,,,,,,,,,,,,"87:182.8328,189.3616,220.0575,191.6158,228.5847|157:194.3689,191.3416,204.4502,211.3453,185.7315|149:205.1174,214.8018,192.7373,197.6696,192.0550|109:180.8072,191.9025,209.5308,272.3172,212.2543|143:186.9171,178.4324,179.5654,184.4147,188.9219|114:177.8533,176.9086,185.6308,173.7496,176.5178|117:166.7215,176.4864,180.4373,190.7927,196.4358|2:157.3956,164.9968,179.2041,159.7502,216.4893|88:167.4276,184.6349,176.2890,174.7470,190.6224|145:179.0817,179.6342,195.1662,202.1825,193.2276|166:173.9682,170.4689,168.5466,224.7505,212.7628|141:182.0160,197.9829,185.4403,178.7722,205.7370|65:156.5647,162.4811,163.6236,174.6687,165.8100|6:172.3539,178.3209,170.5682,176.9800,180.6510|131:171.9069,166.7285,179.3142,173.6458,177.4926|119:162.7735,170.1676,168.6115,169.2740,172.6839|96:184.1784,233.7590,222.3317,219.3241,253.8643|162:166.5270,173.0411,183.3391,183.9329,215.7256|107:194.5675,189.3686,202.3838,234.5454,228.0713|0:189.7834,216.9510,204.2675,218.2598,259.2857",,,0,,,,,1,1,1,1,1,False,True,9,9,2,1
