run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,1,32,data_2000_3_11.5_chordal,train_epoch,train,,,1,1.0611467275619506,,,,,,,,2000,,,,,,,,,,,
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch,val,,,1,,1.7797599821090697,0.4218,0.31700000166893005,0.18287167891464104,0.18246446549892426,0.18246446549892426,0.18246446549892426,2000,,,,,,,,,,,
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle2,,1,,,,,,,,,2000,104.0,1175.0,721.0,0.0,0.08131352619233777,1.0,0.15039768815040588,0.15039768815040588,0.15039768815040588,104.0,0.052000001072883606
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle3,,1,,,,,,,,,2000,104.0,1180.0,716.0,0.0,0.08099688473520249,1.0,0.14985591173171997,0.14985591173171997,0.14985591173171997,104.0,0.052000001072883606
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle4,,1,,,,,,,,,2000,139.0,1105.0,756.0,0.0,0.11173633440514469,1.0,0.20101229846477509,0.20101229846477509,0.20101229846477509,139.0,0.06949999928474426
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle5,,1,,,,,,,,,2000,137.0,1201.0,662.0,0.0,0.10239162929745889,1.0,0.18576271831989288,0.18576271831989288,0.18576271831989288,137.0,0.06849999725818634
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle6,,1,,,,,,,,,2000,163.0,1121.0,716.0,0.0,0.12694704049844235,1.0,0.22529372572898865,0.22529372572898865,0.22529372572898865,163.0,0.08150000125169754
local,local,,,1,32,data_2000_3_11.5_chordal,train_epoch,train,,,2,0.7133095438480377,,,,,,,,2000,,,,,,,,,,,
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch,val,,,2,,0.6133165488243103,0.7625,0.6859999895095825,0.34301521438450905,0.34101128578186035,0.34101128578186035,0.34101128578186035,2000,,,,,,,,,,,
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle2,,2,,,,,,,,,2000,102.0,483.0,1413.0,2.0,0.17435897435897435,0.9807692307692307,0.2960812747478485,0.2960812747478485,0.2960812747478485,104.0,0.052000001072883606
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle3,,2,,,,,,,,,2000,98.0,480.0,1416.0,6.0,0.1695501730103806,0.9423076923076923,0.2873900532722473,0.2873900532722473,0.2873900532722473,104.0,0.052000001072883606
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle4,,2,,,,,,,,,2000,131.0,472.0,1389.0,8.0,0.21724709784411278,0.9424460431654677,0.3530997335910797,0.3530997335910797,0.3530997335910797,139.0,0.06949999928474426
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle5,,2,,,,,,,,,2000,133.0,458.0,1405.0,4.0,0.22504230118443316,0.9708029197080292,0.36538460850715637,0.36538460850715637,0.36538460850715637,137.0,0.06849999725818634
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle6,,2,,,,,,,,,2000,156.0,455.0,1382.0,7.0,0.2553191489361702,0.9570552147239264,0.40310078859329224,0.40310078859329224,0.40310078859329224,163.0,0.08150000125169754
local,local,,,1,32,data_2000_3_11.5_chordal,train_epoch,train,,,3,0.5987949857711792,,,,,,,,2000,,,,,,,,,,,
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch,val,,,3,,1.0790982847213746,0.6766,0.5899999737739563,0.28577738515901063,0.2839256525039673,0.2839256525039673,0.2839256525039673,2000,,,,,,,,,,,
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle2,,3,,,,,,,,,2000,104.0,647.0,1249.0,0.0,0.1384820239680426,1.0,0.24327485263347626,0.24327485263347626,0.24327485263347626,104.0,0.052000001072883606
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle3,,3,,,,,,,,,2000,104.0,640.0,1256.0,0.0,0.13978494623655913,1.0,0.24528302252292633,0.24528302252292633,0.24528302252292633,104.0,0.052000001072883606
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle4,,3,,,,,,,,,2000,139.0,658.0,1203.0,0.0,0.17440401505646172,1.0,0.29700854420661926,0.29700854420661926,0.29700854420661926,139.0,0.06949999928474426
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle5,,3,,,,,,,,,2000,137.0,630.0,1233.0,0.0,0.17861799217731422,1.0,0.30309736728668213,0.30309736728668213,0.30309736728668213,137.0,0.06849999725818634
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch_task,val,cycle6,,3,,,,,,,,,2000,163.0,659.0,1178.0,0.0,0.19829683698296838,1.0,0.33096447587013245,0.33096447587013245,0.33096447587013245,163.0,0.08150000125169754
local,local,,,1,32,data_2000_3_11.5_chordal,train_epoch,train,,,4,0.5627410218715668,,,,,,,,2000,,,,,,,,,,,
local,local,,,1,32,data_2000_3_11.5_chordal,val_epoch,val,,,4,,0.5393216252326966,0.7913,0.7074999809265137,0.3801603801603802,0.3780286908149719,0.3780286908149719,0.3780286908149719,2000,,,,,,,,,,,
