run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,train_epoch,train,,,1,0.7100723919982002,,,,,,,,4200,,,,,,,,,,,
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch,val,,,1,,0.565493322781154,0.7760476190476191,0.532619059085846,0.6897552609011148,0.6821695566177368,0.6821695566177368,0.6821695566177368,4200,,,,,,,,,,,
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle2,,1,,,,,,,,,4200,1343.0,829.0,2028.0,0.0,0.6183241252302025,1.0,0.7641536593437195,0.7641536593437195,0.7641536593437195,1343.0,0.31976190209388733
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle3,,1,,,,,,,,,4200,1233.0,708.0,2227.0,32.0,0.6352395672333848,0.974703557312253,0.7691827416419983,0.7691827416419983,0.7691827416419983,1265.0,0.30119046568870544
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle4,,1,,,,,,,,,4200,1052.0,784.0,2284.0,80.0,0.5729847494553377,0.9293286219081273,0.7088949084281921,0.7088949084281921,0.7088949084281921,1132.0,0.2695237994194031
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle5,,1,,,,,,,,,4200,859.0,990.0,2258.0,93.0,0.4645754461871282,0.9023109243697479,0.613352358341217,0.613352358341217,0.613352358341217,952.0,0.2266666740179062
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle6,,1,,,,,,,,,4200,741.0,1121.0,2272.0,66.0,0.3979591836734694,0.9182156133828996,0.5552641749382019,0.5552641749382019,0.5552641749382019,807.0,0.19214285910129547
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,train_epoch,train,,,2,0.4507823646068573,,,,,,,,4200,,,,,,,,,,,
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch,val,,,2,,0.31312513709068296,0.899952380952381,0.6842857003211975,0.8353319225644643,0.8302406072616577,0.8302406072616577,0.8302406072616577,4200,,,,,,,,,,,
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle2,,2,,,,,,,,,4200,1330.0,26.0,2831.0,13.0,0.9808259587020649,0.9903201787043932,0.9855502843856812,0.9855502843856812,0.9855502843856812,1343.0,0.31976190209388733
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle3,,2,,,,,,,,,4200,1253.0,103.0,2832.0,12.0,0.9240412979351033,0.9905138339920949,0.9561236500740051,0.9561236500740051,0.9561236500740051,1265.0,0.30119046568870544
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle4,,2,,,,,,,,,4200,1110.0,320.0,2748.0,22.0,0.7762237762237763,0.980565371024735,0.8665105104446411,0.8665105104446411,0.8665105104446411,1132.0,0.2695237994194031
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle5,,2,,,,,,,,,4200,877.0,583.0,2665.0,75.0,0.6006849315068493,0.9212184873949579,0.7271972894668579,0.7271972894668579,0.7271972894668579,952.0,0.2266666740179062
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle6,,2,,,,,,,,,4200,759.0,899.0,2494.0,48.0,0.4577804583835947,0.9405204460966543,0.6158215403556824,0.6158215403556824,0.6158215403556824,807.0,0.19214285910129547
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,train_epoch,train,,,3,0.3276521704310463,,,,,,,,4200,,,,,,,,,,,
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch,val,,,3,,0.29344878469194685,0.8840476190476191,0.6547619104385376,0.8176985850116044,0.8161834478378296,0.8161834478378296,0.8161834478378296,4200,,,,,,,,,,,
local,local,,,1,169,data_4200_4_2.5_chordal_rep01,val_epoch_task,val,cycle2,,3,,,,,,,,,4200,1343.0,33.0,2824.0,0.0,0.9760174418604651,1.0,0.9878631234169006,0.9878631234169006,0.9878631234169006,1343.0,0.31976190209388733
