run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,train_epoch,train,,1,1.0,0.8716186866760254,,,,,,,,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,train_epoch,train,,1,2.0,0.48967200350761414,,,,,,,,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,train_epoch,train,,1,3.0,0.3718764505386353,,,,,,,,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,val_epoch,val,,1,,,0.43424399161338806,0.85425,0.6784999966621399,0.4888655093810276,0.509088933467865,0.509088933467865,0.509088933467865,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,4000,261.0,320.0,3419.0,0.0,0.44922547332185886,1.0,0.6199525594711304,0.6199525594711304,0.6199525594711304,261.0,0.06525000184774399
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,val_epoch_task,val,cycle3,1,,,,,,,,,,4000,262.0,306.0,3417.0,15.0,0.4612676056338028,0.9458483754512635,0.6201183795928955,0.6201183795928955,0.6201183795928955,277.0,0.06925000250339508
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,val_epoch_task,val,cycle4,1,,,,,,,,,,4000,227.0,573.0,3183.0,17.0,0.28375,0.930327868852459,0.43486589193344116,0.43486589193344116,0.43486589193344116,244.0,0.061000000685453415
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,val_epoch_task,val,cycle5,1,,,,,,,,,,4000,337.0,742.0,2920.0,1.0,0.3123262279888786,0.9970414201183432,0.4756527543067932,0.4756527543067932,0.4756527543067932,338.0,0.08449999988079071
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,val_epoch_task,val,cycle6,1,,,,,,,,,,4000,307.0,941.0,2752.0,0.0,0.24599358974358973,1.0,0.3948552906513214,0.3948552906513214,0.3948552906513214,307.0,0.0767500028014183
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,train_epoch,train,,1,1.0,0.879967621088028,,,,,,,,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,train_epoch,train,,1,2.0,0.4834156345129013,,,,,,,,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,train_epoch,train,,1,3.0,0.30111935698986053,,,,,,,,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,val_epoch,val,,1,,,0.4262959115505219,0.8442,0.6514999866485596,0.47364864864864864,0.5235675573348999,0.5235675573348999,0.5235675573348999,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,4000,277.0,119.0,3604.0,0.0,0.6994949494949495,1.0,0.8231797814369202,0.8231797814369202,0.8231797814369202,277.0,0.06925000250339508
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle3,1,,,,,,,,,,4000,291.0,386.0,3323.0,0.0,0.4298375184638109,1.0,0.6012396812438965,0.6012396812438965,0.6012396812438965,291.0,0.07275000214576721
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle4,1,,,,,,,,,,4000,259.0,607.0,3133.0,1.0,0.29907621247113164,0.9961538461538462,0.4600354731082916,0.4600354731082916,0.4600354731082916,260.0,0.06499999761581421
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle5,1,,,,,,,,,,4000,337.0,860.0,2803.0,0.0,0.28153717627401836,1.0,0.439374178647995,0.439374178647995,0.439374178647995,337.0,0.08425000309944153
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle6,1,,,,,,,,,,4000,238.0,1143.0,2619.0,0.0,0.1723388848660391,1.0,0.29400867223739624,0.29400867223739624,0.29400867223739624,238.0,0.05950000137090683
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,global_val_client,val,,1,,,1.5346702785491944,0.92915,0.7670000195503235,0.03408316291751874,0.03294049948453903,0.03294049948453903,0.03294049948453903,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,global_val_client_task,val,cycle2,1,,,,,,,,,,4000,0.0,0.0,3739.0,261.0,0.0,0.0,0.0,0.0,0.0,261.0,0.06525000184774399
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,global_val_client_task,val,cycle3,1,,,,,,,,,,4000,7.0,1.0,3722.0,270.0,0.875,0.02527075812274368,0.04912280663847923,0.04912280663847923,0.04912280663847923,277.0,0.06925000250339508
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,global_val_client_task,val,cycle4,1,,,,,,,,,,4000,4.0,8.0,3748.0,240.0,0.3333333333333333,0.01639344262295082,0.03124999813735485,0.03124999813735485,0.03124999813735485,244.0,0.061000000685453415
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,global_val_client_task,val,cycle5,1,,,,,,,,,,4000,7.0,0.0,3662.0,331.0,1.0,0.020710059171597635,0.04057970643043518,0.04057970643043518,0.04057970643043518,338.0,0.08449999988079071
fedavg,fedavg,135|339,135|339,2,135,data_4000_3_10.5_chordal,global_val_client_task,val,cycle6,1,,,,,,,,,,4000,7.0,6.0,3687.0,300.0,0.5384615384615384,0.02280130293159609,0.04374999925494194,0.04374999925494194,0.04374999925494194,307.0,0.0767500028014183
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,global_val_client,val,,1,,,1.6155312385559082,0.9302,0.7692499756813049,0.02513966480446928,0.02625095844268799,0.02625095844268799,0.02625095844268799,4000,,,,,,,,,,,
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,global_val_client_task,val,cycle2,1,,,,,,,,,,4000,0.0,0.0,3723.0,277.0,0.0,0.0,0.0,0.0,0.0,277.0,0.06925000250339508
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,global_val_client_task,val,cycle3,1,,,,,,,,,,4000,1.0,1.0,3708.0,290.0,0.5,0.003436426116838488,0.006825938355177641,0.006825938355177641,0.006825938355177641,291.0,0.07275000214576721
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,global_val_client_task,val,cycle4,1,,,,,,,,,,4000,5.0,5.0,3735.0,255.0,0.5,0.019230769230769232,0.03703703731298447,0.03703703731298447,0.03703703731298447,260.0,0.06499999761581421
fedavg,fedavg,135|339,135|339,2,339,data_4000_3_8.0_chordal,global_val_client_task,val,cycle5,1,,,,,,,,,,4000,4.0,1.0,3662.0,333.0,0.8,0.011869436201780416,0.023391813039779663,0.023391813039779663,0.023391813039779663,337.0,0.08425000309944153
