run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,train_epoch,train,,,1,0.7567858128547669,,,,,,,,4000,,,,,,,,,,,
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,val_epoch,val,,,1,,0.6680161309242248,0.72635,0.4257499873638153,0.6065137680638435,0.5638870596885681,0.5638870596885681,0.5638870596885681,4000,,,,,,,,,,,
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,val_epoch_task,val,cycle2,,1,,,,,,,,,4000,1445.0,706.0,1577.0,272.0,0.6717805671780567,0.8415841584158416,0.7471561431884766,0.7471561431884766,0.7471561431884766,1717.0,0.42925000190734863
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,val_epoch_task,val,cycle3,,1,,,,,,,,,4000,1177.0,654.0,2021.0,148.0,0.642818132168214,0.8883018867924528,0.7458809018135071,0.7458809018135071,0.7458809018135071,1325.0,0.33125001192092896
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,val_epoch_task,val,cycle4,,1,,,,,,,,,4000,877.0,882.0,2153.0,88.0,0.4985787379192723,0.9088082901554404,0.6439059972763062,0.6439059972763062,0.6439059972763062,965.0,0.24124999344348907
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,val_epoch_task,val,cycle5,,1,,,,,,,,,4000,476.0,1196.0,2302.0,26.0,0.284688995215311,0.9482071713147411,0.4379024803638458,0.4379024803638458,0.4379024803638458,502.0,0.12549999356269836
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,val_epoch_task,val,cycle6,,1,,,,,,,,,4000,243.0,1478.0,2256.0,23.0,0.1411969785008716,0.9135338345864662,0.24458985030651093,0.24458985030651093,0.24458985030651093,266.0,0.06650000065565109
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,train_epoch,train,,,2,0.5750629086494445,,,,,,,,4000,,,,,,,,,,,
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,val_epoch,val,,,2,,0.639404405593872,0.7459,0.492249995470047,0.6380857427716848,0.5812305212020874,0.5812305212020874,0.5812305212020874,4000,,,,,,,,,,,
local,local,,,2,82,data_4000_4_1.5_chordal_rep02,val_epoch_task,val,cycle2,,2,,,,,,,,,4000,1708.0,664.0,1619.0,9.0,0.7200674536256324,0.9947582993593477,0.8354120850563049,0.8354120850563049,0.8354120850563049,1717.0,0.42925000190734863
