subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,member_sum_aff_text,member_max_dtw_text,member_max_dtw_partner_text,member_min_aff_partner_text,global_max_pair_dtw,global_max_pair_dtw_graph_i,global_max_pair_dtw_graph_j,global_max_pair_dtw_member_idx_i,global_max_pair_dtw_member_idx_j,global_min_pair_aff,global_min_pair_aff_graph_i,global_min_pair_aff_graph_j,global_min_pair_aff_member_idx_i,global_min_pair_aff_member_idx_j,peeled_sum_aff,peeled_max_dtw,peeled_max_dtw_partner_graph_id,peeled_in_global_max_pair,selected_grad_tails_text,applied_split_event_idx,pairwise_n_members,pairwise_logged_for_applied_split,pairwise_member_order_json,pairwise_histories_json,pairwise_dtw_json,pairwise_affinity_json,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,1,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,154.59681701660156,163.64637756347656,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.26885986328125,155.53760299682617,155.75151824951172,163.64637756347656,6.275818092788776,,,,,,,,,,,,,,,,,,,,,178:162.8882|96:155.7005|19:148.5741|176:163.2314|171:163.1392|89:155.9791|90:155.6911|11:148.5745|190:163.0625|109:155.8025|24:148.5119|30:148.5584|166:162.9915|5:148.2689|2:148.5009|162:163.6464|62:149.5408|217:163.3110|145:155.9149|60:148.8644,,,0,,,,,1,1,1,0,0,,,0,0,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,2,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,154.5135498046875,163.50450134277344,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,147.8523406982422,155.27167358398438,155.6777114868164,163.50450134277344,6.413865411759063,,,,,,,,,,,,,,,,,,,,,"178:162.8882,162.9559|96:155.7005,155.7593|19:148.5741,148.2666|176:163.2314,162.8703|171:163.1392,162.5632|89:155.9791,155.5961|90:155.6911,155.7636|11:148.5745,148.0868|190:163.0625,163.5045|109:155.8025,155.4393|24:148.5119,147.8523|30:148.5584,148.5735|166:162.9915,162.6474|5:148.2689,148.0434|2:148.5009,148.4651|162:163.6464,163.4358|62:149.5408,147.9922|217:163.3110,163.2049|145:155.9149,156.0445|60:148.8644,148.3689",,,0,,,,,1,1,1,0,0,,,1,1,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,3,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,156.20416259765625,165.82656860351562,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,149.5800018310547,157.27784881591796,157.25738525390625,165.82656860351562,6.153828643722693,,,,,,,,,,,,,,,,,,,,,"178:162.8882,162.9559,164.2382|96:155.7005,155.7593,155.9406|19:148.5741,148.2666,150.8270|176:163.2314,162.8703,164.3406|171:163.1392,162.5632,164.4105|89:155.9791,155.5961,156.6239|90:155.6911,155.7636,158.1474|11:148.5745,148.0868,149.6712|190:163.0625,163.5045,164.7523|109:155.8025,155.4393,157.8909|24:148.5119,147.8523,149.5800|30:148.5584,148.5735,154.2690|166:162.9915,162.6474,165.1150|5:148.2689,148.0434,149.7282|2:148.5009,148.4651,149.6039|162:163.6464,163.4358,164.1429|62:149.5408,147.9922,151.1502|217:163.3110,163.2049,165.8266|145:155.9149,156.0445,158.6683|60:148.8644,148.3689,150.6304",,,0,,,,,1,1,1,0,0,,,2,2,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,4,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,158.9682159423828,180.26837158203125,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,150.5847930908203,161.01608505249024,159.66559600830078,180.26837158203125,7.221173183029249,,,,,,,,,,,,,,,,,,,,,"178:162.8882,162.9559,164.2382,165.5658|96:155.7005,155.7593,155.9406,158.2975|19:148.5741,148.2666,150.8270,150.5848|176:163.2314,162.8703,164.3406,169.0611|171:163.1392,162.5632,164.4105,168.7668|89:155.9791,155.5961,156.6239,159.1365|90:155.6911,155.7636,158.1474,162.8971|11:148.5745,148.0868,149.6712,153.7079|190:163.0625,163.5045,164.7523,167.4383|109:155.8025,155.4393,157.8909,161.7824|24:148.5119,147.8523,149.5800,155.9964|30:148.5584,148.5735,154.2690,156.4644|166:162.9915,162.6474,165.1150,166.2145|5:148.2689,148.0434,149.7282,150.7197|2:148.5009,148.4651,149.6039,151.7474|162:163.6464,163.4358,164.1429,165.6785|62:149.5408,147.9922,151.1502,157.0202|217:163.3110,163.2049,165.8266,180.2684|145:155.9149,156.0445,158.6683,160.1947|60:148.8644,148.3689,150.6304,158.7794",,,0,,,,,1,1,1,0,0,,,3,3,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,5,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,162.2242889404297,190.44078063964844,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,151.34951782226562,166.2830032348633,166.8065414428711,190.44078063964844,9.033840919387353,,,,,,,,,,,,,,,,,,,,,"178:162.8882,162.9559,164.2382,165.5658,172.0504|96:155.7005,155.7593,155.9406,158.2975,161.4289|19:148.5741,148.2666,150.8270,150.5848,156.0793|176:163.2314,162.8703,164.3406,169.0611,172.8764|171:163.1392,162.5632,164.4105,168.7668,174.8244|89:155.9791,155.5961,156.6239,159.1365,160.8443|90:155.6911,155.7636,158.1474,162.8971,165.2841|11:148.5745,148.0868,149.6712,153.7079,154.7688|190:163.0625,163.5045,164.7523,167.4383,172.5803|109:155.8025,155.4393,157.8909,161.7824,176.2948|24:148.5119,147.8523,149.5800,155.9964,161.3768|30:148.5584,148.5735,154.2690,156.4644,159.2737|166:162.9915,162.6474,165.1150,166.2145,168.3290|5:148.2689,148.0434,149.7282,150.7197,155.9921|2:148.5009,148.4651,149.6039,151.7474,151.3495|162:163.6464,163.4358,164.1429,165.6785,171.5198|62:149.5408,147.9922,151.1502,157.0202,169.5696|217:163.3110,163.2049,165.8266,180.2684,190.4408|145:155.9149,156.0445,158.6683,160.1947,168.7101|60:148.8644,148.3689,150.6304,158.7794,162.0671",,,0,,,,,1,1,1,0,0,,,4,4,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,6,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,167.67361450195312,216.22084045410156,154.59681701660156,177.38001098632813,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,153.48226928710938,174.77224884033203,171.2400894165039,216.22084045410156,13.196529760114585,,,,,,,,,,,,,,,,,,,,,"178:162.9559,164.2382,165.5658,172.0504,170.7684|96:155.7593,155.9406,158.2975,161.4289,169.9409|19:148.2666,150.8270,150.5848,156.0793,162.6785|176:162.8703,164.3406,169.0611,172.8764,178.7116|171:162.5632,164.4105,168.7668,174.8244,175.6940|89:155.5961,156.6239,159.1365,160.8443,171.0535|90:155.7636,158.1474,162.8971,165.2841,171.4266|11:148.0868,149.6712,153.7079,154.7688,168.4923|190:163.5045,164.7523,167.4383,172.5803,190.4848|109:155.4393,157.8909,161.7824,176.2948,188.7492|24:147.8523,149.5800,155.9964,161.3768,165.8664|30:148.5735,154.2690,156.4644,159.2737,159.8966|166:162.6474,165.1150,166.2145,168.3290,174.7106|5:148.0434,149.7282,150.7197,155.9921,167.7070|2:148.4651,149.6039,151.7474,151.3495,153.4823|162:163.4358,164.1429,165.6785,171.5198,167.6969|62:147.9922,151.1502,157.0202,169.5696,176.0006|217:163.2049,165.8266,180.2684,190.4408,216.2208|145:156.0445,158.6683,160.1947,168.7101,188.7530|60:148.3689,150.6304,158.7794,162.0671,177.1109",,,0,,,,,1,1,1,1,1,False,True,5,5,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,7,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,166.90467834472656,212.07362365722656,154.99865341186523,185.35457611083984,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,153.92303466796875,177.1576919555664,174.5545883178711,212.07362365722656,13.74341593824479,,,,,,,,,,,,,,,,,,,,,"178:164.2382,165.5658,172.0504,170.7684,173.4325|96:155.9406,158.2975,161.4289,169.9409,182.7316|19:150.8270,150.5848,156.0793,162.6785,153.9230|176:164.3406,169.0611,172.8764,178.7116,181.6782|171:164.4105,168.7668,174.8244,175.6940,174.3027|89:156.6239,159.1365,160.8443,171.0535,167.6835|90:158.1474,162.8971,165.2841,171.4266,162.8131|11:149.6712,153.7079,154.7688,168.4923,165.7988|190:164.7523,167.4383,172.5803,190.4848,184.6780|109:157.8909,161.7824,176.2948,188.7492,178.9505|24:149.5800,155.9964,161.3768,165.8664,176.5676|30:154.2690,156.4644,159.2737,159.8966,173.1827|166:165.1150,166.2145,168.3290,174.7106,174.8065|5:149.7282,150.7197,155.9921,167.7070,166.8503|2:149.6039,151.7474,151.3495,153.4823,161.2240|162:164.1429,165.6785,171.5198,167.6969,174.1504|62:151.1502,157.0202,169.5696,176.0006,207.7980|217:165.8266,180.2684,190.4408,216.2208,185.3479|145:158.6683,160.1947,168.7101,188.7530,212.0736|60:150.6304,158.7794,162.0671,177.1109,185.1609",,,0,,,,,1,1,1,1,1,False,True,6,6,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,8,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,168.38107299804688,236.72315979003906,155.4004898071289,194.76734924316403,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,154.19744873046875,186.33950805664062,181.41106414794922,236.72315979003906,23.192865686916534,,,,,,,,,,,,,,,,,,,,,"178:165.5658,172.0504,170.7684,173.4325,175.4679|96:158.2975,161.4289,169.9409,182.7316,188.9754|19:150.5848,156.0793,162.6785,153.9230,156.9043|176:169.0611,172.8764,178.7116,181.6782,168.9273|171:168.7668,174.8244,175.6940,174.3027,177.9236|89:159.1365,160.8443,171.0535,167.6835,163.6113|90:162.8971,165.2841,171.4266,162.8131,168.8748|11:153.7079,154.7688,168.4923,165.7988,154.1974|190:167.4383,172.5803,190.4848,184.6780,190.7792|109:161.7824,176.2948,188.7492,178.9505,190.2434|24:155.9964,161.3768,165.8664,176.5676,183.5835|30:156.4644,159.2737,159.8966,173.1827,204.9289|166:166.2145,168.3290,174.7106,174.8065,180.2973|5:150.7197,155.9921,167.7070,166.8503,162.4501|2:151.7474,151.3495,153.4823,161.2240,177.0627|162:165.6785,171.5198,167.6969,174.1504,182.5249|62:157.0202,169.5696,176.0006,207.7980,208.0797|217:180.2684,190.4408,216.2208,185.3479,236.7232|145:160.1947,168.7101,188.7530,212.0736,231.0125|60:158.7794,162.0671,177.1109,185.1609,224.2227",,,0,,,,,1,1,1,1,1,False,True,7,7,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,9,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,166.44325256347656,252.97891235351562,155.80232620239258,209.91033935546875,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,160.1916961669922,188.5739402770996,183.36300659179688,252.97891235351562,24.579099120224544,,,,,,,,,,,,,,,,,,,,,"178:172.0504,170.7684,173.4325,175.4679,183.4347|96:161.4289,169.9409,182.7316,188.9754,184.7221|19:156.0793,162.6785,153.9230,156.9043,186.4995|176:172.8764,178.7116,181.6782,168.9273,183.2913|171:174.8244,175.6940,174.3027,177.9236,173.9251|89:160.8443,171.0535,167.6835,163.6113,196.3466|90:165.2841,171.4266,162.8131,168.8748,167.6860|11:154.7688,168.4923,165.7988,154.1974,160.1917|190:172.5803,190.4848,184.6780,190.7792,202.5000|109:176.2948,188.7492,178.9505,190.2434,184.7338|24:161.3768,165.8664,176.5676,183.5835,169.6917|30:159.2737,159.8966,173.1827,204.9289,173.0062|166:168.3290,174.7106,174.8065,180.2973,174.3737|5:155.9921,167.7070,166.8503,162.4501,171.3915|2:151.3495,153.4823,161.2240,177.0627,174.2333|162:171.5198,167.6969,174.1504,182.5249,173.4687|62:169.5696,176.0006,207.7980,208.0797,187.5687|217:190.4408,216.2208,185.3479,236.7232,252.9789|145:168.7101,188.7530,212.0736,231.0125,244.6611|60:162.0671,177.1109,185.1609,224.2227,226.7743",,,0,,,,,1,1,1,1,1,False,True,8,8,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0,10,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,164.27418518066406,244.48660278320312,156.20416259765625,214.56195373535155,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,160.92880249023438,193.33068237304687,182.70718383789062,244.48660278320312,28.54196557765761,,,,,,,,,,,,,,,,,,,,,"178:170.7684,173.4325,175.4679,183.4347,173.0461|96:169.9409,182.7316,188.9754,184.7221,166.9110|19:162.6785,153.9230,156.9043,186.4995,162.2544|176:178.7116,181.6782,168.9273,183.2913,186.2391|171:175.6940,174.3027,177.9236,173.9251,182.2139|89:171.0535,167.6835,163.6113,196.3466,175.5723|90:171.4266,162.8131,168.8748,167.6860,183.2005|11:168.4923,165.7988,154.1974,160.1917,160.9288|190:190.4848,184.6780,190.7792,202.5000,234.2674|109:188.7492,178.9505,190.2434,184.7338,241.8213|24:165.8664,176.5676,183.5835,169.6917,175.3699|30:159.8966,173.1827,204.9289,173.0062,187.1112|166:174.7106,174.8065,180.2973,174.3737,175.7230|5:167.7070,166.8503,162.4501,171.3915,164.2470|2:153.4823,161.2240,177.0627,174.2333,171.2303|162:167.6969,174.1504,182.5249,173.4687,195.2311|62:176.0006,207.7980,208.0797,187.5687,220.6983|217:216.2208,185.3479,236.7232,252.9789,244.4866|145:188.7530,212.0736,231.0125,244.6611,229.7520|60:177.1109,185.1609,224.2227,226.7743,236.3092",,,0,,,,,1,1,1,1,1,False,True,9,9,2,1
