run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,1,339,data_4000_3_8.0_chordal,train_epoch,train,,,1,0.8476180438995361,,,,,,,,4000,,,,,,,,,,,
local,local,,,1,339,data_4000_3_8.0_chordal,val_epoch,val,,,1,,1.3784021339416503,0.6317,0.5477499961853027,0.2758552890287063,0.2756119966506958,0.2756119966506958,0.2756119966506958,4000,,,,,,,,,,,
local,local,,,1,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle2,,1,,,,,,,,,4000,277.0,1519.0,2204.0,0.0,0.15423162583518932,1.0,0.2672455310821533,0.2672455310821533,0.2672455310821533,277.0,0.06925000250339508
local,local,,,1,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle3,,1,,,,,,,,,4000,291.0,1452.0,2257.0,0.0,0.16695352839931152,1.0,0.2861357033252716,0.2861357033252716,0.2861357033252716,291.0,0.07275000214576721
local,local,,,1,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle4,,1,,,,,,,,,4000,260.0,1454.0,2286.0,0.0,0.1516919486581097,1.0,0.26342451572418213,0.26342451572418213,0.26342451572418213,260.0,0.06499999761581421
local,local,,,1,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle5,,1,,,,,,,,,4000,337.0,1393.0,2270.0,0.0,0.1947976878612717,1.0,0.3260764181613922,0.3260764181613922,0.3260764181613922,337.0,0.08425000309944153
local,local,,,1,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle6,,1,,,,,,,,,4000,238.0,1548.0,2214.0,0.0,0.13325867861142218,1.0,0.2351778745651245,0.2351778745651245,0.2351778745651245,238.0,0.05950000137090683
local,local,,,1,339,data_4000_3_8.0_chordal,train_epoch,train,,,2,0.4871395301818848,,,,,,,,4000,,,,,,,,,,,
local,local,,,1,339,data_4000_3_8.0_chordal,val_epoch,val,,,2,,0.3495250366926193,0.8519,0.7329999804496765,0.4859423811176674,0.5004884004592896,0.5004884004592896,0.5004884004592896,4000,,,,,,,,,,,
local,local,,,1,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle2,,2,,,,,,,,,4000,276.0,263.0,3460.0,1.0,0.5120593692022264,0.9963898916967509,0.6764705777168274,0.6764705777168274,0.6764705777168274,277.0,0.06925000250339508
local,local,,,1,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle3,,2,,,,,,,,,4000,291.0,531.0,3178.0,0.0,0.354014598540146,1.0,0.5229110717773438,0.5229110717773438,0.5229110717773438,291.0,0.07275000214576721
