subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,member_sum_aff_text,member_max_dtw_text,member_max_dtw_partner_text,member_min_aff_partner_text,global_max_pair_dtw,global_max_pair_dtw_graph_i,global_max_pair_dtw_graph_j,global_max_pair_dtw_member_idx_i,global_max_pair_dtw_member_idx_j,global_min_pair_aff,global_min_pair_aff_graph_i,global_min_pair_aff_graph_j,global_min_pair_aff_member_idx_i,global_min_pair_aff_member_idx_j,peeled_sum_aff,peeled_max_dtw,peeled_max_dtw_partner_graph_id,peeled_in_global_max_pair,selected_grad_tails_text,applied_split_event_idx,pairwise_n_members,pairwise_logged_for_applied_split,pairwise_member_order_json,pairwise_histories_json,pairwise_dtw_json,pairwise_affinity_json,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,1,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,154.98915100097656,163.2633056640625,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.27865600585938,155.7561477661133,155.78065490722656,163.2633056640625,6.067281299170993,,,,,,,,,,,,,,,,,,,,,178:163.2633|96:155.7147|17:148.2787|18:148.2960|171:163.0166|169:162.8105|91:155.5779|11:148.9289|192:162.9817|33:148.3234|111:156.3501|196:162.9757|2:148.6196|162:162.7647|82:155.6910|3:148.3893|153:155.9271|68:148.4418|219:162.9255|159:155.8466,,,0,,,,,1,1,1,0,0,,,0,0,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,2,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,155.3015899658203,164.69134521484375,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.10426330566406,156.2458137512207,156.26612854003906,164.69134521484375,6.492641017636132,,,,,,,,,,,,,,,,,,,,,"178:163.2633,163.7623|96:155.7147,156.0627|17:148.2787,148.5863|18:148.2960,148.1936|171:163.0166,164.3172|169:162.8105,163.4461|91:155.5779,156.0288|11:148.9289,148.1805|192:162.9817,163.4855|33:148.3234,148.2158|111:156.3501,155.4556|196:162.9757,163.0408|2:148.6196,148.1043|162:162.7647,163.9843|82:155.6910,157.8692|3:148.3893,149.2391|153:155.9271,157.6613|68:148.4418,148.1220|219:162.9255,164.6913|159:155.8466,156.4696",,,0,,,,,1,1,1,0,0,,,1,1,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,3,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,157.51614379882812,171.55593872070312,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,149.65814208984375,158.8149658203125,159.13076782226562,171.55593872070312,6.942803168753294,,,,,,,,,,,,,,,,,,,,,"178:163.2633,163.7623,165.9112|96:155.7147,156.0627,157.9534|17:148.2787,148.5863,149.8114|18:148.2960,148.1936,151.7403|171:163.0166,164.3172,165.1817|169:162.8105,163.4461,165.2439|91:155.5779,156.0288,158.6315|11:148.9289,148.1805,151.0478|192:162.9817,163.4855,166.5611|33:148.3234,148.2158,151.2400|111:156.3501,155.4556,159.6301|196:162.9757,163.0408,167.9153|2:148.6196,148.1043,149.6581|162:162.7647,163.9843,165.9046|82:155.6910,157.8692,157.3672|3:148.3893,149.2391,150.1452|153:155.9271,157.6613,159.9226|68:148.4418,148.1220,150.9102|219:162.9255,164.6913,171.5559|159:155.8466,156.4696,159.9678",,,0,,,,,1,1,1,0,0,,,2,2,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,4,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,161.0247344970703,181.2318572998047,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,150.08514404296875,164.29460601806642,165.19042205810547,181.2318572998047,8.462153388244706,,,,,,,,,,,,,,,,,,,,,"178:163.2633,163.7623,165.9112,167.0347|96:155.7147,156.0627,157.9534,162.7657|17:148.2787,148.5863,149.8114,153.7222|18:148.2960,148.1936,151.7403,157.2188|171:163.0166,164.3172,165.1817,168.0884|169:162.8105,163.4461,165.2439,172.0333|91:155.5779,156.0288,158.6315,161.8124|11:148.9289,148.1805,151.0478,150.0851|192:162.9817,163.4855,166.5611,177.0775|33:148.3234,148.2158,151.2400,156.0080|111:156.3501,155.4556,159.6301,164.6951|196:162.9757,163.0408,167.9153,173.1430|2:148.6196,148.1043,149.6581,157.2696|162:162.7647,163.9843,165.9046,165.6857|82:155.6910,157.8692,157.3672,160.1831|3:148.3893,149.2391,150.1452,150.0955|153:155.9271,157.6613,159.9226,174.1255|68:148.4418,148.1220,150.9102,167.7139|219:162.9255,164.6913,171.5559,181.2319|159:155.8466,156.4696,159.9678,165.9027",,,0,,,,,1,1,1,0,0,,,3,3,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,5,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,166.3823699951172,207.20223999023438,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,150.847412109375,172.67573318481445,170.83389282226562,207.20223999023438,13.74955318608803,,,,,,,,,,,,,,,,,,,,,"178:163.2633,163.7623,165.9112,167.0347,179.5503|96:155.7147,156.0627,157.9534,162.7657,167.2826|17:148.2787,148.5863,149.8114,153.7222,164.8069|18:148.2960,148.1936,151.7403,157.2188,168.9366|171:163.0166,164.3172,165.1817,168.0884,172.7312|169:162.8105,163.4461,165.2439,172.0333,167.0519|91:155.5779,156.0288,158.6315,161.8124,159.2426|11:148.9289,148.1805,151.0478,150.0851,160.6862|192:162.9817,163.4855,166.5611,177.0775,207.2022|33:148.3234,148.2158,151.2400,156.0080,180.1648|111:156.3501,155.4556,159.6301,164.6951,185.2406|196:162.9757,163.0408,167.9153,173.1430,176.6729|2:148.6196,148.1043,149.6581,157.2696,151.3950|162:162.7647,163.9843,165.9046,165.6857,167.6056|82:155.6910,157.8692,157.3672,160.1831,162.2533|3:148.3893,149.2391,150.1452,150.0955,150.8474|153:155.9271,157.6613,159.9226,174.1255,174.4847|68:148.4418,148.1220,150.9102,167.7139,172.9910|219:162.9255,164.6913,171.5559,181.2319,195.5526|159:155.8466,156.4696,159.9678,165.9027,188.8161",,,0,,,,,1,1,1,0,0,,,4,4,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,6,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,172.88116455078125,298.862548828125,155.3015899658203,179.2966735839844,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,153.98895263671875,185.1766014099121,171.68356323242188,298.862548828125,32.524043689299624,,,,,,,,,,,,,,,,,,,,,"178:163.7623,165.9112,167.0347,179.5503,186.7614|96:156.0627,157.9534,162.7657,167.2826,170.0325|17:148.5863,149.8114,153.7222,164.8069,165.1489|18:148.1936,151.7403,157.2188,168.9366,161.6479|171:164.3172,165.1817,168.0884,172.7312,172.9092|169:163.4461,165.2439,172.0333,167.0519,170.4579|91:156.0288,158.6315,161.8124,159.2426,164.6878|11:148.1805,151.0478,150.0851,160.6862,159.7940|192:163.4855,166.5611,177.0775,207.2022,208.2433|33:148.2158,151.2400,156.0080,180.1648,187.2195|111:155.4556,159.6301,164.6951,185.2406,183.7527|196:163.0408,167.9153,173.1430,176.6729,215.4998|2:148.1043,149.6581,157.2696,151.3950,157.1718|162:163.9843,165.9046,165.6857,167.6056,169.5571|82:157.8692,157.3672,160.1831,162.2533,161.7064|3:149.2391,150.1452,150.0955,150.8474,153.9890|153:157.6613,159.9226,174.1255,174.4847,207.5598|68:148.1220,150.9102,167.7139,172.9910,190.5769|219:164.6913,171.5559,181.2319,195.5526,217.9534|159:156.4696,159.9678,165.9027,188.8161,298.8625",,,0,,,,,1,1,1,1,1,False,True,5,5,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,7,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,171.49209594726562,260.1563720703125,155.85522842407227,194.21704864501953,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,158.83453369140625,188.81525192260742,179.442138671875,260.1563720703125,25.501148743565622,,,,,,,,,,,,,,,,,,,,,"178:165.9112,167.0347,179.5503,186.7614,177.0334|96:157.9534,162.7657,167.2826,170.0325,172.1904|17:149.8114,153.7222,164.8069,165.1489,184.7280|18:151.7403,157.2188,168.9366,161.6479,175.0162|171:165.1817,168.0884,172.7312,172.9092,178.5055|169:165.2439,172.0333,167.0519,170.4579,193.6309|91:158.6315,161.8124,159.2426,164.6878,168.1458|11:151.0478,150.0851,160.6862,159.7940,158.8345|192:166.5611,177.0775,207.2022,208.2433,204.4198|33:151.2400,156.0080,180.1648,187.2195,180.3788|111:159.6301,164.6951,185.2406,183.7527,208.3622|196:167.9153,173.1430,176.6729,215.4998,224.8560|2:149.6581,157.2696,151.3950,157.1718,166.6329|162:165.9046,165.6857,167.6056,169.5571,171.6466|82:157.3672,160.1831,162.2533,161.7064,163.2169|3:150.1452,150.0955,150.8474,153.9890,159.3383|153:159.9226,174.1255,174.4847,207.5598,200.7590|68:150.9102,167.7139,172.9910,190.5769,207.2297|219:171.5559,181.2319,195.5526,217.9534,260.1564|159:159.9678,165.9027,188.8161,298.8625,221.2239",,,0,,,,,1,1,1,1,1,False,True,6,6,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,8,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,170.82070922851562,296.1134948730469,156.40886688232422,217.79306640624998,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,160.7282257080078,201.80377197265625,176.76144409179688,296.1134948730469,46.280158315505304,,,,,,,,,,,,,,,,,,,,,"178:167.0347,179.5503,186.7614,177.0334,179.0784|96:162.7657,167.2826,170.0325,172.1904,166.5659|17:153.7222,164.8069,165.1489,184.7280,160.8759|18:157.2188,168.9366,161.6479,175.0162,160.7282|171:168.0884,172.7312,172.9092,178.5055,171.8953|169:172.0333,167.0519,170.4579,193.6309,172.6207|91:161.8124,159.2426,164.6878,168.1458,162.8323|11:150.0851,160.6862,159.7940,158.8345,161.7986|192:177.0775,207.2022,208.2433,204.4198,259.6577|33:156.0080,180.1648,187.2195,180.3788,225.4680|111:164.6951,185.2406,183.7527,208.3622,192.9343|196:173.1430,176.6729,215.4998,224.8560,233.9953|2:157.2696,151.3950,157.1718,166.6329,175.7310|162:165.6857,167.6056,169.5571,171.6466,177.7918|82:160.1831,162.2533,161.7064,163.2169,166.9797|3:150.0955,150.8474,153.9890,159.3383,168.3740|153:174.1255,174.4847,207.5598,200.7590,283.1611|68:167.7139,172.9910,190.5769,207.2297,291.4921|219:181.2319,195.5526,217.9534,260.1564,227.9816|159:165.9027,188.8161,298.8625,221.2239,296.1135",,,0,,,,,1,1,1,1,1,False,True,7,7,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,9,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,176.9266357421875,361.6230773925781,156.96250534057617,254.86095886230467,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,164.80455017089844,213.30694503784179,189.0953369140625,361.6230773925781,53.68083928928819,,,,,,,,,,,,,,,,,,,,,"178:179.5503,186.7614,177.0334,179.0784,188.8653|96:167.2826,170.0325,172.1904,166.5659,193.8230|17:164.8069,165.1489,184.7280,160.8759,189.3253|18:168.9366,161.6479,175.0162,160.7282,182.0891|171:172.7312,172.9092,178.5055,171.8953,182.5962|169:167.0519,170.4579,193.6309,172.6207,185.6214|91:159.2426,164.6878,168.1458,162.8323,173.4971|11:160.6862,159.7940,158.8345,161.7986,177.7813|192:207.2022,208.2433,204.4198,259.6577,203.4421|33:180.1648,187.2195,180.3788,225.4680,207.3644|111:185.2406,183.7527,208.3622,192.9343,198.3860|196:176.6729,215.4998,224.8560,233.9953,291.4864|2:151.3950,157.1718,166.6329,175.7310,164.8046|162:167.6056,169.5571,171.6466,177.7918,183.0585|82:162.2533,161.7064,163.2169,166.9797,183.4312|3:150.8474,153.9890,159.3383,168.3740,175.4722|153:174.4847,207.5598,200.7590,283.1611,321.8997|68:172.9910,190.5769,207.2297,291.4921,361.6231|219:195.5526,217.9534,260.1564,227.9816,281.5368|159:188.8161,298.8625,221.2239,296.1135,220.0351",,,0,,,,,1,1,1,1,1,False,True,8,8,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,1,10,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,160.58897399902344,261.2345275878906,157.51614379882812,281.7306457519531,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,159.6588592529297,202.7522850036621,195.21073150634766,261.2345275878906,28.51024214263751,,,,,,,,,,,,,,,,,,,,,"178:186.7614,177.0334,179.0784,188.8653,181.0222|96:170.0325,172.1904,166.5659,193.8230,233.1055|17:165.1489,184.7280,160.8759,189.3253,171.0752|18:161.6479,175.0162,160.7282,182.0891,159.6589|171:172.9092,178.5055,171.8953,182.5962,181.8618|169:170.4579,193.6309,172.6207,185.6214,182.1804|91:164.6878,168.1458,162.8323,173.4971,194.4351|11:159.7940,158.8345,161.7986,177.7813,170.4895|192:208.2433,204.4198,259.6577,203.4421,211.0156|33:187.2195,180.3788,225.4680,207.3644,188.0131|111:183.7527,208.3622,192.9343,198.3860,195.9864|196:215.4998,224.8560,233.9953,291.4864,218.6601|2:157.1718,166.6329,175.7310,164.8046,211.5214|162:169.5571,171.6466,177.7918,183.0585,197.6030|82:161.7064,163.2169,166.9797,183.4312,193.2040|3:153.9890,159.3383,168.3740,175.4722,183.3594|153:207.5598,200.7590,283.1611,321.8997,261.2345|68:190.5769,207.2297,291.4921,361.6231,211.4921|219:217.9534,260.1564,227.9816,281.5368,252.0593|159:298.8625,221.2239,296.1135,220.0351,257.0683",,,0,,,,,1,1,1,1,1,False,False,9,9,2,1
