run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
fedavg,fedavg,510|859,510|859,2,510,data_2000_5_5.5_chordal,train_epoch,train,,1,1.0,0.6083289086818695,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,510|859,510|859,2,510,data_2000_5_5.5_chordal,train_epoch,train,,1,2.0,0.3902254211902618,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,510|859,510|859,2,510,data_2000_5_5.5_chordal,train_epoch,train,,1,3.0,0.33450020670890807,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,510|859,510|859,2,510,data_2000_5_5.5_chordal,val_epoch,val,,1,,,0.33638139128684996,0.8403,0.5180000066757202,0.8264319095750462,0.8412593603134155,0.8412593603134155,0.8178820610046387,2000,,,,,,,,,,,
fedavg,fedavg,510|859,510|859,2,510,data_2000_5_5.5_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,2000,532.0,56.0,1412.0,0.0,0.9047619047619048,1.0,0.949999988079071,0.949999988079071,0.949999988079071,532.0,0.26600000262260437
fedavg,fedavg,510|859,510|859,2,510,data_2000_5_5.5_chordal,val_epoch_task,val,cycle3,1,,,,,,,,,,2000,706.0,149.0,1121.0,24.0,0.8257309941520468,0.9671232876712329,0.8908516764640808,0.8908516764640808,0.8908516764640808,730.0,0.36500000953674316
fedavg,fedavg,510|859,510|859,2,510,data_2000_5_5.5_chordal,val_epoch_task,val,cycle4,1,,,,,,,,,,2000,771.0,347.0,781.0,101.0,0.6896243291592129,0.8841743119266054,0.7748742699623108,0.7748742699623108,0.7748742699623108,872.0,0.4359999895095825
fedavg,fedavg,510|859,510|859,2,510,data_2000_5_5.5_chordal,val_epoch_task,val,cycle5,1,,,,,,,,,,2000,849.0,281.0,666.0,204.0,0.7513274336283186,0.8062678062678063,0.7778286933898926,0.7778286933898926,0.7330765128135681,1053.0,0.5264999866485596
fedavg,fedavg,510|859,510|859,2,510,data_2000_5_5.5_chordal,val_epoch_task,val,cycle6,1,,,,,,,,,,2000,944.0,257.0,621.0,178.0,0.7860116569525396,0.8413547237076648,0.8127421736717224,0.8127421736717224,0.7406081557273865,1122.0,0.5609999895095825
fedavg,fedavg,510|859,510|859,2,859,data_2000_4_1.5_chordal,train_epoch,train,,1,1.0,0.8713312516212464,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,510|859,510|859,2,859,data_2000_4_1.5_chordal,train_epoch,train,,1,2.0,0.6676525917053223,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,510|859,510|859,2,859,data_2000_4_1.5_chordal,train_epoch,train,,1,3.0,0.5695659348964691,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,510|859,510|859,2,859,data_2000_4_1.5_chordal,val_epoch,val,,1,,,0.989902638912201,0.7313,0.47350001335144043,0.6096178991718727,0.5581570863723755,0.5581570863723755,0.5581570863723755,2000,,,,,,,,,,,
fedavg,fedavg,510|859,510|859,2,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,2000,746.0,209.0,929.0,116.0,0.7811518324607329,0.8654292343387471,0.8211337924003601,0.8211337924003601,0.8211337924003601,862.0,0.4309999942779541
