run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
fedavg,fedavg,504|859,504|859,0,504,data_2000_3_11_chordal,train_epoch,train,,1,1.0,1.039877622127533,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,0,504,data_2000_3_11_chordal,train_epoch,train,,1,2.0,0.6743717260360718,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,0,504,data_2000_3_11_chordal,train_epoch,train,,1,3.0,0.5822724101543426,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,0,504,data_2000_3_11_chordal,val_epoch,val,,1,,,0.8496528177261352,0.8707,0.7519999742507935,0.47029905776321174,0.4669531285762787,0.4669531285762787,0.4669531285762787,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,0,504,data_2000_3_11_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,2000,76.0,253.0,1665.0,6.0,0.23100303951367782,0.926829268292683,0.3698296844959259,0.3698296844959259,0.3698296844959259,82.0,0.04100000113248825
fedavg,fedavg,504|859,504|859,0,504,data_2000_3_11_chordal,val_epoch_task,val,cycle3,1,,,,,,,,,,2000,107.0,227.0,1645.0,21.0,0.3203592814371258,0.8359375,0.46320345997810364,0.46320345997810364,0.46320345997810364,128.0,0.06400000303983688
fedavg,fedavg,504|859,504|859,0,504,data_2000_3_11_chordal,val_epoch_task,val,cycle4,1,,,,,,,,,,2000,138.0,196.0,1647.0,19.0,0.41317365269461076,0.8789808917197452,0.5621181130409241,0.5621181130409241,0.5621181130409241,157.0,0.07850000262260437
fedavg,fedavg,504|859,504|859,0,504,data_2000_3_11_chordal,val_epoch_task,val,cycle5,1,,,,,,,,,,2000,125.0,223.0,1590.0,62.0,0.35919540229885055,0.6684491978609626,0.4672897458076477,0.4672897458076477,0.4672897458076477,187.0,0.09350000321865082
fedavg,fedavg,504|859,504|859,0,504,data_2000_3_11_chordal,val_epoch_task,val,cycle6,1,,,,,,,,,,2000,128.0,231.0,1586.0,55.0,0.3565459610027855,0.6994535519125683,0.4723246991634369,0.4723246991634369,0.4723246991634369,183.0,0.09149999916553497
fedavg,fedavg,504|859,504|859,0,859,data_2000_4_1.5_chordal,train_epoch,train,,1,1.0,0.8814968752861023,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,0,859,data_2000_4_1.5_chordal,train_epoch,train,,1,2.0,0.6784768042564392,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,0,859,data_2000_4_1.5_chordal,train_epoch,train,,1,3.0,0.5665072875022888,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,0,859,data_2000_4_1.5_chordal,val_epoch,val,,1,,,0.7295657100677491,0.7156,0.46650001406669617,0.5846962616822429,0.5436003804206848,0.5436003804206848,0.5436003804206848,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,0,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,2000,650.0,116.0,1022.0,212.0,0.8485639686684073,0.7540603248259861,0.7985258102416992,0.7985258102416992,0.7985258102416992,862.0,0.4309999942779541
