run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
fedavg,fedavg,339|568,339|568,2,339,data_4000_3_8.0_chordal,train_epoch,train,,1,1.0,0.8741813337802887,,,,,,,,4000,,,,,,,,,,,
fedavg,fedavg,339|568,339|568,2,339,data_4000_3_8.0_chordal,val_epoch,val,,1,,,0.5845943903923034,0.77525,0.6962500214576721,0.3817906752853803,0.38123756647109985,0.38123756647109985,0.38123756647109985,4000,,,,,,,,,,,
fedavg,fedavg,339|568,339|568,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,4000,277.0,845.0,2878.0,0.0,0.24688057040998218,1.0,0.39599716663360596,0.39599716663360596,0.39599716663360596,277.0,0.06925000250339508
fedavg,fedavg,339|568,339|568,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle3,1,,,,,,,,,,4000,290.0,867.0,2842.0,1.0,0.25064822817631804,0.9965635738831615,0.4005524814128876,0.4005524814128876,0.4005524814128876,291.0,0.07275000214576721
fedavg,fedavg,339|568,339|568,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle4,1,,,,,,,,,,4000,259.0,925.0,2815.0,1.0,0.21875,0.9961538461538462,0.35872575640678406,0.35872575640678406,0.35872575640678406,260.0,0.06499999761581421
fedavg,fedavg,339|568,339|568,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle5,1,,,,,,,,,,4000,332.0,866.0,2797.0,5.0,0.27712854757929883,0.9851632047477745,0.43257325887680054,0.43257325887680054,0.43257325887680054,337.0,0.08425000309944153
fedavg,fedavg,339|568,339|568,2,339,data_4000_3_8.0_chordal,val_epoch_task,val,cycle6,1,,,,,,,,,,4000,230.0,977.0,2785.0,8.0,0.19055509527754763,0.9663865546218487,0.318339079618454,0.318339079618454,0.318339079618454,238.0,0.05950000137090683
fedavg,fedavg,339|568,339|568,2,568,data_4000_3_9.5_chordal,train_epoch,train,,1,1.0,0.8668320298194885,,,,,,,,4000,,,,,,,,,,,
fedavg,fedavg,339|568,339|568,2,568,data_4000_3_9.5_chordal,val_epoch,val,,1,,,1.0625887031555177,0.6466,0.5680000185966492,0.2830188679245283,0.2828153967857361,0.2828153967857361,0.2828153967857361,4000,,,,,,,,,,,
fedavg,fedavg,339|568,339|568,2,568,data_4000_3_9.5_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,4000,242.0,1439.0,2319.0,0.0,0.1439619274241523,1.0,0.2516900599002838,0.2516900599002838,0.2516900599002838,242.0,0.060499999672174454
