run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,train_epoch,train,,,1,0.7913255989551544,,,,,,,,4000,,,,,,,,,,,
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch,val,,,1,,0.5862512583732605,0.841,0.578499972820282,0.6293706293706294,0.648980438709259,0.648980438709259,0.648980438709259,4000,,,,,,,,,,,
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch_task,val,cycle2,,1,,,,,,,,,4000,392.0,270.0,3329.0,9.0,0.5921450151057401,0.9775561097256857,0.7375352382659912,0.7375352382659912,0.7375352382659912,401.0,0.1002499982714653
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch_task,val,cycle3,,1,,,,,,,,,4000,469.0,284.0,3229.0,18.0,0.6228419654714475,0.9630390143737166,0.7564516067504883,0.7564516067504883,0.7564516067504883,487.0,0.12174999713897705
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch_task,val,cycle4,,1,,,,,,,,,4000,479.0,540.0,2785.0,196.0,0.47006869479882235,0.7096296296296296,0.5655254125595093,0.5655254125595093,0.5655254125595093,675.0,0.16875000298023224
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch_task,val,cycle5,,1,,,,,,,,,4000,622.0,603.0,2478.0,297.0,0.5077551020408163,0.676822633297062,0.5802239179611206,0.5802239179611206,0.5802239179611206,919.0,0.22975000739097595
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch_task,val,cycle6,,1,,,,,,,,,4000,738.0,592.0,2299.0,371.0,0.5548872180451128,0.6654643823264202,0.6051660180091858,0.6051660180091858,0.6051660180091858,1109.0,0.2772499918937683
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,train_epoch,train,,,2,0.4483435847759247,,,,,,,,4000,,,,,,,,,,,
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch,val,,,2,,0.40539323902130125,0.85695,0.6107500195503235,0.7026296642760627,0.7364686727523804,0.7364686727523804,0.7364686727523804,4000,,,,,,,,,,,
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch_task,val,cycle2,,2,,,,,,,,,4000,398.0,67.0,3532.0,3.0,0.8559139784946237,0.9925187032418953,0.9191685914993286,0.9191685914993286,0.9191685914993286,401.0,0.1002499982714653
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch_task,val,cycle3,,2,,,,,,,,,4000,487.0,332.0,3181.0,0.0,0.5946275946275946,1.0,0.7457886934280396,0.7457886934280396,0.7457886934280396,487.0,0.12174999713897705
local,local,,,2,153,data_4000_4_10.5_chordal_rep01,val_epoch_task,val,cycle4,,2,,,,,,,,,4000,672.0,600.0,2725.0,3.0,0.5283018867924528,0.9955555555555555,0.6902927756309509,0.6902927756309509,0.6902927756309509,675.0,0.16875000298023224
