subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,selected_grad_tails_text,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,1,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,157.9977264404297,164.19448852539062,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.24281311035156,158.92945098876953,160.853515625,164.19448852539062,5.338062433516688,,,87:161.4160|157:163.1247|149:163.5394|109:162.9032|143:163.1224|114:160.8873|117:156.2126|2:148.8369|88:148.2428|145:162.7477|166:160.1928|141:160.8197|65:150.8250|6:162.7746|131:160.5727|119:155.5436|96:164.1945|162:148.9043|107:163.3447|0:160.3841,1,1,1,0,0,,,0,0,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,2,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,157.90798950195312,163.9766082763672,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.08229064941406,158.7895721435547,160.8540802001953,163.9766082763672,5.475015616145456,,,"87:161.4160,161.2473|157:163.1247,163.1179|149:163.5394,163.9766|109:162.9032,163.9028|143:163.1224,163.7229|114:160.8873,161.9033|117:156.2126,155.1922|2:148.8369,149.3641|88:148.2428,148.0901|145:162.7477,163.1598|166:160.1928,160.1292|141:160.8197,160.1906|65:150.8250,150.2955|6:162.7746,162.4649|131:160.5727,160.2110|119:155.5436,155.0390|96:164.1945,162.6782|162:148.9043,148.0823|107:163.3447,162.5628|0:160.3841,160.4609",1,1,1,0,0,,,1,1,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,3,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,159.32872009277344,166.18911743164062,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,149.10035705566406,160.6110710144043,162.1136932373047,166.18911743164062,5.56417060937586,,,"87:161.4160,161.2473,162.6634|157:163.1247,163.1179,165.9956|149:163.5394,163.9766,166.1891|109:162.9032,163.9028,165.0913|143:163.1224,163.7229,165.2440|114:160.8873,161.9033,161.5202|117:156.2126,155.1922,157.6389|2:148.8369,149.3641,151.7836|88:148.2428,148.0901,149.1004|145:162.7477,163.1598,165.2650|166:160.1928,160.1292,161.4353|141:160.8197,160.1906,161.5640|65:150.8250,150.2955,151.2712|6:162.7746,162.4649,164.1725|131:160.5727,160.2110,161.3847|119:155.5436,155.0390,157.7982|96:164.1945,162.6782,165.0490|162:148.9043,148.0823,150.1083|107:163.3447,162.5628,165.4087|0:160.3841,160.4609,163.5382",1,1,1,0,0,,,2,2,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,4,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,162.9856414794922,179.6885223388672,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,150.7504425048828,165.53813934326172,165.75818634033203,179.6885223388672,7.275571730133336,,,"87:161.4160,161.2473,162.6634,167.3711|157:163.1247,163.1179,165.9956,167.9317|149:163.5394,163.9766,166.1891,175.3573|109:162.9032,163.9028,165.0913,175.5501|143:163.1224,163.7229,165.2440,168.1512|114:160.8873,161.9033,161.5202,164.8544|117:156.2126,155.1922,157.6389,161.7616|2:148.8369,149.3641,151.7836,150.7504|88:148.2428,148.0901,149.1004,152.7282|145:162.7477,163.1598,165.2650,169.7440|166:160.1928,160.1292,161.4353,164.8361|141:160.8197,160.1906,161.5640,166.5314|65:150.8250,150.2955,151.2712,159.7927|6:162.7746,162.4649,164.1725,164.3434|131:160.5727,160.2110,161.3847,166.6149|119:155.5436,155.0390,157.7982,161.5771|96:164.1945,162.6782,165.0490,179.6885|162:148.9043,148.0823,150.1083,154.7839|107:163.3447,162.5628,165.4087,173.4096|0:160.3841,160.4609,163.5382,164.9850",1,1,1,0,0,,,3,3,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,5,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,164.96693420410156,188.78213500976562,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,155.15115356445312,169.35310287475585,169.8399887084961,188.78213500976562,8.010813460153704,,,"87:161.4160,161.2473,162.6634,167.3711,168.0850|157:163.1247,163.1179,165.9956,167.9317,173.1407|149:163.5394,163.9766,166.1891,175.3573,173.0827|109:162.9032,163.9028,165.0913,175.5501,178.4981|143:163.1224,163.7229,165.2440,168.1512,175.2244|114:160.8873,161.9033,161.5202,164.8544,170.1326|117:156.2126,155.1922,157.6389,161.7616,163.7707|2:148.8369,149.3641,151.7836,150.7504,155.5261|88:148.2428,148.0901,149.1004,152.7282,156.9572|145:162.7477,163.1598,165.2650,169.7440,169.5474|166:160.1928,160.1292,161.4353,164.8361,172.2571|141:160.8197,160.1906,161.5640,166.5314,172.1217|65:150.8250,150.2955,151.2712,159.7927,155.1512|6:162.7746,162.4649,164.1725,164.3434,164.9422|131:160.5727,160.2110,161.3847,166.6149,165.2261|119:155.5436,155.0390,157.7982,161.5771,164.1431|96:164.1945,162.6782,165.0490,179.6885,173.2211|162:148.9043,148.0823,150.1083,154.7839,168.7045|107:163.3447,162.5628,165.4087,173.4096,178.5480|0:160.3841,160.4609,163.5382,164.9850,188.7821",1,1,1,0,0,,,4,4,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,6,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,165.95582580566406,189.1708526611328,158.53012390136718,171.58887939453126,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,151.09922790527344,172.416593170166,172.33409118652344,189.1708526611328,9.531140528022707,,,"87:161.2473,162.6634,167.3711,168.0850,177.0562|157:163.1179,165.9956,167.9317,173.1407,186.1039|149:163.9766,166.1891,175.3573,173.0827,170.8150|109:163.9028,165.0913,175.5501,178.4981,180.5462|143:163.7229,165.2440,168.1512,175.2244,176.7085|114:161.9033,161.5202,164.8544,170.1326,166.9124|117:155.1922,157.6389,161.7616,163.7707,166.9278|2:149.3641,151.7836,150.7504,155.5261,151.0992|88:148.0901,149.1004,152.7282,156.9572,159.7457|145:163.1598,165.2650,169.7440,169.5474,173.5838|166:160.1292,161.4353,164.8361,172.2571,169.0557|141:160.1906,161.5640,166.5314,172.1217,175.1040|65:150.2955,151.2712,159.7927,155.1512,157.9714|6:162.4649,164.1725,164.3434,164.9422,167.7017|131:160.2110,161.3847,166.6149,165.2261,171.0844|119:155.0390,157.7982,161.5771,164.1431,165.6208|96:162.6782,165.0490,179.6885,173.2211,189.1709|162:148.0823,150.1083,154.7839,168.7045,175.7645|107:162.5628,165.4087,173.4096,178.5480,182.9263|0:160.4609,163.5382,164.9850,188.7821,184.4334",1,1,1,1,1,False,True,5,5,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,7,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,173.3111572265625,227.74745178222656,158.9959716796875,179.6885223388672,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,158.6538543701172,183.490234375,179.7019500732422,227.74745178222656,17.81086103687983,,,"87:162.6634,167.3711,168.0850,177.0562,180.4001|157:165.9956,167.9317,173.1407,186.1039,183.8413|149:166.1891,175.3573,173.0827,170.8150,188.0083|109:165.0913,175.5501,178.4981,180.5462,211.7907|143:165.2440,168.1512,175.2244,176.7085,174.8803|114:161.5202,164.8544,170.1326,166.9124,182.2588|117:157.6389,161.7616,163.7707,166.9278,167.9180|2:151.7836,150.7504,155.5261,151.0992,165.0690|88:149.1004,152.7282,156.9572,159.7457,178.4354|145:165.2650,169.7440,169.5474,173.5838,207.8226|166:161.4353,164.8361,172.2571,169.0557,179.0038|141:161.5640,166.5314,172.1217,175.1040,173.7657|65:151.2712,159.7927,155.1512,157.9714,158.6539|6:164.1725,164.3434,164.9422,167.7017,172.5390|131:161.3847,166.6149,165.2261,171.0844,168.9032|119:157.7982,161.5771,164.1431,165.6208,161.5652|96:165.0490,179.6885,173.2211,189.1709,207.4531|162:150.1083,154.7839,168.7045,175.7645,183.5882|107:165.4087,173.4096,178.5480,182.9263,196.1608|0:163.5382,164.9850,188.7821,184.4334,227.7475",1,1,1,1,1,False,True,6,6,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,8,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,173.51988220214844,240.24871826171875,159.6944122314453,185.14468994140626,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,161.89883422851562,189.30640029907227,184.7504653930664,240.24871826171875,21.164653407476795,,,"87:167.3711,168.0850,177.0562,180.4001,185.1164|157:167.9317,173.1407,186.1039,183.8413,197.8957|149:175.3573,173.0827,170.8150,188.0083,192.1196|109:175.5501,178.4981,180.5462,211.7907,233.4022|143:168.1512,175.2244,176.7085,174.8803,177.0164|114:164.8544,170.1326,166.9124,182.2588,179.4701|117:161.7616,163.7707,166.9278,167.9180,181.8598|2:150.7504,155.5261,151.0992,165.0690,184.3845|88:152.7282,156.9572,159.7457,178.4354,168.0066|145:169.7440,169.5474,173.5838,207.8226,188.7008|166:164.8361,172.2571,169.0557,179.0038,183.1270|141:166.5314,172.1217,175.1040,173.7657,192.2853|65:159.7927,155.1512,157.9714,158.6539,161.8988|6:164.3434,164.9422,167.7017,172.5390,170.1792|131:166.6149,165.2261,171.0844,168.9032,171.6073|119:161.5771,164.1431,165.6208,161.5652,168.8154|96:179.6885,173.2211,189.1709,207.4531,240.2487|162:154.7839,168.7045,175.7645,183.5882,186.4367|107:173.4096,178.5480,182.9263,196.1608,229.4289|0:164.9850,188.7821,184.4334,227.7475,194.1285",1,1,1,1,1,False,True,7,7,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,9,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,170.92633056640625,253.18934631347656,160.97433471679688,188.85987854003906,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,168.98101806640625,193.687589263916,187.6778793334961,253.18934631347656,23.804459529990012,,,"87:168.0850,177.0562,180.4001,185.1164,182.9087|157:173.1407,186.1039,183.8413,197.8957,195.7798|149:173.0827,170.8150,188.0083,192.1196,209.2169|109:178.4981,180.5462,211.7907,233.4022,184.2331|143:175.2244,176.7085,174.8803,177.0164,191.4417|114:170.1326,166.9124,182.2588,179.4701,175.0738|117:163.7707,166.9278,167.9180,181.8598,176.0062|2:155.5261,151.0992,165.0690,184.3845,168.9810|88:156.9572,159.7457,178.4354,168.0066,185.9548|145:169.5474,173.5838,207.8226,188.7008,212.1048|166:172.2571,169.0557,179.0038,183.1270,207.0789|141:172.1217,175.1040,173.7657,192.2853,189.4010|65:155.1512,157.9714,158.6539,161.8988,170.1162|6:164.9422,167.7017,172.5390,170.1792,180.5067|131:165.2261,171.0844,168.9032,171.6073,169.2288|119:164.1431,165.6208,161.5652,168.8154,169.7503|96:173.2211,189.1709,207.4531,240.2487,251.0514|162:168.7045,175.7645,183.5882,186.4367,191.4821|107:178.5480,182.9263,196.1608,229.4289,210.2461|0:188.7821,184.4334,227.7475,194.1285,253.1893",1,1,1,1,1,False,True,8,8,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,2,10,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,175.80543518066406,291.02252197265625,162.25425720214844,189.09310913085938,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,168.34239196777344,203.43655242919922,189.26543426513672,291.02252197265625,37.24587265026098,,,"87:177.0562,180.4001,185.1164,182.9087,197.4094|157:186.1039,183.8413,197.8957,195.7798,186.0118|149:170.8150,188.0083,192.1196,209.2169,202.4838|109:180.5462,211.7907,233.4022,184.2331,187.5104|143:176.7085,174.8803,177.0164,191.4417,192.4198|114:166.9124,182.2588,179.4701,175.0738,191.0204|117:166.9278,167.9180,181.8598,176.0062,179.5823|2:151.0992,165.0690,184.3845,168.9810,179.3344|88:159.7457,178.4354,168.0066,185.9548,168.3424|145:173.5838,207.8226,188.7008,212.1048,176.0249|166:169.0557,179.0038,183.1270,207.0789,198.7416|141:175.1040,173.7657,192.2853,189.4010,270.1375|65:157.9714,158.6539,161.8988,170.1162,172.4731|6:167.7017,172.5390,170.1792,180.5067,177.5635|131:171.0844,168.9032,171.6073,169.2288,177.3050|119:165.6208,161.5652,168.8154,169.7503,179.2678|96:189.1709,207.4531,240.2487,251.0514,291.0034|162:175.7645,183.5882,186.4367,191.4821,231.0015|107:182.9263,196.1608,229.4289,210.2461,220.0754|0:184.4334,227.7475,194.1285,253.1893,291.0225",1,1,1,1,1,False,True,9,9,2,1
