subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,member_sum_aff_text,member_max_dtw_text,member_max_dtw_partner_text,member_min_aff_partner_text,global_max_pair_dtw,global_max_pair_dtw_graph_i,global_max_pair_dtw_graph_j,global_max_pair_dtw_member_idx_i,global_max_pair_dtw_member_idx_j,global_min_pair_aff,global_min_pair_aff_graph_i,global_min_pair_aff_graph_j,global_min_pair_aff_member_idx_i,global_min_pair_aff_member_idx_j,peeled_sum_aff,peeled_max_dtw,peeled_max_dtw_partner_graph_id,peeled_in_global_max_pair,selected_grad_tails_text,applied_split_event_idx,pairwise_n_members,pairwise_logged_for_applied_split,pairwise_member_order_json,pairwise_histories_json,pairwise_dtw_json,pairwise_affinity_json,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,1,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,158.03509521484375,163.47023010253906,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.50880432128906,159.0485580444336,160.96075439453125,163.47023010253906,5.233215770173733,,,,,,,,,,,,,,,,,,,,,87:160.9894|157:163.1707|149:163.2353|109:163.3278|143:163.2436|114:161.4807|117:155.8691|2:149.9859|88:148.5250|145:162.9626|166:160.8673|141:160.7932|65:150.9204|6:163.1253|131:160.9321|119:156.0894|96:162.9365|162:148.5088|107:163.4702|0:160.5378,,,0,,,,,1,1,1,0,0,,,0,0,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,2,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,158.04010009765625,165.37220764160156,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.06536865234375,158.88685836791993,160.8467025756836,165.37220764160156,5.542864366475966,,,,,,,,,,,,,,,,,,,,,"87:160.9894,160.4972|157:163.1707,163.5230|149:163.2353,162.6290|109:163.3278,165.3722|143:163.2436,163.0264|114:161.4807,161.1962|117:155.8691,155.7957|2:149.9859,148.4328|88:148.5250,148.3409|145:162.9626,162.9488|166:160.8673,160.1059|141:160.7932,161.2711|65:150.9204,150.3676|6:163.1253,162.9390|131:160.9321,160.3783|119:156.0894,155.8972|96:162.9365,162.9708|162:148.5088,148.0654|107:163.4702,163.5580|0:160.5378,160.4216",,,0,,,,,1,1,1,0,0,,,1,1,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,3,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,160.32435607910156,167.5209197998047,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,149.82177734375,161.76517715454102,163.8414306640625,167.5209197998047,5.906127792038675,,,,,,,,,,,,,,,,,,,,,"87:160.9894,160.4972,163.5014|157:163.1707,163.5230,166.0801|149:163.2353,162.6290,166.9058|109:163.3278,165.3722,167.3559|143:163.2436,163.0264,166.7148|114:161.4807,161.1962,162.0847|117:155.8691,155.7957,158.5948|2:149.9859,148.4328,151.8228|88:148.5250,148.3409,150.0052|145:162.9626,162.9488,166.4344|166:160.8673,160.1059,161.6852|141:160.7932,161.2711,167.5209|65:150.9204,150.3676,154.4314|6:163.1253,162.9390,166.6280|131:160.9321,160.3783,162.1528|119:156.0894,155.8972,156.8282|96:162.9365,162.9708,165.8052|162:148.5088,148.0654,149.8218|107:163.4702,163.5580,166.7485|0:160.5378,160.4216,164.1815",,,0,,,,,1,1,1,0,0,,,2,2,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,4,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,165.60989379882812,182.663330078125,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,156.4356231689453,168.36736450195312,169.0706787109375,182.663330078125,7.167482024172241,,,,,,,,,,,,,,,,,,,,,"87:160.9894,160.4972,163.5014,172.5872|157:163.1707,163.5230,166.0801,168.5772|149:163.2353,162.6290,166.9058,180.3507|109:163.3278,165.3722,167.3559,171.9443|143:163.2436,163.0264,166.7148,170.3480|114:161.4807,161.1962,162.0847,171.1450|117:155.8691,155.7957,158.5948,163.0451|2:149.9859,148.4328,151.8228,156.4356|88:148.5250,148.3409,150.0052,157.2515|145:162.9626,162.9488,166.4344,176.6629|166:160.8673,160.1059,161.6852,166.4943|141:160.7932,161.2711,167.5209,173.9917|65:150.9204,150.3676,154.4314,156.6083|6:163.1253,162.9390,166.6280,168.6969|131:160.9321,160.3783,162.1528,164.3532|119:156.0894,155.8972,156.8282,161.3402|96:162.9365,162.9708,165.8052,182.6633|162:148.5088,148.0654,149.8218,163.6377|107:163.4702,163.5580,166.7485,171.7697|0:160.5378,160.4216,164.1815,169.4444",,,0,,,,,1,1,1,0,0,,,3,3,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,5,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,175.02731323242188,220.96900939941406,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,161.2994384765625,181.46170959472656,179.68145751953125,220.96900939941406,15.364910911086026,,,,,,,,,,,,,,,,,,,,,"87:160.9894,160.4972,163.5014,172.5872,185.0077|157:163.1707,163.5230,166.0801,168.5772,194.3040|149:163.2353,162.6290,166.9058,180.3507,180.4488|109:163.3278,165.3722,167.3559,171.9443,193.2410|143:163.2436,163.0264,166.7148,170.3480,178.9141|114:161.4807,161.1962,162.0847,171.1450,173.7949|117:155.8691,155.7957,158.5948,163.0451,169.8299|2:149.9859,148.4328,151.8228,156.4356,164.6889|88:148.5250,148.3409,150.0052,157.2515,167.1541|145:162.9626,162.9488,166.4344,176.6629,188.8391|166:160.8673,160.1059,161.6852,166.4943,175.7280|141:160.7932,161.2711,167.5209,173.9917,181.5705|65:150.9204,150.3676,154.4314,156.6083,161.2994|6:163.1253,162.9390,166.6280,168.6969,170.9595|131:160.9321,160.3783,162.1528,164.3532,165.6623|119:156.0894,155.8972,156.8282,161.3402,164.4774|96:162.9365,162.9708,165.8052,182.6633,204.4777|162:148.5088,148.0654,149.8218,163.6377,184.6108|107:163.4702,163.5580,166.7485,171.7697,220.9690|0:160.5378,160.4216,164.1815,169.4444,203.2570",,,0,,,,,1,1,1,0,0,,,4,4,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,6,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,178.22494506835938,230.8901824951172,158.04010009765625,179.63484802246094,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,164.39767456054688,189.3617088317871,188.10466766357422,230.8901824951172,17.89580805399036,,,,,,,,,,,,,,,,,,,,,"87:160.4972,163.5014,172.5872,185.0077,207.8332|157:163.5230,166.0801,168.5772,194.3040,230.8902|149:162.6290,166.9058,180.3507,180.4488,198.4586|109:165.3722,167.3559,171.9443,193.2410,185.9885|143:163.0264,166.7148,170.3480,178.9141,191.3306|114:161.1962,162.0847,171.1450,173.7949,181.7876|117:155.7957,158.5948,163.0451,169.8299,175.7613|2:148.4328,151.8228,156.4356,164.6889,177.5957|88:148.3409,150.0052,157.2515,167.1541,174.2029|145:162.9488,166.4344,176.6629,188.8391,190.6503|166:160.1059,161.6852,166.4943,175.7280,190.2209|141:161.2711,167.5209,173.9917,181.5705,192.5611|65:150.3676,154.4314,156.6083,161.2994,164.3977|6:162.9390,166.6280,168.6969,170.9595,176.5144|131:160.3783,162.1528,164.3532,165.6623,167.3343|119:155.8972,156.8282,161.3402,164.4774,166.1057|96:162.9708,165.8052,182.6633,204.4777,219.0377|162:148.0654,149.8218,163.6377,184.6108,177.9922|107:163.5580,166.7485,171.7697,220.9690,209.2086|0:160.4216,164.1815,169.4444,203.2570,209.3629",,,0,,,,,1,1,1,1,1,False,True,5,5,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,7,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,174.2533416748047,219.20602416992188,158.61116409301758,201.81616973876953,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,159.61419677734375,191.9600067138672,188.48956298828125,219.20602416992188,18.004808188449967,,,,,,,,,,,,,,,,,,,,,"87:163.5014,172.5872,185.0077,207.8332,212.7319|157:166.0801,168.5772,194.3040,230.8902,188.1220|149:166.9058,180.3507,180.4488,198.4586,206.2146|109:167.3559,171.9443,193.2410,185.9885,211.2919|143:166.7148,170.3480,178.9141,191.3306,175.5644|114:162.0847,171.1450,173.7949,181.7876,200.3335|117:158.5948,163.0451,169.8299,175.7613,187.9106|2:151.8228,156.4356,164.6889,177.5957,159.6142|88:150.0052,157.2515,167.1541,174.2029,166.4166|145:166.4344,176.6629,188.8391,190.6503,214.6839|166:161.6852,166.4943,175.7280,190.2209,188.1199|141:167.5209,173.9917,181.5705,192.5611,202.6798|65:154.4314,156.6083,161.2994,164.3977,168.7608|6:166.6280,168.6969,170.9595,176.5144,177.0561|131:162.1528,164.3532,165.6623,167.3343,175.6705|119:156.8282,161.3402,164.4774,166.1057,174.9659|96:165.8052,182.6633,204.4777,219.0377,219.2060|162:149.8218,163.6377,184.6108,177.9922,212.2800|107:166.7485,171.7697,220.9690,209.2086,188.8572|0:164.1815,169.4444,203.2570,209.3629,208.7203",,,0,,,,,1,1,1,1,1,False,True,6,6,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,8,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,175.867431640625,233.22811889648438,159.1822280883789,219.55862121582032,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,170.52069091796875,197.03773727416993,197.07294464111328,233.22811889648438,16.015888021172554,,,,,,,,,,,,,,,,,,,,,"87:172.5872,185.0077,207.8332,212.7319,187.7285|157:168.5772,194.3040,230.8902,188.1220,214.2656|149:180.3507,180.4488,198.4586,206.2146,223.4966|109:171.9443,193.2410,185.9885,211.2919,200.1836|143:170.3480,178.9141,191.3306,175.5644,183.8473|114:171.1450,173.7949,181.7876,200.3335,184.9702|117:163.0451,169.8299,175.7613,187.9106,199.2041|2:156.4356,164.6889,177.5957,159.6142,194.3368|88:157.2515,167.1541,174.2029,166.4166,194.9418|145:176.6629,188.8391,190.6503,214.6839,205.9525|166:166.4943,175.7280,190.2209,188.1199,204.1288|141:173.9917,181.5705,192.5611,202.6798,193.7295|65:156.6083,161.2994,164.3977,168.7608,171.0699|6:168.6969,170.9595,176.5144,177.0561,184.4141|131:164.3532,165.6623,167.3343,175.6705,176.8698|119:161.3402,164.4774,166.1057,174.9659,170.5207|96:182.6633,204.4777,219.0377,219.2060,204.6333|162:163.6377,184.6108,177.9922,212.2800,212.3400|107:171.7697,220.9690,209.2086,188.8572,233.2281|0:169.4444,203.2570,209.3629,208.7203,200.8936",,,0,,,,,1,1,1,1,1,False,True,7,7,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,9,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,175.3514404296875,267.5750732421875,159.75329208374023,220.79271087646484,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,167.48265075683594,206.84110336303712,212.7095489501953,267.5750732421875,26.48979238945378,,,,,,,,,,,,,,,,,,,,,"87:185.0077,207.8332,212.7319,187.7285,267.5751|157:194.3040,230.8902,188.1220,214.2656,214.9388|149:180.4488,198.4586,206.2146,223.4966,229.8667|109:193.2410,185.9885,211.2919,200.1836,223.0507|143:178.9141,191.3306,175.5644,183.8473,184.4129|114:173.7949,181.7876,200.3335,184.9702,224.5206|117:169.8299,175.7613,187.9106,199.2041,231.7620|2:164.6889,177.5957,159.6142,194.3368,167.4827|88:167.1541,174.2029,166.4166,194.9418,180.9492|145:188.8391,190.6503,214.6839,205.9525,202.3893|166:175.7280,190.2209,188.1199,204.1288,173.5880|141:181.5705,192.5611,202.6798,193.7295,215.7933|65:161.2994,164.3977,168.7608,171.0699,170.2230|6:170.9595,176.5144,177.0561,184.4141,187.8461|131:165.6623,167.3343,175.6705,176.8698,187.4345|119:164.4774,166.1057,174.9659,170.5207,177.2208|96:204.4777,219.0377,219.2060,204.6333,236.7255|162:184.6108,177.9922,212.2800,212.3400,210.4803|107:220.9690,209.2086,188.8572,233.2281,218.8340|0:203.2570,209.3629,208.7203,200.8936,231.7287",,,0,,,,,1,1,1,1,1,False,True,8,8,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,10,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,174.0020294189453,274.9246826171875,160.32435607910156,226.92171325683594,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,169.104736328125,212.91747512817383,202.42562103271484,274.9246826171875,30.452916326675073,,,,,,,,,,,,,,,,,,,,,"87:207.8332,212.7319,187.7285,267.5751,245.6896|157:230.8902,188.1220,214.2656,214.9388,217.0418|149:198.4586,206.2146,223.4966,229.8667,202.6189|109:185.9885,211.2919,200.1836,223.0507,274.9247|143:191.3306,175.5644,183.8473,184.4129,202.2323|114:181.7876,200.3335,184.9702,224.5206,185.3097|117:175.7613,187.9106,199.2041,231.7620,185.7602|2:177.5957,159.6142,194.3368,167.4827,222.6920|88:174.2029,166.4166,194.9418,180.9492,198.3734|145:190.6503,214.6839,205.9525,202.3893,180.3270|166:190.2209,188.1199,204.1288,173.5880,180.0008|141:192.5611,202.6798,193.7295,215.7933,213.7389|65:164.3977,168.7608,171.0699,170.2230,169.1047|6:176.5144,177.0561,184.4141,187.8461,199.7434|131:167.3343,175.6705,176.8698,187.4345,178.5190|119:166.1057,174.9659,170.5207,177.2208,201.0142|96:219.0377,219.2060,204.6333,236.7255,244.2705|162:177.9922,212.2800,212.3400,210.4803,236.9361|107:209.2086,188.8572,233.2281,218.8340,256.7139|0:209.3629,208.7203,200.8936,231.7287,263.3383",,,0,,,,,1,1,1,1,1,False,True,9,9,2,1
