subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,member_sum_aff_text,member_max_dtw_text,member_max_dtw_partner_text,member_min_aff_partner_text,global_max_pair_dtw,global_max_pair_dtw_graph_i,global_max_pair_dtw_graph_j,global_max_pair_dtw_member_idx_i,global_max_pair_dtw_member_idx_j,global_min_pair_aff,global_min_pair_aff_graph_i,global_min_pair_aff_graph_j,global_min_pair_aff_member_idx_i,global_min_pair_aff_member_idx_j,peeled_sum_aff,peeled_max_dtw,peeled_max_dtw_partner_graph_id,peeled_in_global_max_pair,selected_grad_tails_text,applied_split_event_idx,pairwise_n_members,pairwise_logged_for_applied_split,pairwise_member_order_json,pairwise_histories_json,pairwise_dtw_json,pairwise_affinity_json,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,1,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,154.5465850830078,163.47561645507812,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.14358520507812,155.35136032104492,155.60480499267578,163.47561645507812,6.26806332869363,,,,,,,,,,,,,,,,,,,,,178:162.9527|96:155.8174|19:148.1436|176:162.9867|171:163.4756|89:155.6135|90:155.5961|11:149.2393|190:162.7735|109:155.5541|24:148.2918|30:148.6524|166:162.9139|5:148.3206|2:148.4338|162:162.7573|62:148.4550|217:163.0114|145:155.6542|60:148.3843,,,0,,,,,1,1,1,0,0,,,0,0,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,2,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,154.3397979736328,163.15530395507812,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,147.8172149658203,155.0394256591797,155.30818939208984,163.15530395507812,6.403512991429332,,,,,,,,,,,,,,,,,,,,,"178:162.9527,163.1553|96:155.8174,155.5048|19:148.1436,147.9715|176:162.9867,162.4909|171:163.4756,162.7506|89:155.6135,154.9884|90:155.5961,155.1585|11:149.2393,148.0317|190:162.7735,162.6787|109:155.5541,155.8680|24:148.2918,147.8172|30:148.6524,147.8314|166:162.9139,163.1381|5:148.3206,148.0479|2:148.4338,147.9326|162:162.7573,162.4306|62:148.4550,148.2226|217:163.0114,163.0646|145:155.6542,155.4579|60:148.3843,148.2473",,,0,,,,,1,1,1,0,0,,,1,1,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,3,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,156.20433044433594,168.61126708984375,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.7888641357422,157.10541687011718,157.23243713378906,168.61126708984375,6.710133486845884,,,,,,,,,,,,,,,,,,,,,"178:162.9527,163.1553,164.8177|96:155.8174,155.5048,157.0100|19:148.1436,147.9715,149.4107|176:162.9867,162.4909,164.6419|171:163.4756,162.7506,164.0819|89:155.6135,154.9884,157.3122|90:155.5961,155.1585,158.7941|11:149.2393,148.0317,149.4849|190:162.7735,162.6787,164.4718|109:155.5541,155.8680,157.1526|24:148.2918,147.8172,149.1071|30:148.6524,147.8314,151.0141|166:162.9139,163.1381,164.2205|5:148.3206,148.0479,150.1071|2:148.4338,147.9326,148.7889|162:162.7573,162.4306,164.8410|62:148.4550,148.2226,149.3860|217:163.0114,163.0646,168.6113|145:155.6542,155.4579,157.9708|60:148.3843,148.2473,150.8836",,,0,,,,,1,1,1,0,0,,,2,2,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,4,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,160.74090576171875,174.77352905273438,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,150.84156799316406,162.94545974731446,164.2042236328125,174.77352905273438,8.14142876662276,,,,,,,,,,,,,,,,,,,,,"178:162.9527,163.1553,164.8177,168.1106|96:155.8174,155.5048,157.0100,162.7445|19:148.1436,147.9715,149.4107,151.6252|176:162.9867,162.4909,164.6419,169.6029|171:163.4756,162.7506,164.0819,165.6639|89:155.6135,154.9884,157.3122,159.1120|90:155.5961,155.1585,158.7941,166.1854|11:149.2393,148.0317,149.4849,152.0627|190:162.7735,162.6787,164.4718,172.1319|109:155.5541,155.8680,157.1526,174.7735|24:148.2918,147.8172,149.1071,158.9137|30:148.6524,147.8314,151.0141,156.0830|166:162.9139,163.1381,164.2205,172.2022|5:148.3206,148.0479,150.1071,150.8416|2:148.4338,147.9326,148.7889,151.8114|162:162.7573,162.4306,164.8410,173.6403|62:148.4550,148.2226,149.3860,155.7366|217:163.0114,163.0646,168.6113,173.1164|145:155.6542,155.4579,157.9708,167.7965|60:148.3843,148.2473,150.8836,156.7549",,,0,,,,,1,1,1,0,0,,,3,3,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,5,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,166.42886352539062,200.92532348632812,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,153.88821411132812,171.62980270385742,167.81963348388672,200.92532348632812,13.03548550441425,,,,,,,,,,,,,,,,,,,,,"178:162.9527,163.1553,164.8177,168.1106,192.3656|96:155.8174,155.5048,157.0100,162.7445,164.0020|19:148.1436,147.9715,149.4107,151.6252,153.8882|176:162.9867,162.4909,164.6419,169.6029,189.9393|171:163.4756,162.7506,164.0819,165.6639,181.9718|89:155.6135,154.9884,157.3122,159.1120,162.1424|90:155.5961,155.1585,158.7941,166.1854,184.4105|11:149.2393,148.0317,149.4849,152.0627,167.3354|190:162.7735,162.6787,164.4718,172.1319,177.0940|109:155.5541,155.8680,157.1526,174.7735,166.2819|24:148.2918,147.8172,149.1071,158.9137,164.7197|30:148.6524,147.8314,151.0141,156.0830,168.3039|166:162.9139,163.1381,164.2205,172.2022,174.8241|5:148.3206,148.0479,150.1071,150.8416,155.1627|2:148.4338,147.9326,148.7889,151.8114,154.5178|162:162.7573,162.4306,164.8410,173.6403,169.5630|62:148.4550,148.2226,149.3860,155.7366,165.1119|217:163.0114,163.0646,168.6113,173.1164,200.9253|145:155.6542,155.4579,157.9708,167.7965,181.8489|60:148.3843,148.2473,150.8836,156.7549,158.1876",,,0,,,,,1,1,1,0,0,,,4,4,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,6,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,170.19093322753906,254.1844024658203,154.5465850830078,173.54107666015625,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,155.65045166015625,179.19680938720703,174.15372467041016,254.1844024658203,20.219819701694007,,,,,,,,,,,,,,,,,,,,,"178:163.1553,164.8177,168.1106,192.3656,189.3026|96:155.5048,157.0100,162.7445,164.0020,169.2790|19:147.9715,149.4107,151.6252,153.8882,175.7796|176:162.4909,164.6419,169.6029,189.9393,174.5354|171:162.7506,164.0819,165.6639,181.9718,171.9839|89:154.9884,157.3122,159.1120,162.1424,171.3060|90:155.1585,158.7941,166.1854,184.4105,163.5123|11:148.0317,149.4849,152.0627,167.3354,166.4381|190:162.6787,164.4718,172.1319,177.0940,186.8593|109:155.8680,157.1526,174.7735,166.2819,176.5669|24:147.8172,149.1071,158.9137,164.7197,169.5415|30:147.8314,151.0141,156.0830,168.3039,173.7720|166:163.1381,164.2205,172.2022,174.8241,186.4444|5:148.0479,150.1071,150.8416,155.1627,155.6505|2:147.9326,148.7889,151.8114,154.5178,159.1491|162:162.4306,164.8410,173.6403,169.5630,173.2291|62:148.2226,149.3860,155.7366,165.1119,193.6958|217:163.0646,168.6113,173.1164,200.9253,254.1844|145:155.4579,157.9708,167.7965,181.8489,175.1438|60:148.2473,150.8836,156.7549,158.1876,197.5624",,,0,,,,,1,1,1,1,1,False,True,5,5,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,7,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,165.58009338378906,211.13531494140625,154.96102142333984,187.84942626953125,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,152.94390869140625,178.108878326416,177.9729461669922,211.13531494140625,16.893779648764983,,,,,,,,,,,,,,,,,,,,,"178:164.8177,168.1106,192.3656,189.3026,183.9393|96:157.0100,162.7445,164.0020,169.2790,198.0062|19:149.4107,151.6252,153.8882,175.7796,160.3889|176:164.6419,169.6029,189.9393,174.5354,211.1353|171:164.0819,165.6639,181.9718,171.9839,177.8608|89:157.3122,159.1120,162.1424,171.3060,159.4475|90:158.7941,166.1854,184.4105,163.5123,178.0851|11:149.4849,152.0627,167.3354,166.4381,152.9439|190:164.4718,172.1319,177.0940,186.8593,182.9368|109:157.1526,174.7735,166.2819,176.5669,169.5419|24:149.1071,158.9137,164.7197,169.5415,165.9061|30:151.0141,156.0830,168.3039,173.7720,165.7399|166:164.2205,172.2022,174.8241,186.4444,180.8545|5:150.1071,150.8416,155.1627,155.6505,159.9063|2:148.7889,151.8114,154.5178,159.1491,156.1889|162:164.8410,173.6403,169.5630,173.2291,171.5761|62:149.3860,155.7366,165.1119,193.6958,193.5077|217:168.6113,173.1164,200.9253,254.1844,209.2667|145:157.9708,167.7965,181.8489,175.1438,194.7697|60:150.8836,156.7549,158.1876,197.5624,190.1760",,,0,,,,,1,1,1,1,1,False,True,6,6,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,8,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,170.05543518066406,229.00009155273438,155.37545776367188,202.96732177734376,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,159.17420959472656,186.27331466674804,182.35308837890625,229.00009155273438,18.711460827127873,,,,,,,,,,,,,,,,,,,,,"178:168.1106,192.3656,189.3026,183.9393,179.5458|96:162.7445,164.0020,169.2790,198.0062,187.6147|19:151.6252,153.8882,175.7796,160.3889,166.1457|176:169.6029,189.9393,174.5354,211.1353,229.0001|171:165.6639,181.9718,171.9839,177.8608,180.1754|89:159.1120,162.1424,171.3060,159.4475,199.8490|90:166.1854,184.4105,163.5123,178.0851,173.1377|11:152.0627,167.3354,166.4381,152.9439,171.8009|190:172.1319,177.0940,186.8593,182.9368,180.4917|109:174.7735,166.2819,176.5669,169.5419,227.3651|24:158.9137,164.7197,169.5415,165.9061,185.7390|30:156.0830,168.3039,173.7720,165.7399,169.0159|166:172.2022,174.8241,186.4444,180.8545,173.3871|5:150.8416,155.1627,155.6505,159.9063,170.6970|2:151.8114,154.5178,159.1491,156.1889,159.1742|162:173.6403,169.5630,173.2291,171.5761,185.2427|62:155.7366,165.1119,193.6958,193.5077,215.0491|217:173.1164,200.9253,254.1844,209.2667,195.9157|145:167.7965,181.8489,175.1438,194.7697,191.9047|60:156.7549,158.1876,197.5624,190.1760,184.2145",,,0,,,,,1,1,1,1,1,False,True,7,7,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,9,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,165.827392578125,237.934814453125,155.7898941040039,210.11431579589842,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,157.56944274902344,188.8496063232422,181.34905242919922,237.934814453125,22.427481565256816,,,,,,,,,,,,,,,,,,,,,"178:192.3656,189.3026,183.9393,179.5458,235.0817|96:164.0020,169.2790,198.0062,187.6147,236.1287|19:153.8882,175.7796,160.3889,166.1457,170.5060|176:189.9393,174.5354,211.1353,229.0001,170.6429|171:181.9718,171.9839,177.8608,180.1754,181.1686|89:162.1424,171.3060,159.4475,199.8490,193.7231|90:184.4105,163.5123,178.0851,173.1377,167.2352|11:167.3354,166.4381,152.9439,171.8009,174.3438|190:177.0940,186.8593,182.9368,180.4917,188.4648|109:166.2819,176.5669,169.5419,227.3651,177.3840|24:164.7197,169.5415,165.9061,185.7390,176.2702|30:168.3039,173.7720,165.7399,169.0159,181.5295|166:174.8241,186.4444,180.8545,173.3871,177.8627|5:155.1627,155.6505,159.9063,170.6970,157.5694|2:154.5178,159.1491,156.1889,159.1742,176.4974|162:169.5630,173.2291,171.5761,185.2427,185.4047|62:165.1119,193.6958,193.5077,215.0491,237.9348|217:200.9253,254.1844,209.2667,195.9157,191.7409|145:181.8489,175.1438,194.7697,191.9047,194.3967|60:158.1876,197.5624,190.1760,184.2145,203.1070",,,0,,,,,1,1,1,1,1,False,True,8,8,2,1
178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,2,10,0,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,158.27587890625,252.92532348632812,156.20433044433594,221.85418090820312,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,162.40087890625,188.082275390625,182.35286712646484,252.92532348632812,24.062099009171693,,,,,,,,,,,,,,,,,,,,,"178:189.3026,183.9393,179.5458,235.0817,175.5983|96:169.2790,198.0062,187.6147,236.1287,208.0593|19:175.7796,160.3889,166.1457,170.5060,162.4009|176:174.5354,211.1353,229.0001,170.6429,187.6272|171:171.9839,177.8608,180.1754,181.1686,192.6707|89:171.3060,159.4475,199.8490,193.7231,181.1004|90:163.5123,178.0851,173.1377,167.2352,174.6867|11:166.4381,152.9439,171.8009,174.3438,171.8778|190:186.8593,182.9368,180.4917,188.4648,183.6053|109:176.5669,169.5419,227.3651,177.3840,179.2154|24:169.5415,165.9061,185.7390,176.2702,166.0669|30:173.7720,165.7399,169.0159,181.5295,237.2460|166:186.4444,180.8545,173.3871,177.8627,184.5440|5:155.6505,159.9063,170.6970,157.5694,170.0240|2:159.1491,156.1889,159.1742,176.4974,166.9693|162:173.2291,171.5761,185.2427,185.4047,184.1589|62:193.6958,193.5077,215.0491,237.9348,197.3457|217:254.1844,209.2667,195.9157,191.7409,222.0770|145:175.1438,194.7697,191.9047,194.3967,252.9253|60:197.5624,190.1760,184.2145,203.1070,163.4464",,,0,,,,,1,1,1,1,1,False,True,9,9,2,1
