run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,96,data_4000_4_3.5_chordal_rep00,val_epoch_task,val,cycle5,1,,,,,,,,,,4000,981.0,737.0,2161.0,121.0,0.5710128055878929,0.8901996370235935,0.6957446932792664,0.6957446932792664,0.6957446932792664,1102.0,0.27549999952316284
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,96,data_4000_4_3.5_chordal_rep00,val_epoch_task,val,cycle6,1,,,,,,,,,,4000,890.0,895.0,2118.0,97.0,0.49859943977591037,0.9017223910840932,0.6421356201171875,0.6421356201171875,0.6421356201171875,987.0,0.24674999713897705
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,176,data_4200_4_3.5_chordal_rep00,train_epoch,train,,1,1.0,0.6749825818198067,,,,,,,,4200,,,,,,,,,,,
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,176,data_4200_4_3.5_chordal_rep00,val_epoch,val,,1,,,0.5619203885396321,0.7884285714285715,0.4928571283817291,0.7200201651017707,0.7419215440750122,0.7419215440750122,0.7419215440750122,4200,,,,,,,,,,,
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle2,1,,,,,,,,,,4200,958.0,73.0,3168.0,1.0,0.9291949563530553,0.9989572471324296,0.9628140926361084,0.9628140926361084,0.9628140926361084,959.0,0.22833333909511566
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle3,1,,,,,,,,,,4200,1189.0,906.0,2099.0,6.0,0.5675417661097852,0.994979079497908,0.7227963805198669,0.7227963805198669,0.7227963805198669,1195.0,0.2845238149166107
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle4,1,,,,,,,,,,4200,1206.0,895.0,2072.0,27.0,0.5740123750594954,0.9781021897810219,0.7234553098678589,0.7234553098678589,0.7234553098678589,1233.0,0.29357144236564636
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle5,1,,,,,,,,,,4200,1232.0,1238.0,1720.0,10.0,0.4987854251012146,0.9919484702093397,0.66379314661026,0.66379314661026,0.66379314661026,1242.0,0.29571428894996643
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle6,1,,,,,,,,,,4200,1128.0,1228.0,1785.0,59.0,0.47877758913412566,0.9502948609941028,0.6367485523223877,0.6367485523223877,0.6367485523223877,1187.0,0.28261905908584595
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,19,data_3800_4_3.5_chordal_rep03,train_epoch,train,,1,1.0,0.7048612179881648,,,,,,,,3800,,,,,,,,,,,
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,19,data_3800_4_3.5_chordal_rep03,val_epoch,val,,1,,,0.55420089696583,0.7699473684210526,0.4892105162143707,0.6781058988143457,0.6831939816474915,0.6831939816474915,0.6831939816474915,3800,,,,,,,,,,,
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,19,data_3800_4_3.5_chordal_rep03,val_epoch_task,val,cycle2,1,,,,,,,,,,3800,944.0,497.0,2359.0,0.0,0.6551006245662734,1.0,0.791614294052124,0.791614294052124,0.791614294052124,944.0,0.2484210580587387
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,19,data_3800_4_3.5_chordal_rep03,val_epoch_task,val,cycle3,1,,,,,,,,,,3800,945.0,677.0,2129.0,49.0,0.5826140567200987,0.9507042253521126,0.7224770188331604,0.7224770188331604,0.7224770188331604,994.0,0.2615789473056793
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,19,data_3800_4_3.5_chordal_rep03,val_epoch_task,val,cycle4,1,,,,,,,,,,3800,941.0,799.0,1968.0,92.0,0.5408045977011494,0.9109390125847048,0.6786873936653137,0.6786873936653137,0.6786873936653137,1033.0,0.2718420922756195
