subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,member_sum_aff_text,member_max_dtw_text,member_max_dtw_partner_text,member_min_aff_partner_text,global_max_pair_dtw,global_max_pair_dtw_graph_i,global_max_pair_dtw_graph_j,global_max_pair_dtw_member_idx_i,global_max_pair_dtw_member_idx_j,global_min_pair_aff,global_min_pair_aff_graph_i,global_min_pair_aff_graph_j,global_min_pair_aff_member_idx_i,global_min_pair_aff_member_idx_j,peeled_sum_aff,peeled_max_dtw,peeled_max_dtw_partner_graph_id,peeled_in_global_max_pair,selected_grad_tails_text,applied_split_event_idx,pairwise_n_members,pairwise_logged_for_applied_split,pairwise_member_order_json,pairwise_histories_json,pairwise_dtw_json,pairwise_affinity_json,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,1,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,154.53717041015625,163.9577178955078,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.14280700683594,155.43952865600585,155.68919372558594,163.9577178955078,6.409810600111705,,,,,,,,,,,,,,,,,,,,,178:162.8571|96:155.7972|176:162.8994|19:148.4491|174:163.3524|175:163.4295|172:163.9577|95:155.7101|101:155.4874|103:155.6683|22:148.1428|29:148.5419|8:148.3992|166:163.4078|10:148.5363|2:148.4335|40:148.5356|38:148.4976|204:162.9459|117:155.7417,,,0,,,,,1,1,1,0,0,,,0,0,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,2,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,154.31317138671875,163.00845336914062,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,147.6494598388672,154.97904510498046,155.27240753173828,163.00845336914062,6.372994813018307,,,,,,,,,,,,,,,,,,,,,"178:162.8571,162.6745|96:155.7972,155.2907|176:162.8994,162.5838|19:148.4491,147.6846|174:163.3524,162.6963|175:163.4295,162.6972|172:163.9577,162.9069|95:155.7101,155.2082|101:155.4874,155.2541|103:155.6683,155.4056|22:148.1428,148.2249|29:148.5419,147.7273|8:148.3992,148.1061|166:163.4078,162.3891|10:148.5363,148.0207|2:148.4335,147.6495|40:148.5356,148.6515|38:148.4976,147.7536|204:162.9459,163.0085|117:155.7417,155.6477",,,0,,,,,1,1,1,0,0,,,1,1,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,3,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,156.45388793945312,165.6428985595703,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.88572692871094,157.2909713745117,157.63275909423828,165.6428985595703,6.4176670946360455,,,,,,,,,,,,,,,,,,,,,"178:162.8571,162.6745,164.7383|96:155.7972,155.2907,157.9287|176:162.8994,162.5838,165.0294|19:148.4491,147.6846,149.9552|174:163.3524,162.6963,164.8365|175:163.4295,162.6972,164.9734|172:163.9577,162.9069,165.6429|95:155.7101,155.2082,156.6392|101:155.4874,155.2541,157.4221|103:155.6683,155.4056,158.1653|22:148.1428,148.2249,150.4435|29:148.5419,147.7273,149.6950|8:148.3992,148.1061,152.8206|166:163.4078,162.3891,165.2468|10:148.5363,148.0207,151.1237|2:148.4335,147.6495,149.7224|40:148.5356,148.6515,149.8336|38:148.4976,147.7536,148.8857|204:162.9459,163.0085,164.8737|117:155.7417,155.6477,157.8434",,,0,,,,,1,1,1,0,0,,,2,2,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,4,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,162.16355895996094,175.49411010742188,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,151.76779174804688,164.05188674926757,163.59796905517578,175.49411010742188,7.303405497579954,,,,,,,,,,,,,,,,,,,,,"178:162.8571,162.6745,164.7383,172.3606|96:155.7972,155.2907,157.9287,165.3061|176:162.8994,162.5838,165.0294,175.4941|19:148.4491,147.6846,149.9552,156.3232|174:163.3524,162.6963,164.8365,171.3701|175:163.4295,162.6972,164.9734,170.6137|172:163.9577,162.9069,165.6429,173.6945|95:155.7101,155.2082,156.6392,162.6493|101:155.4874,155.2541,157.4221,162.6207|103:155.6683,155.4056,158.1653,164.5466|22:148.1428,148.2249,150.4435,154.2473|29:148.5419,147.7273,149.6950,161.8095|8:148.3992,148.1061,152.8206,158.0050|166:163.4078,162.3891,165.2468,170.0804|10:148.5363,148.0207,151.1237,157.6922|2:148.4335,147.6495,149.7224,151.7678|40:148.5356,148.6515,149.8336,156.5535|38:148.4976,147.7536,148.8857,155.0458|204:162.9459,163.0085,164.8737,174.1438|117:155.7417,155.6477,157.8434,166.7136",,,0,,,,,1,1,1,0,0,,,3,3,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,5,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,169.30055236816406,203.09925842285156,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,155.92236328125,173.89718627929688,173.21404266357422,203.09925842285156,11.869894851971207,,,,,,,,,,,,,,,,,,,,,"178:162.8571,162.6745,164.7383,172.3606,186.8902|96:155.7972,155.2907,157.9287,165.3061,166.1909|176:162.8994,162.5838,165.0294,175.4941,178.6855|19:148.4491,147.6846,149.9552,156.3232,164.9875|174:163.3524,162.6963,164.8365,171.3701,187.1956|175:163.4295,162.6972,164.9734,170.6137,175.7730|172:163.9577,162.9069,165.6429,173.6945,176.2034|95:155.7101,155.2082,156.6392,162.6493,173.6288|101:155.4874,155.2541,157.4221,162.6207,175.9622|103:155.6683,155.4056,158.1653,164.5466,171.1280|22:148.1428,148.2249,150.4435,154.2473,164.0700|29:148.5419,147.7273,149.6950,161.8095,166.8438|8:148.3992,148.1061,152.8206,158.0050,158.6303|166:163.4078,162.3891,165.2468,170.0804,172.7993|10:148.5363,148.0207,151.1237,157.6922,155.9224|2:148.4335,147.6495,149.7224,151.7678,156.3067|40:148.5356,148.6515,149.8336,156.5535,169.5058|38:148.4976,147.7536,148.8857,155.0458,181.6774|204:162.9459,163.0085,164.8737,174.1438,203.0993|117:155.7417,155.6477,157.8434,166.7136,192.4438",,,0,,,,,1,1,1,0,0,,,4,4,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,6,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,174.9924774169922,216.5948944091797,154.53717041015625,173.52386779785155,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,157.2744140625,183.83963775634766,182.55728912353516,216.5948944091797,16.504435422606424,,,,,,,,,,,,,,,,,,,,,"178:162.6745,164.7383,172.3606,186.8902,188.8332|96:155.2907,157.9287,165.3061,166.1909,180.1320|176:162.5838,165.0294,175.4941,178.6855,185.1983|19:147.6846,149.9552,156.3232,164.9875,168.2015|174:162.6963,164.8365,171.3701,187.1956,208.9215|175:162.6972,164.9734,170.6137,175.7730,182.3797|172:162.9069,165.6429,173.6945,176.2034,175.6238|95:155.2082,156.6392,162.6493,173.6288,182.7349|101:155.2541,157.4221,162.6207,175.9622,185.0858|103:155.4056,158.1653,164.5466,171.1280,202.8130|22:148.2249,150.4435,154.2473,164.0700,163.7976|29:147.7273,149.6950,161.8095,166.8438,201.9415|8:148.1061,152.8206,158.0050,158.6303,162.6303|166:162.3891,165.2468,170.0804,172.7993,179.1972|10:148.0207,151.1237,157.6922,155.9224,157.2744|2:147.6495,149.7224,151.7678,156.3067,159.1055|40:148.6515,149.8336,156.5535,169.5058,216.5949|38:147.7536,148.8857,155.0458,181.6774,204.1521|204:163.0085,164.8737,174.1438,203.0993,192.7025|117:155.6477,157.8434,166.7136,192.4438,179.4729",,,0,,,,,1,1,1,1,1,False,True,5,5,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,7,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,174.29591369628906,229.69873046875,155.01634979248047,189.29668426513672,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,159.18048095703125,188.20595626831056,184.74896240234375,229.69873046875,18.87222395772093,,,,,,,,,,,,,,,,,,,,,"178:164.7383,172.3606,186.8902,188.8332,186.4311|96:157.9287,165.3061,166.1909,180.1320,182.0181|176:165.0294,175.4941,178.6855,185.1983,200.9241|19:149.9552,156.3232,164.9875,168.2015,183.0668|174:164.8365,171.3701,187.1956,208.9215,181.9531|175:164.9734,170.6137,175.7730,182.3797,201.4306|172:165.6429,173.6945,176.2034,175.6238,179.1303|95:156.6392,162.6493,173.6288,182.7349,195.5645|101:157.4221,162.6207,175.9622,185.0858,171.7356|103:158.1653,164.5466,171.1280,202.8130,188.7793|22:150.4435,154.2473,164.0700,163.7976,170.7407|29:149.6950,161.8095,166.8438,201.9415,198.7166|8:152.8206,158.0050,158.6303,162.6303,159.8628|166:165.2468,170.0804,172.7993,179.1972,170.5125|10:151.1237,157.6922,155.9224,157.2744,168.1371|2:149.7224,151.7678,156.3067,159.1055,159.1805|40:149.8336,156.5535,169.5058,216.5949,214.8452|38:148.8857,155.0458,181.6774,204.1521,205.6212|204:164.8737,174.1438,203.0993,192.7025,229.6987|117:157.8434,166.7136,192.4438,179.4729,215.7701",,,0,,,,,1,1,1,1,1,False,True,6,6,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,8,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,171.92117309570312,249.15599060058594,155.4955291748047,205.7983856201172,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,163.50099182128906,192.62701110839845,186.71363067626953,249.15599060058594,22.966804381929105,,,,,,,,,,,,,,,,,,,,,"178:172.3606,186.8902,188.8332,186.4311,196.3000|96:165.3061,166.1909,180.1320,182.0181,185.1231|176:175.4941,178.6855,185.1983,200.9241,188.3042|19:156.3232,164.9875,168.2015,183.0668,168.5304|174:171.3701,187.1956,208.9215,181.9531,179.7763|175:170.6137,175.7730,182.3797,201.4306,183.5742|172:173.6945,176.2034,175.6238,179.1303,174.6730|95:162.6493,173.6288,182.7349,195.5645,180.5507|101:162.6207,175.9622,185.0858,171.7356,249.1560|103:164.5466,171.1280,202.8130,188.7793,189.8872|22:154.2473,164.0700,163.7976,170.7407,194.3517|29:161.8095,166.8438,201.9415,198.7166,180.6431|8:158.0050,158.6303,162.6303,159.8628,192.0008|166:170.0804,172.7993,179.1972,170.5125,177.3951|10:157.6922,155.9224,157.2744,168.1371,163.5010|2:151.7678,156.3067,159.1055,159.1805,166.7229|40:156.5535,169.5058,216.5949,214.8452,197.7467|38:155.0458,181.6774,204.1521,205.6212,226.2365|204:174.1438,203.0993,192.7025,229.6987,240.3695|117:166.7136,192.4438,179.4729,215.7701,217.6979",,,0,,,,,1,1,1,1,1,False,True,7,7,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,9,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,179.61737060546875,253.94976806640625,155.9747085571289,215.24533081054688,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,168.68629455566406,203.53246459960937,196.87127685546875,253.94976806640625,24.348687524812757,,,,,,,,,,,,,,,,,,,,,"178:186.8902,188.8332,186.4311,196.3000,189.7386|96:166.1909,180.1320,182.0181,185.1231,214.5778|176:178.6855,185.1983,200.9241,188.3042,199.9445|19:164.9875,168.2015,183.0668,168.5304,202.7219|174:187.1956,208.9215,181.9531,179.7763,233.4310|175:175.7730,182.3797,201.4306,183.5742,193.7981|172:176.2034,175.6238,179.1303,174.6730,222.9818|95:173.6288,182.7349,195.5645,180.5507,176.8946|101:175.9622,185.0858,171.7356,249.1560,204.0546|103:171.1280,202.8130,188.7793,189.8872,190.9798|22:164.0700,163.7976,170.7407,194.3517,175.2706|29:166.8438,201.9415,198.7166,180.6431,192.0065|8:158.6303,162.6303,159.8628,192.0008,168.6863|166:172.7993,179.1972,170.5125,177.3951,183.4279|10:155.9224,157.2744,168.1371,163.5010,188.9353|2:156.3067,159.1055,159.1805,166.7229,174.0365|40:169.5058,216.5949,214.8452,197.7467,225.4946|38:181.6774,204.1521,205.6212,226.2365,240.2499|204:203.0993,192.7025,229.6987,240.3695,253.9498|117:192.4438,179.4729,215.7701,217.6979,239.4693",,,0,,,,,1,1,1,1,1,False,True,8,8,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0,10,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,169.3072509765625,304.1836242675781,156.45388793945312,224.45719604492186,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,173.61117553710938,203.66459045410156,189.24420166015625,304.1836242675781,33.10301645954652,,,,,,,,,,,,,,,,,,,,,"178:188.8332,186.4311,196.3000,189.7386,209.8071|96:180.1320,182.0181,185.1231,214.5778,197.8955|176:185.1983,200.9241,188.3042,199.9445,180.8315|19:168.2015,183.0668,168.5304,202.7219,185.8426|174:208.9215,181.9531,179.7763,233.4310,175.3708|175:182.3797,201.4306,183.5742,193.7981,191.6715|172:175.6238,179.1303,174.6730,222.9818,182.6654|95:182.7349,195.5645,180.5507,176.8946,180.8334|101:185.0858,171.7356,249.1560,204.0546,186.8169|103:202.8130,188.7793,189.8872,190.9798,202.4802|22:163.7976,170.7407,194.3517,175.2706,183.8747|29:201.9415,198.7166,180.6431,192.0065,235.0139|8:162.6303,159.8628,192.0008,168.6863,173.6112|166:179.1972,170.5125,177.3951,183.4279,215.8520|10:157.2744,168.1371,163.5010,188.9353,176.8100|2:159.1055,159.1805,166.7229,174.0365,174.6859|40:216.5949,214.8452,197.7467,225.4946,256.9500|38:204.1521,205.6212,226.2365,240.2499,211.7961|204:192.7025,229.6987,240.3695,253.9498,304.1836|117:179.4729,215.7701,217.6979,239.4693,246.2995",,,0,,,,,1,1,1,1,1,False,True,9,9,2,1
