subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,member_sum_aff_text,member_max_dtw_text,member_max_dtw_partner_text,member_min_aff_partner_text,global_max_pair_dtw,global_max_pair_dtw_graph_i,global_max_pair_dtw_graph_j,global_max_pair_dtw_member_idx_i,global_max_pair_dtw_member_idx_j,global_min_pair_aff,global_min_pair_aff_graph_i,global_min_pair_aff_graph_j,global_min_pair_aff_member_idx_i,global_min_pair_aff_member_idx_j,peeled_sum_aff,peeled_max_dtw,peeled_max_dtw_partner_graph_id,peeled_in_global_max_pair,selected_grad_tails_text,applied_split_event_idx,pairwise_n_members,pairwise_logged_for_applied_split,pairwise_member_order_json,pairwise_histories_json,pairwise_dtw_json,pairwise_affinity_json,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,1,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,154.843505859375,163.2053985595703,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.14134216308594,155.6058479309082,155.63011932373047,163.2053985595703,6.104143496914901,,,,,,,,,,,,,,,,,,,,,178:162.8918|96:155.5152|17:148.1840|18:148.4026|171:162.9496|169:162.7925|91:155.7325|11:148.2563|192:162.7754|33:148.3764|111:155.6220|196:162.7910|2:148.3630|162:163.2054|82:155.7513|3:148.4468|153:155.6382|68:148.1413|219:162.8856|159:155.3960,,,0,,,,,1,1,1,0,0,,,0,0,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,2,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,154.7943878173828,163.0498046875,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,147.63633728027344,155.40581283569335,155.45079040527344,163.0498046875,6.160037577179474,,,,,,,,,,,,,,,,,,,,,"178:162.8918,162.8604|96:155.5152,155.1527|17:148.1840,147.7614|18:148.4026,147.6363|171:162.9496,162.7010|169:162.7925,162.4068|91:155.7325,155.1175|11:148.2563,148.5203|192:162.7754,163.0498|33:148.3764,148.2915|111:155.6220,155.4255|196:162.7910,163.0298|2:148.3630,147.8297|162:163.2054,162.4727|82:155.7513,155.4761|3:148.4468,147.7114|153:155.6382,155.5219|68:148.1413,148.5160|219:162.8856,162.7054|159:155.3960,155.9301",,,0,,,,,1,1,1,0,0,,,1,1,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,3,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,157.21615600585938,168.62181091308594,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,149.01107788085938,158.37735595703126,160.58309936523438,168.62181091308594,6.513110017935381,,,,,,,,,,,,,,,,,,,,,"178:162.8918,162.8604,164.3152|96:155.5152,155.1527,157.9951|17:148.1840,147.7614,149.0111|18:148.4026,147.6363,150.4317|171:162.9496,162.7010,164.8377|169:162.7925,162.4068,165.1011|91:155.7325,155.1175,157.7059|11:148.2563,148.5203,149.2987|192:162.7754,163.0498,165.1472|33:148.3764,148.2915,149.0462|111:155.6220,155.4255,160.9461|196:162.7910,163.0298,164.5596|2:148.3630,147.8297,149.6722|162:163.2054,162.4727,164.1267|82:155.7513,155.4761,160.6429|3:148.4468,147.7114,150.6304|153:155.6382,155.5219,160.5233|68:148.1413,148.5160,153.6320|219:162.8856,162.7054,168.6218|159:155.3960,155.9301,161.3021",,,0,,,,,1,1,1,0,0,,,2,2,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,4,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,161.48779296875,184.12179565429688,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,152.88002014160156,164.2314308166504,165.1685028076172,184.12179565429688,9.251414829652743,,,,,,,,,,,,,,,,,,,,,"178:162.8918,162.8604,164.3152,165.5277|96:155.5152,155.1527,157.9951,159.7988|17:148.1840,147.7614,149.0111,153.3277|18:148.4026,147.6363,150.4317,153.7902|171:162.9496,162.7010,164.8377,167.0928|169:162.7925,162.4068,165.1011,172.3174|91:155.7325,155.1175,157.7059,163.7094|11:148.2563,148.5203,149.2987,153.2558|192:162.7754,163.0498,165.1472,169.0626|33:148.3764,148.2915,149.0462,153.8123|111:155.6220,155.4255,160.9461,164.8093|196:162.7910,163.0298,164.5596,182.7537|2:148.3630,147.8297,149.6722,152.8800|162:163.2054,162.4727,164.1267,167.9983|82:155.7513,155.4761,160.6429,170.6549|3:148.4468,147.7114,150.6304,153.8546|153:155.6382,155.5219,160.5233,167.9193|68:148.1413,148.5160,153.6320,157.2044|219:162.8856,162.7054,168.6218,184.1218|159:155.3960,155.9301,161.3021,170.7377",,,0,,,,,1,1,1,0,0,,,3,3,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,5,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,167.45269775390625,198.91928100585938,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,153.64845275878906,173.41389694213868,175.36044311523438,198.91928100585938,13.369507588423787,,,,,,,,,,,,,,,,,,,,,"178:162.8918,162.8604,164.3152,165.5277,175.7333|96:155.5152,155.1527,157.9951,159.7988,174.9876|17:148.1840,147.7614,149.0111,153.3277,154.9186|18:148.4026,147.6363,150.4317,153.7902,164.8081|171:162.9496,162.7010,164.8377,167.0928,183.2288|169:162.7925,162.4068,165.1011,172.3174,173.4575|91:155.7325,155.1175,157.7059,163.7094,163.0453|11:148.2563,148.5203,149.2987,153.2558,155.2431|192:162.7754,163.0498,165.1472,169.0626,196.1999|33:148.3764,148.2915,149.0462,153.8123,179.4411|111:155.6220,155.4255,160.9461,164.8093,170.5150|196:162.7910,163.0298,164.5596,182.7537,198.9193|2:148.3630,147.8297,149.6722,152.8800,153.6485|162:163.2054,162.4727,164.1267,167.9983,178.9229|82:155.7513,155.4761,160.6429,170.6549,159.7198|3:148.4468,147.7114,150.6304,153.8546,153.8127|153:155.6382,155.5219,160.5233,167.9193,182.2309|68:148.1413,148.5160,153.6320,157.2044,177.9820|219:162.8856,162.7054,168.6218,184.1218,183.7848|159:155.3960,155.9301,161.3021,170.7377,187.6788",,,0,,,,,1,1,1,0,0,,,4,4,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,6,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,172.15794372558594,238.79884338378906,154.843505859375,181.02179870605468,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,156.17135620117188,184.21366958618165,176.81031799316406,238.79884338378906,24.8075059018222,,,,,,,,,,,,,,,,,,,,,"178:162.8604,164.3152,165.5277,175.7333,187.4277|96:155.1527,157.9951,159.7988,174.9876,181.6672|17:147.7614,149.0111,153.3277,154.9186,156.5203|18:147.6363,150.4317,153.7902,164.8081,166.4634|171:162.7010,164.8377,167.0928,183.2288,171.2440|169:162.4068,165.1011,172.3174,173.4575,171.9534|91:155.1175,157.7059,163.7094,163.0453,166.6374|11:148.5203,149.2987,153.2558,155.2431,157.9421|192:163.0498,165.1472,169.0626,196.1999,224.5950|33:148.2915,149.0462,153.8123,179.4411,204.7863|111:155.4255,160.9461,164.8093,170.5150,185.9158|196:163.0298,164.5596,182.7537,198.9193,223.7351|2:147.8297,149.6722,152.8800,153.6485,156.1714|162:162.4727,164.1267,167.9983,178.9229,170.5873|82:155.4761,160.6429,170.6549,159.7198,165.9893|3:147.7114,150.6304,153.8546,153.8127,159.2399|153:155.5219,160.5233,167.9193,182.2309,185.8858|68:148.5160,153.6320,157.2044,177.9820,187.7525|219:162.7054,168.6218,184.1218,183.7848,220.9605|159:155.9301,161.3021,170.7377,187.6788,238.7988",,,0,,,,,1,1,1,1,1,False,True,5,5,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,7,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,171.7572479248047,234.3164520263672,155.4366683959961,191.52053833007812,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,160.41339111328125,190.7635124206543,183.35699462890625,234.3164520263672,23.293101464842916,,,,,,,,,,,,,,,,,,,,,"178:164.3152,165.5277,175.7333,187.4277,187.1124|96:157.9951,159.7988,174.9876,181.6672,200.6829|17:149.0111,153.3277,154.9186,156.5203,176.3481|18:150.4317,153.7902,164.8081,166.4634,172.5832|171:164.8377,167.0928,183.2288,171.2440,171.3580|169:165.1011,172.3174,173.4575,171.9534,172.1760|91:157.7059,163.7094,163.0453,166.6374,163.7632|11:149.2987,153.2558,155.2431,157.9421,160.4134|192:165.1472,169.0626,196.1999,224.5950,200.4839|33:149.0462,153.8123,179.4411,204.7863,191.8281|111:160.9461,164.8093,170.5150,185.9158,222.7958|196:164.5596,182.7537,198.9193,223.7351,216.7082|2:149.6722,152.8800,153.6485,156.1714,169.3690|162:164.1267,167.9983,178.9229,170.5873,179.6016|82:160.6429,170.6549,159.7198,165.9893,165.7594|3:150.6304,153.8546,153.8127,159.2399,171.4316|153:160.5233,167.9193,182.2309,185.8858,220.9101|68:153.6320,157.2044,177.9820,187.7525,212.7455|219:168.6218,184.1218,183.7848,220.9605,224.8834|159:161.3021,170.7377,187.6788,238.7988,234.3165",,,0,,,,,1,1,1,1,1,False,True,6,6,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,8,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,168.615478515625,289.68267822265625,156.0298309326172,205.99871520996092,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,157.0947723388672,198.37498092651367,178.54047393798828,289.68267822265625,38.19251376519983,,,,,,,,,,,,,,,,,,,,,"178:165.5277,175.7333,187.4277,187.1124,174.5647|96:159.7988,174.9876,181.6672,200.6829,171.7261|17:153.3277,154.9186,156.5203,176.3481,171.8567|18:153.7902,164.8081,166.4634,172.5832,166.2569|171:167.0928,183.2288,171.2440,171.3580,180.5250|169:172.3174,173.4575,171.9534,172.1760,178.0848|91:163.7094,163.0453,166.6374,163.7632,164.2136|11:153.2558,155.2431,157.9421,160.4134,157.0948|192:169.0626,196.1999,224.5950,200.4839,253.9781|33:153.8123,179.4411,204.7863,191.8281,176.2300|111:164.8093,170.5150,185.9158,222.7958,202.5226|196:182.7537,198.9193,223.7351,216.7082,289.6827|2:152.8800,153.6485,156.1714,169.3690,167.5425|162:167.9983,178.9229,170.5873,179.6016,187.5625|82:170.6549,159.7198,165.9893,165.7594,178.9962|3:153.8546,153.8127,159.2399,171.4316,171.7013|153:167.9193,182.2309,185.8858,220.9101,253.1430|68:157.2044,177.9820,187.7525,212.7455,245.4113|219:184.1218,183.7848,220.9605,224.8834,244.7054|159:170.7377,187.6788,238.7988,234.3165,231.7018",,,0,,,,,1,1,1,1,1,False,True,7,7,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,9,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,167.2998809814453,302.4554443359375,156.62299346923828,230.7767349243164,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,161.7923583984375,202.3879852294922,185.26675415039062,302.4554443359375,38.70686237618267,,,,,,,,,,,,,,,,,,,,,"178:175.7333,187.4277,187.1124,174.5647,199.0961|96:174.9876,181.6672,200.6829,171.7261,174.9580|17:154.9186,156.5203,176.3481,171.8567,167.7574|18:164.8081,166.4634,172.5832,166.2569,161.7924|171:183.2288,171.2440,171.3580,180.5250,175.1404|169:173.4575,171.9534,172.1760,178.0848,184.1832|91:163.0453,166.6374,163.7632,164.2136,166.6073|11:155.2431,157.9421,160.4134,157.0948,184.9517|192:196.1999,224.5950,200.4839,253.9781,254.8797|33:179.4411,204.7863,191.8281,176.2300,187.4804|111:170.5150,185.9158,222.7958,202.5226,186.5552|196:198.9193,223.7351,216.7082,289.6827,199.4203|2:153.6485,156.1714,169.3690,167.5425,181.3535|162:178.9229,170.5873,179.6016,187.5625,185.5818|82:159.7198,165.9893,165.7594,178.9962,182.7120|3:153.8127,159.2399,171.4316,171.7013,184.8880|153:182.2309,185.8858,220.9101,253.1430,261.3067|68:177.9820,187.7525,212.7455,245.4113,239.7682|219:183.7848,220.9605,224.8834,244.7054,302.4554|159:187.6788,238.7988,234.3165,231.7018,266.8720",,,0,,,,,1,1,1,1,1,False,True,8,8,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0,10,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,170.5853729248047,339.59954833984375,157.21615600585938,237.00588684082032,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,162.78878784179688,212.71581268310547,193.8786163330078,339.59954833984375,47.39520182421757,,,,,,,,,,,,,,,,,,,,,"178:187.4277,187.1124,174.5647,199.0961,176.3508|96:181.6672,200.6829,171.7261,174.9580,220.6167|17:156.5203,176.3481,171.8567,167.7574,195.0761|18:166.4634,172.5832,166.2569,161.7924,162.7888|171:171.2440,171.3580,180.5250,175.1404,180.7711|169:171.9534,172.1760,178.0848,184.1832,180.4938|91:166.6374,163.7632,164.2136,166.6073,173.9263|11:157.9421,160.4134,157.0948,184.9517,165.8392|192:224.5950,200.4839,253.9781,254.8797,220.7492|33:204.7863,191.8281,176.2300,187.4804,185.1898|111:185.9158,222.7958,202.5226,186.5552,236.4484|196:223.7351,216.7082,289.6827,199.4203,232.3996|2:156.1714,169.3690,167.5425,181.3535,203.6443|162:170.5873,179.6016,187.5625,185.5818,187.7497|82:165.9893,165.7594,178.9962,182.7120,192.6812|3:159.2399,171.4316,171.7013,184.8880,181.7435|153:185.8858,220.9101,253.1430,261.3067,244.0218|68:187.7525,212.7455,245.4113,239.7682,248.4614|219:220.9605,224.8834,244.7054,302.4554,339.5995|159:238.7988,234.3165,231.7018,266.8720,325.7652",,,0,,,,,1,1,1,1,1,False,True,9,9,2,1
