subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,member_sum_aff_text,member_max_dtw_text,member_max_dtw_partner_text,member_min_aff_partner_text,global_max_pair_dtw,global_max_pair_dtw_graph_i,global_max_pair_dtw_graph_j,global_max_pair_dtw_member_idx_i,global_max_pair_dtw_member_idx_j,global_min_pair_aff,global_min_pair_aff_graph_i,global_min_pair_aff_graph_j,global_min_pair_aff_member_idx_i,global_min_pair_aff_member_idx_j,peeled_sum_aff,peeled_max_dtw,peeled_max_dtw_partner_graph_id,peeled_in_global_max_pair,selected_grad_tails_text,applied_split_event_idx,pairwise_n_members,pairwise_logged_for_applied_split,pairwise_member_order_json,pairwise_histories_json,pairwise_dtw_json,pairwise_affinity_json,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,1,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,154.6251678466797,163.67074584960938,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.27279663085938,155.39690322875975,155.73602294921875,163.67074584960938,6.303531248519091,,,,,,,,,,,,,,,,,,,,,178:162.9569|96:155.6225|176:163.2272|19:148.4638|174:162.9537|175:162.7947|172:162.9883|95:155.5941|101:155.9556|103:155.8495|22:148.5308|29:148.5337|8:148.2728|166:162.6680|10:148.4266|2:148.3372|40:148.6035|38:148.5492|204:163.6707|117:155.9392,,,0,,,,,1,1,1,0,0,,,0,0,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,2,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,154.52267456054688,163.57411193847656,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,147.88026428222656,155.26610946655273,155.60028076171875,163.57411193847656,6.385931986335501,,,,,,,,,,,,,,,,,,,,,"178:162.9569,162.9251|96:155.6225,155.9980|176:163.2272,162.8007|19:148.4638,147.8803|174:162.9537,163.5741|175:162.7947,162.5516|172:162.9883,163.0405|95:155.5941,155.6580|101:155.9556,155.5426|103:155.8495,156.1668|22:148.5308,148.2280|29:148.5337,148.2398|8:148.2728,148.2405|166:162.6680,162.5471|10:148.4266,148.2008|2:148.3372,147.9441|40:148.6035,148.5974|38:148.5492,148.4616|204:163.6707,163.3848|117:155.9392,155.3405",,,0,,,,,1,1,1,0,0,,,1,1,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,3,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,157.1692657470703,167.49058532714844,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,149.2602996826172,158.28866271972657,159.1403579711914,167.49058532714844,6.5538402489062975,,,,,,,,,,,,,,,,,,,,,"178:162.9569,162.9251,166.8030|96:155.6225,155.9980,158.9602|176:163.2272,162.8007,166.2883|19:148.4638,147.8803,152.0959|174:162.9537,163.5741,167.4906|175:162.7947,162.5516,165.7801|172:162.9883,163.0405,165.4563|95:155.5941,155.6580,159.3205|101:155.9556,155.5426,157.5384|103:155.8495,156.1668,159.7436|22:148.5308,148.2280,153.4050|29:148.5337,148.2398,151.6430|8:148.2728,148.2405,149.2603|166:162.6680,162.5471,164.0988|10:148.4266,148.2008,149.3039|2:148.3372,147.9441,150.1162|40:148.6035,148.5974,151.1816|38:148.5492,148.4616,151.3750|204:163.6707,163.3848,165.7102|117:155.9392,155.3405,160.2025",,,0,,,,,1,1,1,0,0,,,2,2,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,4,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,162.92555236816406,180.81576538085938,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,150.16244506835938,165.36833801269532,165.6643524169922,180.81576538085938,8.733123875718267,,,,,,,,,,,,,,,,,,,,,"178:162.9569,162.9251,166.8030,172.4283|96:155.6225,155.9980,158.9602,166.8966|176:163.2272,162.8007,166.2883,171.8100|19:148.4638,147.8803,152.0959,155.3285|174:162.9537,163.5741,167.4906,172.7947|175:162.7947,162.5516,165.7801,171.1784|172:162.9883,163.0405,165.4563,169.9319|95:155.5941,155.6580,159.3205,162.6121|101:155.9556,155.5426,157.5384,164.3221|103:155.8495,156.1668,159.7436,164.4321|22:148.5308,148.2280,153.4050,158.5338|29:148.5337,148.2398,151.6430,157.4671|8:148.2728,148.2405,149.2603,150.4704|166:162.6680,162.5471,164.0988,172.9152|10:148.4266,148.2008,149.3039,153.0028|2:148.3372,147.9441,150.1162,150.1624|40:148.6035,148.5974,151.1816,163.2760|38:148.5492,148.4616,151.3750,178.3567|204:163.6707,163.3848,165.7102,180.8158|117:155.9392,155.3405,160.2025,170.6319",,,0,,,,,1,1,1,0,0,,,3,3,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,5,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,167.14962768554688,205.63108825683594,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,151.8249969482422,171.74358215332032,173.44329833984375,205.63108825683594,11.822526552574791,,,,,,,,,,,,,,,,,,,,,"178:162.9569,162.9251,166.8030,172.4283,171.0137|96:155.6225,155.9980,158.9602,166.8966,173.9904|176:163.2272,162.8007,166.2883,171.8100,174.9318|19:148.4638,147.8803,152.0959,155.3285,177.6812|174:162.9537,163.5741,167.4906,172.7947,185.6474|175:162.7947,162.5516,165.7801,171.1784,181.2796|172:162.9883,163.0405,165.4563,169.9319,176.9696|95:155.5941,155.6580,159.3205,162.6121,172.8962|101:155.9556,155.5426,157.5384,164.3221,161.6636|103:155.8495,156.1668,159.7436,164.4321,174.6086|22:148.5308,148.2280,153.4050,158.5338,160.5274|29:148.5337,148.2398,151.6430,157.4671,165.9550|8:148.2728,148.2405,149.2603,150.4704,152.7810|166:162.6680,162.5471,164.0988,172.9152,175.5182|10:148.4266,148.2008,149.3039,153.0028,156.8770|2:148.3372,147.9441,150.1162,150.1624,151.8250|40:148.6035,148.5974,151.1816,163.2760,169.9010|38:148.5492,148.4616,151.3750,178.3567,169.6159|204:163.6707,163.3848,165.7102,180.8158,205.6311|117:155.9392,155.3405,160.2025,170.6319,175.5580",,,0,,,,,1,1,1,0,0,,,4,4,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,6,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,173.23928833007812,238.5460968017578,154.6251678466797,178.15072937011718,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,155.50828552246094,182.79364013671875,179.12483978271484,238.5460968017578,18.610201183673638,,,,,,,,,,,,,,,,,,,,,"178:162.9251,166.8030,172.4283,171.0137,188.2037|96:155.9980,158.9602,166.8966,173.9904,178.6563|176:162.8007,166.2883,171.8100,174.9318,186.3329|19:147.8803,152.0959,155.3285,177.6812,162.2955|174:163.5741,167.4906,172.7947,185.6474,179.0240|175:162.5516,165.7801,171.1784,181.2796,174.6611|172:163.0405,165.4563,169.9319,176.9696,178.0367|95:155.6580,159.3205,162.6121,172.8962,169.0034|101:155.5426,157.5384,164.3221,161.6636,185.8116|103:156.1668,159.7436,164.4321,174.6086,198.2343|22:148.2280,153.4050,158.5338,160.5274,177.3061|29:148.2398,151.6430,157.4671,165.9550,202.9676|8:148.2405,149.2603,150.4704,152.7810,159.8946|166:162.5471,164.0988,172.9152,175.5182,179.2257|10:148.2008,149.3039,153.0028,156.8770,155.5083|2:147.9441,150.1162,150.1624,151.8250,159.7218|40:148.5974,151.1816,163.2760,169.9010,202.1402|38:148.4616,151.3750,178.3567,169.6159,195.8584|204:163.3848,165.7102,180.8158,205.6311,238.5461|117:155.3405,160.2025,170.6319,175.5580,184.4446",,,0,,,,,1,1,1,1,1,False,True,5,5,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,7,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,168.36412048339844,247.6678466796875,155.26119232177734,193.22342681884766,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,158.22451782226562,182.73984298706054,179.8597183227539,247.6678466796875,19.991917956451775,,,,,,,,,,,,,,,,,,,,,"178:166.8030,172.4283,171.0137,188.2037,184.8572|96:158.9602,166.8966,173.9904,178.6563,171.6174|176:166.2883,171.8100,174.9318,186.3329,188.0055|19:152.0959,155.3285,177.6812,162.2955,171.9450|174:167.4906,172.7947,185.6474,179.0240,180.6187|175:165.7801,171.1784,181.2796,174.6611,178.1857|172:165.4563,169.9319,176.9696,178.0367,173.7720|95:159.3205,162.6121,172.8962,169.0034,163.5863|101:157.5384,164.3221,161.6636,185.8116,183.1656|103:159.7436,164.4321,174.6086,198.2343,188.4765|22:153.4050,158.5338,160.5274,177.3061,196.3990|29:151.6430,157.4671,165.9550,202.9676,162.2221|8:149.2603,150.4704,152.7810,159.8946,158.2245|166:164.0988,172.9152,175.5182,179.2257,170.0238|10:149.3039,153.0028,156.8770,155.5083,179.1007|2:150.1162,150.1624,151.8250,159.7218,159.5174|40:151.1816,163.2760,169.9010,202.1402,186.0284|38:151.3750,178.3567,169.6159,195.8584,203.1733|204:165.7102,180.8158,205.6311,238.5461,247.6678|117:160.2025,170.6319,175.5580,184.4446,208.2097",,,0,,,,,1,1,1,1,1,False,True,6,6,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,8,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,168.13870239257812,224.19683837890625,155.897216796875,212.21408996582028,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,160.2531280517578,185.12349014282228,178.33211517333984,224.19683837890625,18.71645616947085,,,,,,,,,,,,,,,,,,,,,"178:172.4283,171.0137,188.2037,184.8572,177.7353|96:166.8966,173.9904,178.6563,171.6174,173.5719|176:171.8100,174.9318,186.3329,188.0055,186.4442|19:155.3285,177.6812,162.2955,171.9450,223.7899|174:172.7947,185.6474,179.0240,180.6187,174.5041|175:171.1784,181.2796,174.6611,178.1857,178.0609|172:169.9319,176.9696,178.0367,173.7720,180.2128|95:162.6121,172.8962,169.0034,163.5863,168.4471|101:164.3221,161.6636,185.8116,183.1656,181.4781|103:164.4321,174.6086,198.2343,188.4765,178.4302|22:158.5338,160.5274,177.3061,196.3990,186.3312|29:157.4671,165.9550,202.9676,162.2221,178.2340|8:150.4704,152.7810,159.8946,158.2245,165.5581|166:172.9152,175.5182,179.2257,170.0238,171.0030|10:153.0028,156.8770,155.5083,179.1007,167.4322|2:150.1624,151.8250,159.7218,159.5174,160.2531|40:163.2760,169.9010,202.1402,186.0284,211.1430|38:178.3567,169.6159,195.8584,203.1733,208.6856|204:180.8158,205.6311,238.5461,247.6678,224.1968|117:170.6319,175.5580,184.4446,208.2097,206.9582",,,0,,,,,1,1,1,1,1,False,True,7,7,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,9,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,169.20957946777344,256.6617126464844,156.53324127197266,222.34026336669922,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,160.88246154785156,192.16363830566405,184.41617584228516,256.6617126464844,25.09592152173042,,,,,,,,,,,,,,,,,,,,,"178:171.0137,188.2037,184.8572,177.7353,200.7625|96:173.9904,178.6563,171.6174,173.5719,173.1324|176:174.9318,186.3329,188.0055,186.4442,182.4357|19:177.6812,162.2955,171.9450,223.7899,186.3967|174:185.6474,179.0240,180.6187,174.5041,195.2464|175:181.2796,174.6611,178.1857,178.0609,174.9651|172:176.9696,178.0367,173.7720,180.2128,180.3410|95:172.8962,169.0034,163.5863,168.4471,190.9616|101:161.6636,185.8116,183.1656,181.4781,177.4620|103:174.6086,198.2343,188.4765,178.4302,187.5940|22:160.5274,177.3061,196.3990,186.3312,163.9039|29:165.9550,202.9676,162.2221,178.2340,229.7898|8:152.7810,159.8946,158.2245,165.5581,160.8825|166:175.5182,179.2257,170.0238,171.0030,174.7974|10:156.8770,155.5083,179.1007,167.4322,168.9581|2:151.8250,159.7218,159.5174,160.2531,173.3504|40:169.9010,202.1402,186.0284,211.1430,212.6595|38:169.6159,195.8584,203.1733,208.6856,222.9121|204:205.6311,238.5461,247.6678,224.1968,256.6617|117:175.5580,184.4446,208.2097,206.9582,230.0600",,,0,,,,,1,1,1,1,1,False,True,8,8,2,1
178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,1,10,0,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,167.1355743408203,314.4822692871094,157.1692657470703,232.80639343261717,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,164.07957458496094,195.3823585510254,181.50775909423828,314.4822692871094,34.7087195285449,,,,,,,,,,,,,,,,,,,,,"178:188.2037,184.8572,177.7353,200.7625,190.4320|96:178.6563,171.6174,173.5719,173.1324,171.3258|176:186.3329,188.0055,186.4442,182.4357,179.8768|19:162.2955,171.9450,223.7899,186.3967,182.0036|174:179.0240,180.6187,174.5041,195.2464,177.0109|175:174.6611,178.1857,178.0609,174.9651,190.6018|172:178.0367,173.7720,180.2128,180.3410,178.2663|95:169.0034,163.5863,168.4471,190.9616,171.0615|101:185.8116,183.1656,181.4781,177.4620,181.2864|103:198.2343,188.4765,178.4302,187.5940,181.7291|22:177.3061,196.3990,186.3312,163.9039,204.0369|29:202.9676,162.2221,178.2340,229.7898,314.4823|8:159.8946,158.2245,165.5581,160.8825,164.0796|166:179.2257,170.0238,171.0030,174.7974,179.1380|10:155.5083,179.1007,167.4322,168.9581,170.9768|2:159.7218,159.5174,160.2531,173.3504,171.8449|40:202.1402,186.0284,211.1430,212.6595,219.9354|38:195.8584,203.1733,208.6856,222.9121,197.5893|204:238.5461,247.6678,224.1968,256.6617,244.2514|117:184.4446,208.2097,206.9582,230.0600,237.7185",,,0,,,,,1,1,1,1,1,False,True,9,9,2,1
