run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,1,49,data_2000_3_6.5_chordal,train_epoch,train,,,1,0.9726045951843262,,,,,,,,2000,,,,,,,,,,,
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch,val,,,1,,1.1423495740890504,0.6402,0.531499981880188,0.3474791439970983,0.3473387658596039,0.3473387658596039,0.3473387658596039,2000,,,,,,,,,,,
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle2,,1,,,,,,,,,2000,181.0,722.0,1096.0,1.0,0.20044296788482835,0.9945054945054945,0.33364054560661316,0.33364054560661316,0.33364054560661316,182.0,0.09099999815225601
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle3,,1,,,,,,,,,2000,193.0,694.0,1113.0,0.0,0.21758737316798196,1.0,0.3574073910713196,0.3574073910713196,0.3574073910713196,193.0,0.09650000184774399
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle4,,1,,,,,,,,,2000,174.0,756.0,1070.0,0.0,0.1870967741935484,1.0,0.31521737575531006,0.31521737575531006,0.31521737575531006,174.0,0.08699999749660492
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle5,,1,,,,,,,,,2000,194.0,732.0,1074.0,0.0,0.20950323974082075,1.0,0.3464285731315613,0.3464285731315613,0.3464285731315613,194.0,0.09700000286102295
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle6,,1,,,,,,,,,2000,216.0,692.0,1091.0,1.0,0.23788546255506607,0.9953917050691244,0.3839999735355377,0.3839999735355377,0.3839999735355377,217.0,0.10849999636411667
local,local,,,1,49,data_2000_3_6.5_chordal,train_epoch,train,,,2,0.6209501571655274,,,,,,,,2000,,,,,,,,,,,
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch,val,,,2,,0.6343354549407959,0.7695,0.6589999794960022,0.44417651314203044,0.44394388794898987,0.44394388794898987,0.44394388794898987,2000,,,,,,,,,,,
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle2,,2,,,,,,,,,2000,180.0,456.0,1362.0,2.0,0.2830188679245283,0.989010989010989,0.44009774923324585,0.44009774923324585,0.44009774923324585,182.0,0.09099999815225601
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle3,,2,,,,,,,,,2000,185.0,439.0,1368.0,8.0,0.296474358974359,0.9585492227979274,0.45287635922431946,0.45287635922431946,0.45287635922431946,193.0,0.09650000184774399
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle4,,2,,,,,,,,,2000,173.0,472.0,1354.0,1.0,0.2682170542635659,0.9942528735632183,0.4224663972854614,0.4224663972854614,0.4224663972854614,174.0,0.08699999749660492
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle5,,2,,,,,,,,,2000,181.0,455.0,1351.0,13.0,0.28459119496855345,0.9329896907216495,0.4361445903778076,0.4361445903778076,0.4361445903778076,194.0,0.09700000286102295
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle6,,2,,,,,,,,,2000,202.0,444.0,1339.0,15.0,0.3126934984520124,0.9308755760368663,0.46813440322875977,0.46813440322875977,0.46813440322875977,217.0,0.10849999636411667
local,local,,,1,49,data_2000_3_6.5_chordal,train_epoch,train,,,3,0.5184334609508514,,,,,,,,2000,,,,,,,,,,,
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch,val,,,3,,0.7501149606704712,0.8813,0.7325000166893005,0.5552641438741102,0.5631223320960999,0.5631223320960999,0.5631223320960999,2000,,,,,,,,,,,
local,local,,,1,49,data_2000_3_6.5_chordal,val_epoch_task,val,cycle2,,3,,,,,,,,,2000,182.0,186.0,1632.0,0.0,0.4945652173913043,1.0,0.6618181467056274,0.6618181467056274,0.6618181467056274,182.0,0.09099999815225601
