run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,train_epoch,train,,,1,0.7052019093036651,,,,,,,,4000,,,,,,,,,,,
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch,val,,,1,,0.47383248710632325,0.86615,0.6147500276565552,0.7578033113181941,0.7761617302894592,0.7761617302894592,0.7761617302894592,4000,,,,,,,,,,,
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle2,,1,,,,,,,,,4000,765.0,48.0,3187.0,0.0,0.940959409594096,1.0,0.9695817232131958,0.9695817232131958,0.9695817232131958,765.0,0.1912499964237213
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle3,,1,,,,,,,,,4000,844.0,347.0,2783.0,26.0,0.7086481947942905,0.9701149425287356,0.8190198540687561,0.8190198540687561,0.8190198540687561,870.0,0.2175000011920929
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle4,,1,,,,,,,,,4000,877.0,443.0,2563.0,117.0,0.6643939393939394,0.8822937625754527,0.7579948306083679,0.7579948306083679,0.7579948306083679,994.0,0.2485000044107437
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle5,,1,,,,,,,,,4000,890.0,714.0,2289.0,107.0,0.5548628428927681,0.892678034102307,0.6843521595001221,0.6843521595001221,0.6843521595001221,997.0,0.24924999475479126
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle6,,1,,,,,,,,,4000,812.0,571.0,2313.0,304.0,0.5871294287780188,0.7275985663082437,0.6498599052429199,0.6498599052429199,0.6498599052429199,1116.0,0.27900001406669617
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,train_epoch,train,,,2,0.4044957356452942,,,,,,,,4000,,,,,,,,,,,
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch,val,,,2,,0.3066761336326599,0.88975,0.6499999761581421,0.8062900817007818,0.8267776370048523,0.8267776370048523,0.8267776370048523,4000,,,,,,,,,,,
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle2,,2,,,,,,,,,4000,765.0,55.0,3180.0,0.0,0.9329268292682927,1.0,0.965299665927887,0.965299665927887,0.965299665927887,765.0,0.1912499964237213
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle3,,2,,,,,,,,,4000,868.0,205.0,2925.0,2.0,0.8089468779123952,0.9977011494252873,0.8934637904167175,0.8934637904167175,0.8934637904167175,870.0,0.2175000011920929
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle4,,2,,,,,,,,,4000,973.0,349.0,2657.0,21.0,0.7360060514372163,0.9788732394366197,0.8402418494224548,0.8402418494224548,0.8402418494224548,994.0,0.2485000044107437
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle5,,2,,,,,,,,,4000,963.0,640.0,2363.0,34.0,0.6007485963817841,0.9658976930792377,0.7407691478729248,0.7407691478729248,0.7407691478729248,997.0,0.24924999475479126
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle6,,2,,,,,,,,,4000,1020.0,803.0,2081.0,96.0,0.5595172792100932,0.9139784946236559,0.6941136717796326,0.6941136717796326,0.6941136717796326,1116.0,0.27900001406669617
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,train_epoch,train,,,3,0.3117167489528656,,,,,,,,4000,,,,,,,,,,,
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch,val,,,3,,0.2547794514894485,0.91775,0.7177500128746033,0.8451764705882353,0.8632913827896118,0.8632913827896118,0.8632913827896118,4000,,,,,,,,,,,
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle2,,3,,,,,,,,,4000,764.0,43.0,3192.0,1.0,0.9467162329615861,0.9986928104575163,0.9720101952552795,0.9720101952552795,0.9720101952552795,765.0,0.1912499964237213
local,local,,,2,109,data_4000_4_5.0_chordal_rep01,val_epoch_task,val,cycle3,,3,,,,,,,,,4000,866.0,60.0,3070.0,4.0,0.9352051835853131,0.9954022988505747,0.9643652439117432,0.9643652439117432,0.9643652439117432,870.0,0.2175000011920929
