split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,1625,1971,2714,3902,5520,5496,2746
val,1606,2022,2814,4076,6130,5404,2752
test,1565,2048,2797,3895,5595,5681,2808
