split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,1046,1578,2477,4054,6335,4869,2373
val,992,1609,2512,3964,6443,4971,2410
test,1049,1555,2482,3956,6341,4823,2446
