split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,0,1349,1439,1586,1903,2826,1413
val,0,1288,1497,1805,2103,2786,1366
test,0,1242,1438,1624,1842,2929,1446
