split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,0,317,2059,15002,113561,4239,2028
val,0,302,2047,14752,112139,3887,1981
test,0,255,1822,12767,92875,3517,1735
