Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 3, 'neighbors_per_hop': [15, 10, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': None}
Using unweighted BCEWithLogitsLoss.
[PORT] fwd edge_attr: (2675, 2) (dtype=torch.int64) | rev edge_attr: (2736, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 067 | train 0.1653 | val 0.1828 | val macro-minF1 86.06%
[seed 0] Epoch 068 | train 0.1654 | val 0.1898 | val macro-minF1 86.42%
[seed 0] Epoch 069 | train 0.1641 | val 0.1806 | val macro-minF1 87.39%
[seed 0] Epoch 070 | train 0.1629 | val 0.1842 | val macro-minF1 86.28%
[seed 0] Epoch 071 | train 0.1635 | val 0.1786 | val macro-minF1 86.97%
[seed 0] Epoch 072 | train 0.1650 | val 0.1856 | val macro-minF1 86.83%
[seed 0] Epoch 073 | train 0.1633 | val 0.1786 | val macro-minF1 87.33%
[seed 0] Epoch 074 | train 0.1632 | val 0.1803 | val macro-minF1 86.52%
[seed 0] Epoch 075 | train 0.1636 | val 0.1793 | val macro-minF1 86.70%
[seed 0] Epoch 076 | train 0.1623 | val 0.1804 | val macro-minF1 87.00%
[seed 0] Epoch 077 | train 0.1626 | val 0.1791 | val macro-minF1 87.03%
[seed 0] Epoch 078 | train 0.1625 | val 0.1797 | val macro-minF1 86.50%
[seed 0] Epoch 079 | train 0.1620 | val 0.1836 | val macro-minF1 87.45%
[seed 0] Epoch 080 | train 0.1617 | val 0.1783 | val macro-minF1 87.25%
[seed 0] Epoch 081 | train 0.1605 | val 0.1828 | val macro-minF1 86.70%
[seed 0] Epoch 082 | train 0.1603 | val 0.1798 | val macro-minF1 86.53%
[seed 0] Epoch 083 | train 0.1596 | val 0.1864 | val macro-minF1 86.09%
[seed 0] Epoch 084 | train 0.1603 | val 0.1802 | val macro-minF1 87.19%
[seed 0] Epoch 085 | train 0.1613 | val 0.1826 | val macro-minF1 86.79%
[seed 0] Epoch 086 | train 0.1587 | val 0.1874 | val macro-minF1 86.50%
[seed 0] Epoch 087 | train 0.1599 | val 0.1847 | val macro-minF1 86.94%
[seed 0] Epoch 088 | train 0.1587 | val 0.1835 | val macro-minF1 86.36%
[seed 0] Epoch 089 | train 0.1593 | val 0.1816 | val macro-minF1 86.72%
[seed 0] Epoch 090 | train 0.1589 | val 0.1886 | val macro-minF1 86.20%
