Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10694, 2) (dtype=torch.int64) | rev edge_attr: (10716, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 065 | train 0.0660 | val 0.0592 | val macro-minF1 94.49%
[seed 0] Epoch 066 | train 0.0624 | val 0.0596 | val macro-minF1 93.80%
[seed 0] Epoch 067 | train 0.0613 | val 0.0596 | val macro-minF1 94.88%
[seed 0] Epoch 068 | train 0.0603 | val 0.0633 | val macro-minF1 94.64%
[seed 0] Epoch 069 | train 0.0632 | val 0.0653 | val macro-minF1 94.42%
[seed 0] Epoch 070 | train 0.0615 | val 0.0611 | val macro-minF1 94.82%
[seed 0] Epoch 071 | train 0.0605 | val 0.0616 | val macro-minF1 94.43%
[seed 0] Epoch 072 | train 0.0618 | val 0.0617 | val macro-minF1 94.37%
[seed 0] Epoch 073 | train 0.0609 | val 0.0610 | val macro-minF1 94.74%
[seed 0] Epoch 074 | train 0.0635 | val 0.0634 | val macro-minF1 94.01%
[seed 0] Epoch 075 | train 0.0622 | val 0.0608 | val macro-minF1 94.42%
[seed 0] Epoch 076 | train 0.0626 | val 0.0583 | val macro-minF1 94.87%
[seed 0] Epoch 077 | train 0.0598 | val 0.0616 | val macro-minF1 94.90%
[seed 0] Epoch 078 | train 0.0613 | val 0.4769 | val macro-minF1 78.67%
[seed 0] Epoch 079 | train 0.0618 | val 0.0611 | val macro-minF1 94.20%
[seed 0] Epoch 080 | train 0.0631 | val 0.0621 | val macro-minF1 94.36%
[seed 0] Epoch 081 | train 0.0609 | val 0.0589 | val macro-minF1 94.32%
[seed 0] Epoch 082 | train 0.0618 | val 0.0581 | val macro-minF1 94.84%
[seed 0] Epoch 083 | train 0.0603 | val 0.0584 | val macro-minF1 94.60%
[seed 0] Epoch 084 | train 0.0599 | val 0.0591 | val macro-minF1 94.59%
[seed 0] Epoch 085 | train 0.0623 | val 0.0645 | val macro-minF1 94.51%
[seed 0] Epoch 086 | train 0.0606 | val 0.0590 | val macro-minF1 94.59%
[seed 0] Epoch 087 | train 0.0622 | val 0.0580 | val macro-minF1 94.75%
[seed 0] Epoch 088 | train 0.0619 | val 0.0620 | val macro-minF1 94.29%
[seed 0] Epoch 089 | train 0.0635 | val 0.0601 | val macro-minF1 94.67%
[seed 0] Epoch 090 | train 0.0588 | val 0.0639 | val macro-minF1 92.94%
[seed 0] Epoch 091 | train 0.0568 | val 0.0562 | val macro-minF1 94.68%
[seed 0] Epoch 092 | train 0.0605 | val 0.0591 | val macro-minF1 94.75%
