Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (695, 2) (dtype=torch.int64) | rev edge_attr: (737, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 065 | train 0.2419 | val 0.2531 | val macro-minF1 83.75%
[seed 0] Epoch 066 | train 0.2419 | val 0.2531 | val macro-minF1 83.83%
[seed 0] Epoch 067 | train 0.2409 | val 0.2555 | val macro-minF1 83.64%
[seed 0] Epoch 068 | train 0.2428 | val 0.2652 | val macro-minF1 83.21%
[seed 0] Epoch 069 | train 0.2414 | val 0.2523 | val macro-minF1 83.97%
[seed 0] Epoch 070 | train 0.2418 | val 0.2561 | val macro-minF1 83.46%
[seed 0] Epoch 071 | train 0.2415 | val 0.2567 | val macro-minF1 83.46%
[seed 0] Epoch 072 | train 0.2408 | val 0.2567 | val macro-minF1 83.32%
[seed 0] Epoch 073 | train 0.2405 | val 0.2557 | val macro-minF1 83.46%
[seed 0] Epoch 074 | train 0.2418 | val 0.2568 | val macro-minF1 83.48%
[seed 0] Epoch 075 | train 0.2401 | val 0.2546 | val macro-minF1 83.82%
[seed 0] Epoch 076 | train 0.2394 | val 0.2582 | val macro-minF1 83.49%
[seed 0] Epoch 077 | train 0.2420 | val 0.2604 | val macro-minF1 83.39%
[seed 0] Epoch 078 | train 0.2413 | val 0.2568 | val macro-minF1 83.59%
[seed 0] Epoch 079 | train 0.2387 | val 0.2533 | val macro-minF1 83.79%
[seed 0] Epoch 080 | train 0.2379 | val 0.2559 | val macro-minF1 83.86%
[seed 0] Epoch 081 | train 0.2396 | val 0.2552 | val macro-minF1 83.43%
[seed 0] Epoch 082 | train 0.2379 | val 0.2570 | val macro-minF1 83.20%
[seed 0] Epoch 083 | train 0.2390 | val 0.2580 | val macro-minF1 83.77%
[seed 0] Epoch 084 | train 0.2378 | val 0.2582 | val macro-minF1 83.73%
[seed 0] Epoch 085 | train 0.2374 | val 0.2586 | val macro-minF1 83.32%
[seed 0] Epoch 086 | train 0.2361 | val 0.2605 | val macro-minF1 83.46%
[seed 0] Epoch 087 | train 0.2375 | val 0.2575 | val macro-minF1 83.61%
[seed 0] Epoch 088 | train 0.2377 | val 0.2616 | val macro-minF1 83.54%
[seed 0] Epoch 089 | train 0.2369 | val 0.2621 | val macro-minF1 83.66%
[seed 0] Epoch 090 | train 0.2350 | val 0.2601 | val macro-minF1 83.64%
[seed 0] Epoch 091 | train 0.2350 | val 0.2554 | val macro-minF1 83.45%
[seed 0] Epoch 092 | train 0.2351 | val 0.2628 | val macro-minF1 83.37%
[seed 0] Epoch 093 | train 0.2350 | val 0.2635 | val macro-minF1 83.77%
[seed 0] Epoch 094 | train 0.2341 | val 0.2611 | val macro-minF1 83.63%
[seed 0] Epoch 095 | train 0.2343 | val 0.2582 | val macro-minF1 83.39%
[seed 0] Epoch 096 | train 0.2345 | val 0.2623 | val macro-minF1 83.48%
[seed 0] Epoch 097 | train 0.2341 | val 0.2619 | val macro-minF1 83.39%
[seed 0] Epoch 098 | train 0.2314 | val 0.2660 | val macro-minF1 83.61%
[seed 0] Epoch 099 | train 0.2325 | val 0.2622 | val macro-minF1 83.69%
[seed 0] Epoch 100 | train 0.2329 | val 0.2631 | val macro-minF1 83.10%
Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (721, 2) (dtype=torch.int64) | rev edge_attr: (717, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 001 | train 0.4232 | val 0.3636 | val macro-minF1 77.75%
[seed 1] Epoch 002 | train 0.3560 | val 0.3476 | val macro-minF1 78.38%
[seed 1] Epoch 003 | train 0.3443 | val 0.3352 | val macro-minF1 79.22%
[seed 1] Epoch 004 | train 0.3325 | val 0.2903 | val macro-minF1 81.32%
[seed 1] Epoch 005 | train 0.2764 | val 0.2661 | val macro-minF1 83.24%
[seed 1] Epoch 006 | train 0.2693 | val 0.2826 | val macro-minF1 82.78%
[seed 1] Epoch 007 | train 0.2651 | val 0.2587 | val macro-minF1 83.34%
[seed 1] Epoch 008 | train 0.2634 | val 0.2590 | val macro-minF1 83.80%
[seed 1] Epoch 009 | train 0.2609 | val 0.2583 | val macro-minF1 83.90%
[seed 1] Epoch 010 | train 0.2597 | val 0.2625 | val macro-minF1 83.27%
[seed 1] Epoch 011 | train 0.2587 | val 0.2543 | val macro-minF1 83.97%
[seed 1] Epoch 012 | train 0.2591 | val 0.2575 | val macro-minF1 83.55%
[seed 1] Epoch 013 | train 0.2564 | val 0.2559 | val macro-minF1 83.84%
[seed 1] Epoch 014 | train 0.2564 | val 0.2558 | val macro-minF1 83.82%
[seed 1] Epoch 015 | train 0.2579 | val 0.2562 | val macro-minF1 83.94%
[seed 1] Epoch 016 | train 0.2560 | val 0.2534 | val macro-minF1 84.22%
[seed 1] Epoch 017 | train 0.2567 | val 0.2563 | val macro-minF1 83.33%
[seed 1] Epoch 018 | train 0.2530 | val 0.2558 | val macro-minF1 83.57%
[seed 1] Epoch 019 | train 0.2544 | val 0.2523 | val macro-minF1 83.92%
[seed 1] Epoch 020 | train 0.2551 | val 0.2777 | val macro-minF1 82.23%
[seed 1] Epoch 021 | train 0.2540 | val 0.2551 | val macro-minF1 84.00%
[seed 1] Epoch 022 | train 0.2519 | val 0.2519 | val macro-minF1 83.71%
[seed 1] Epoch 023 | train 0.2539 | val 0.2508 | val macro-minF1 84.15%
[seed 1] Epoch 024 | train 0.2533 | val 0.2553 | val macro-minF1 83.90%
[seed 1] Epoch 025 | train 0.2528 | val 0.2524 | val macro-minF1 84.08%
[seed 1] Epoch 026 | train 0.2542 | val 0.2542 | val macro-minF1 83.65%
[seed 1] Epoch 027 | train 0.2506 | val 0.2537 | val macro-minF1 83.91%
[seed 1] Epoch 028 | train 0.2529 | val 0.2513 | val macro-minF1 84.06%
[seed 1] Epoch 029 | train 0.2509 | val 0.2571 | val macro-minF1 83.63%
[seed 1] Epoch 030 | train 0.2520 | val 0.2546 | val macro-minF1 83.42%
[seed 1] Epoch 031 | train 0.2512 | val 0.2615 | val macro-minF1 83.09%
[seed 1] Epoch 032 | train 0.2516 | val 0.2589 | val macro-minF1 83.36%
[seed 1] Epoch 033 | train 0.2512 | val 0.2510 | val macro-minF1 84.27%
[seed 1] Epoch 034 | train 0.2500 | val 0.2540 | val macro-minF1 83.59%
[seed 1] Epoch 035 | train 0.2503 | val 0.2522 | val macro-minF1 83.74%
[seed 1] Epoch 036 | train 0.2497 | val 0.2499 | val macro-minF1 84.15%
[seed 1] Epoch 037 | train 0.2487 | val 0.2498 | val macro-minF1 84.05%
[seed 1] Epoch 038 | train 0.2496 | val 0.2547 | val macro-minF1 84.11%
[seed 1] Epoch 039 | train 0.2493 | val 0.2516 | val macro-minF1 83.85%
[seed 1] Epoch 040 | train 0.2480 | val 0.2546 | val macro-minF1 83.53%
[seed 1] Epoch 041 | train 0.2491 | val 0.2504 | val macro-minF1 83.93%
[seed 1] Epoch 042 | train 0.2497 | val 0.2574 | val macro-minF1 84.21%
[seed 1] Epoch 043 | train 0.2526 | val 0.2506 | val macro-minF1 84.16%
[seed 1] Epoch 044 | train 0.2492 | val 0.2505 | val macro-minF1 83.95%
[seed 1] Epoch 045 | train 0.2485 | val 0.2515 | val macro-minF1 84.01%
