Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10694, 2) (dtype=torch.int64) | rev edge_attr: (10716, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 065 | train 0.0639 | val 0.0597 | val macro-minF1 94.76%
[seed 0] Epoch 066 | train 0.0652 | val 0.0627 | val macro-minF1 93.57%
[seed 0] Epoch 067 | train 0.0634 | val 0.0636 | val macro-minF1 94.69%
[seed 0] Epoch 068 | train 0.0621 | val 0.0674 | val macro-minF1 94.44%
[seed 0] Epoch 069 | train 0.0643 | val 0.0615 | val macro-minF1 94.25%
[seed 0] Epoch 070 | train 0.0639 | val 0.0602 | val macro-minF1 94.67%
[seed 0] Epoch 071 | train 0.0655 | val 0.0651 | val macro-minF1 94.07%
[seed 0] Epoch 072 | train 0.0646 | val 0.0630 | val macro-minF1 93.90%
[seed 0] Epoch 073 | train 0.0652 | val 0.0610 | val macro-minF1 94.38%
[seed 0] Epoch 074 | train 0.0628 | val 0.0618 | val macro-minF1 93.96%
[seed 0] Epoch 075 | train 0.0650 | val 0.0694 | val macro-minF1 93.97%
[seed 0] Epoch 076 | train 0.0633 | val 0.0590 | val macro-minF1 94.66%
[seed 0] Epoch 077 | train 0.0615 | val 0.0630 | val macro-minF1 94.58%
[seed 0] Epoch 078 | train 0.0611 | val 0.0616 | val macro-minF1 94.28%
[seed 0] Epoch 079 | train 0.0649 | val 0.0670 | val macro-minF1 94.40%
[seed 0] Epoch 080 | train 0.0664 | val 0.0601 | val macro-minF1 94.36%
[seed 0] Epoch 081 | train 0.0629 | val 0.0714 | val macro-minF1 93.76%
[seed 0] Epoch 082 | train 0.0626 | val 0.0595 | val macro-minF1 94.90%
[seed 0] Epoch 083 | train 0.0606 | val 0.0609 | val macro-minF1 94.60%
[seed 0] Epoch 084 | train 0.0623 | val 0.0583 | val macro-minF1 93.82%
[seed 0] Epoch 085 | train 0.0637 | val 0.0570 | val macro-minF1 94.57%
[seed 0] Epoch 086 | train 0.0637 | val 0.0594 | val macro-minF1 94.60%
[seed 0] Epoch 087 | train 0.0635 | val 0.0637 | val macro-minF1 94.53%
[seed 0] Epoch 088 | train 0.0610 | val 0.0626 | val macro-minF1 93.95%
[seed 0] Epoch 089 | train 0.0653 | val 0.0565 | val macro-minF1 94.38%
[seed 0] Epoch 090 | train 0.0634 | val 0.0744 | val macro-minF1 93.24%
[seed 0] Epoch 091 | train 0.0620 | val 0.0592 | val macro-minF1 94.46%
[seed 0] Epoch 092 | train 0.0603 | val 0.0587 | val macro-minF1 94.35%
[seed 0] Epoch 093 | train 0.0616 | val 0.0584 | val macro-minF1 94.91%
[seed 0] Epoch 094 | train 0.0596 | val 0.0559 | val macro-minF1 94.29%
[seed 0] Epoch 095 | train 0.0633 | val 0.0658 | val macro-minF1 94.42%
[seed 0] Epoch 096 | train 0.0618 | val 0.0629 | val macro-minF1 94.61%
[seed 0] Epoch 097 | train 0.0630 | val 0.0574 | val macro-minF1 94.36%
[seed 0] Epoch 098 | train 0.0619 | val 0.0653 | val macro-minF1 93.96%
[seed 0] Epoch 099 | train 0.0610 | val 0.0625 | val macro-minF1 93.51%
[seed 0] Epoch 100 | train 0.0645 | val 0.0591 | val macro-minF1 94.47%
Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
