split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,4261,7042,12827,23774,44331,25734,12819
val,4276,7062,12919,24315,46279,25626,12857
test,4257,7167,13032,24451,46011,25584,12395
