# model_name=pna_reverse_mp_with_port_and_ego
# seed=1
# started_at=20260130-154552
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,0.3241708491113968,0.277316311490722,0.7303279885514216,0.9881646037101746,0.9576853513717651,0.9941542744636536,0.9994332790374756,0.04651162400841713,0.5331891775131226,0.7629791498184204,0.7186064720153809,0.740467369556427,0.6596360802650452,0.6327804923057556
2,0.2761857107980177,0.2693933372502215,0.7424643771214918,0.9867233037948608,0.977470338344574,0.9977290034294128,0.9990557432174683,0.2595641613006592,0.42167744040489197,0.7640096545219421,0.7075681090354919,0.736609935760498,0.6422817707061768,0.6744186878204346
3,0.26600818714359775,0.26669329905416816,0.7642494765194979,0.9936708807945251,0.9636821746826172,0.9979178309440613,0.9983009099960327,0.28382837772369385,0.553885281085968,0.7677921056747437,0.7396265268325806,0.7471293210983276,0.6797235012054443,0.6811873316764832
4,0.26263786060735583,0.2729868730530143,0.7473638166080822,0.9827616810798645,0.9901891946792603,0.9990525245666504,0.9973604679107666,0.3137962222099304,0.47191011905670166,0.7679429054260254,0.7380914688110352,0.7302884459495544,0.598953366279602,0.6306555867195129
5,0.2610909062786959,0.257902167562861,0.7774885947054083,0.9991257190704346,0.9921342134475708,0.9977290034294128,0.9986785054206848,0.3682696223258972,0.6150506138801575,0.7579056620597839,0.7126984000205994,0.7397176623344421,0.6943158507347107,0.6767492890357971
6,0.2592290451284498,0.26166226499481127,0.7397450398315083,0.9889426231384277,0.9994792342185974,0.987265944480896,0.9902658462524414,0.19368645548820496,0.5637364983558655,0.76236492395401,0.7142857313156128,0.7217362523078918,0.6362022757530212,0.5792296528816223
7,0.2582430397160351,0.2588809437584132,0.7485834427855231,0.9987756013870239,0.9998264312744141,0.998295783996582,0.9973604679107666,0.2262396663427353,0.47038915753364563,0.7565386891365051,0.7214412093162537,0.7464352250099182,0.6217450499534607,0.6973705887794495
8,0.25640718947397545,0.2719007699051872,0.7638042189858176,0.997372567653656,0.999133288860321,0.999241828918457,0.9967966675758362,0.39276087284088135,0.6386209726333618,0.6691847443580627,0.6157163381576538,0.7131420969963074,0.6952943205833435,0.6845827102661133
9,0.2555480399169028,0.25811869790777564,0.7637716233730316,0.9993007183074951,0.998088002204895,0.9998103380203247,0.999622106552124,0.3808012902736664,0.586969256401062,0.746867835521698,0.6771551966667175,0.6916466355323792,0.6373137831687927,0.6839126944541931
10,0.2546219808864407,0.25461498933145776,0.7501951496709477,0.9994755983352661,0.9850325584411621,0.999241828918457,0.9990557432174683,0.23161189258098602,0.5450336933135986,0.7502351403236389,0.7304854989051819,0.7183377742767334,0.6796812415122986,0.6139556765556335
11,0.253650136932265,0.2570495266118087,0.7265045805410906,0.9998252391815186,0.9977394938468933,0.999431312084198,0.9994332790374756,0.13551664352416992,0.5032317638397217,0.7549599409103394,0.7218982577323914,0.7181517481803894,0.5132978558540344,0.6480648517608643
12,0.25362590583972633,0.25334574095904827,0.7773373912681233,0.9994755983352661,0.9996529221534729,0.999431312084198,0.9977366924285889,0.36401328444480896,0.5806971788406372,0.7441224455833435,0.7312536835670471,0.7507365345954895,0.6951393485069275,0.6884523034095764
13,0.2538196248933673,0.2662297317292541,0.7253767153756185,1.0,0.9998264312744141,0.999620795249939,0.999622106552124,0.062157224863767624,0.5124538540840149,0.7563456892967224,0.7435355186462402,0.7551369667053223,0.5704901218414307,0.5799551606178284
14,0.25306651275604963,0.25010896346066147,0.76875394040888,0.994907796382904,0.9986101984977722,1.0,0.999622106552124,0.30882352590560913,0.5669807195663452,0.7625587582588196,0.7128794193267822,0.7491658926010132,0.6753193140029907,0.6874256134033203
15,0.25167146389139816,0.25222440116340294,0.7641252766955983,1.0,0.9859254360198975,0.998863160610199,0.9998109340667725,0.28490567207336426,0.5807471871376038,0.7454866170883179,0.7263239622116089,0.7473331689834595,0.6810678243637085,0.6549140810966492
16,0.2522852541296743,0.25267149723367766,0.7554923295974731,0.9998252391815186,0.9994792342185974,0.9998103380203247,0.9998109340667725,0.31360143423080444,0.5734577775001526,0.7462202906608582,0.715700089931488,0.7305503487586975,0.6826751232147217,0.549284815788269
17,0.25128083123127,0.25336610549129546,0.7534457092935388,1.0,1.0,0.9994310736656189,0.9983015656471252,0.2752918303012848,0.5628666877746582,0.7669666409492493,0.7270217537879944,0.7434008121490479,0.6625792384147644,0.5520431995391846
18,0.25132154836319387,0.2514340241905302,0.7461355978792364,1.0,0.9996529221534729,0.999431312084198,0.9998109340667725,0.12564247846603394,0.5728136301040649,0.7451463341712952,0.7313517928123474,0.7448107600212097,0.6131898760795593,0.6756415367126465
19,0.2510303548187949,0.25530024617910385,0.7607611566781998,1.0,0.9910730123519897,0.999431312084198,1.0,0.18113206326961517,0.5984431505203247,0.7585936188697815,0.700653076171875,0.7442439198493958,0.6957353353500366,0.699067234992981
20,0.24990200763568282,0.25756973668467253,0.7596068192612041,1.0,0.9994792342185974,0.9998103380203247,0.999622106552124,0.26223090291023254,0.5299977660179138,0.7685121893882751,0.7427750825881958,0.7539294958114624,0.6614549160003662,0.6378629803657532
