split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,7678,9289,11177,12876,14361,22444,11357
val,7647,9359,11317,12983,14525,22885,11390
test,7738,9394,11142,12873,14544,22554,11319
