subset_id,subset_size,subset_clients,node_count_std,node_count_range,density_std,density_range,in_degree_jsd_mean,out_degree_jsd_mean,motif_profile_jsd_mean,label_prev_jsd_mean,labelset_size_jsd_mean,label_mixing_jsd_mean,generator_entropy,generator_entropy_norm,param_cv2_mean,param_avg_pairwise_zdist,param_cv2_n,param_cv2_d,param_cv2_r
s4_000,4,0|6|12|15,353.5533905932738,1000.0,0.0007652643303198889,0.0020035032531280656,0.03307304019477787,0.03746732412800609,0.04360171196902859,0.03509222828566533,0.09936404502111335,0.05363022898003406,1.039720770840351,0.9463946303575803,0.03186267648348703,2.6574019237150845,0.05555555555555555,0.024943310657595467,0.015089163237310061
s4_001,4,6|7|8|15,216.50635094610965,500.0,0.0004338070519766351,0.001001834472940273,0.02042312610685184,0.021357528220268037,0.04180165126415781,0.0364548293800275,0.08564155236275378,0.0488437825216315,0.5623351446194949,0.8112781244601233,0.01608289730173331,2.676319335819503,0.013333333333333334,0.030470914127422474,0.004444444444444129
s4_002,4,5|7|9|15,353.5533905932738,1000.0,0.0004327504310104148,0.001001834472940273,0.020877926317121424,0.021408247765505338,0.026943748969722705,0.028188303301915848,0.08439651062617541,0.03859965433656823,0.5623351446194949,0.8112781244601233,0.030234315948601084,2.7413537135880683,0.05555555555555555,0.024943310657595467,0.010204081632652228
s4_003,4,2|4|6|8,216.50635094610965,500.0,0.0002892290740800933,0.0006682787691377377,0.01360071152735143,0.012805834601348026,0.058646410997749136,0.03871661410103141,0.05720221518835853,0.059960024603616595,0.6931471805599453,1.0,0.016592352102624972,2.266583477841093,0.013333333333333334,0.01038062283736967,0.026063100137171922
s4_004,4,1|4|9|12,353.5533905932738,1000.0,0.00043281381199354645,0.0010008339726901478,0.025256560286621092,0.02690708866208334,0.05840993735781291,0.03774670132931025,0.028440046038369485,0.06334417278933088,1.039720770840351,0.9463946303575803,0.02603510540018428,2.8284271247416353,0.05555555555555555,0.012345679012345071,0.010204081632652228
s4_005,4,8|11|14|15,414.578098794425,1000.0,0.0008285718064481966,0.0020035032531280656,0.02607479214264436,0.02590156242154249,0.05429447249997123,0.02968649611569773,0.08777508833272718,0.04681969703549467,1.039720770840351,0.9463946303575803,0.044484133855561526,2.7200326714066136,0.09090909090909091,0.024943310657595467,0.017599999999998197
s4_006,4,1|4|11|15,353.5533905932738,1000.0,0.0007048094348501003,0.0019934937438689316,0.016135033180016956,0.017565900938138323,0.06809809747680923,0.021952903489792064,0.04306433307693404,0.04191336905361546,1.039720770840351,0.9463946303575803,0.03552065545010765,2.694789391409195,0.05555555555555555,0.024943310657595467,0.026063100137171922
s4_007,4,2|10|13|14,414.578098794425,1000.0,0.0005832875792455219,0.0015045037533781905,0.02291504672488274,0.023087736746681506,0.07640145295602728,0.03204491786558456,0.045761884320881366,0.05134658960569531,1.039720770840351,0.9463946303575803,0.04390101391991641,2.657401923714915,0.09090909090909091,0.019999999999999202,0.02079395085065911
s4_008,4,1|7|8|10,216.50635094610965,500.0,0.00041519488150955,0.001001834472940273,0.027751345570499967,0.02737879068009825,0.0542025834181864,0.019813301944776807,0.03758534112479802,0.03313294674483775,0.5623351446194949,0.8112781244601233,0.01259259259259222,2.7949684965469754,0.013333333333333334,0.019999999999999202,0.004444444444444129
s4_009,4,5|6|9|11,414.578098794425,1000.0,0.0007051603912468761,0.0019944942441190564,0.011896516766594523,0.01216808736825861,0.006927789411638876,0.0012593490570522647,0.03900873619765305,0.0030664999216303743,-0.0,0.0,0.053498296575218186,2.720909731324635,0.09090909090909091,0.039999999999998405,0.029585798816565246
s4_010,4,6|7|8|13,433.0127018922193,1000.0,0.00043236242425441414,0.0009984982481230607,0.0026795379483951012,0.0019052696062125919,0.0015067931685861637,0.000828913426894473,0.0010085214733286598,0.002043122798160187,-0.0,0.0,0.03407245251041491,2.642133179325484,0.061224489795918366,0.01038062283736967,0.030612244897956685
s4_011,4,0|8|12|15,353.5533905932738,1000.0,0.0007652643303198889,0.0020035032531280656,0.033797306841338866,0.03592781944407969,0.0444514166081474,0.03573049339565985,0.09856530467766539,0.05392813696864854,1.039720770840351,0.9463946303575803,0.02880534199215469,2.731864780707248,0.05555555555555555,0.024943310657595467,0.005917159763313049
s4_012,4,0|1|6|11,414.578098794425,1000.0,0.0008285718064481965,0.0020035032531280656,0.029408374373174187,0.03376139655669004,0.07745466377861032,0.017996583050894806,0.042259226070794305,0.030693280289769313,0.6931471805599453,1.0,0.05096314620124006,2.584343754012087,0.09090909090909091,0.024943310657595467,0.03703703703703379
s4_013,4,0|5|7|9,414.578098794425,1000.0,0.0007083476774194852,0.0020035032531280656,0.028184974822519096,0.029799600976574636,0.047764500062477455,0.011959764344242963,0.036283048262407074,0.01755939149984482,0.5623351446194949,0.8112781244601233,0.043647188267998814,2.730594718931696,0.09090909090909091,0.024943310657595467,0.015089163237310061
