split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,2145,2638,3804,5481,7825,7487,3807
val,2079,2618,3658,5321,7642,7405,3690
test,2096,2753,3845,5661,8298,7754,3770
