Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,40.4% ± 0.7%,48.6% ± 1.4%,58.1% ± 4.1%,57.6% ± 3.7%,71.6% ± 2.5%,62.9% ± 1.8%,45.6% ± 2.4%,40.4% ± 0.9%,22.5% ± 0.1%,—,3
FedAvg,35.3% ± 3.4%,41.4% ± 2.6%,56.5% ± 3.3%,55.1% ± 3.2%,64.1% ± 5.4%,51.6% ± 9.2%,36.2% ± 2.1%,31.5% ± 3.2%,23.7% ± 3.1%,70.3 ± 8.1,3
FedProx,38.0% ± 0.6%,45.3% ± 1.2%,63.4% ± 5.9%,61.5% ± 5.5%,67.5% ± 6.9%,60.4% ± 2.3%,40.5% ± 2.2%,33.8% ± 1.3%,24.2% ± 2.0%,74.3 ± 4.0,3
GCFL+,35.2% ± 1.3%,40.3% ± 1.2%,61.4% ± 6.7%,61.0% ± 7.7%,52.4% ± 1.5%,56.7% ± 5.1%,35.0% ± 1.5%,34.1% ± 4.1%,23.3% ± 1.0%,73.3 ± 3.1,3
FedALA-Full,35.6% ± 2.5%,40.4% ± 1.9%,52.5% ± 1.5%,53.4% ± 2.2%,56.2% ± 5.6%,54.7% ± 7.3%,34.9% ± 0.6%,32.5% ± 2.2%,23.9% ± 3.2%,61.0 ± 10.4,3
APPLE-Full,31.7% ± 2.1%,35.7% ± 2.1%,48.9% ± 1.7%,51.6% ± 3.0%,55.8% ± 3.5%,36.9% ± 7.7%,33.2% ± 2.3%,29.7% ± 2.6%,22.7% ± 1.0%,65.0 ± 11.8,3
APPLE-ALA,38.5% ± 1.0%,47.4% ± 1.6%,62.5% ± 4.0%,62.2% ± 5.1%,72.9% ± 3.1%,63.4% ± 4.1%,43.9% ± 2.1%,34.6% ± 2.5%,22.3% ± 0.3%,68.7 ± 5.0,3
APPLE-PostALA,39.3% ± 0.7%,45.4% ± 2.8%,62.4% ± 8.6%,62.6% ± 7.3%,60.9% ± 5.5%,61.4% ± 6.9%,44.6% ± 3.4%,36.0% ± 1.1%,24.4% ± 3.0%,77.0 ± 3.6,3
Local-Centralized Upper Bound,85.7% ± 2.9%,87.7% ± 2.0%,95.6% ± 0.8%,94.1% ± 1.8%,96.1% ± 1.1%,95.4% ± 1.1%,91.1% ± 2.1%,84.7% ± 4.9%,71.3% ± 6.2%,—,3
