Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,73.4% ± 1.3%,76.9% ± 1.1%,84.7% ± 2.2%,82.8% ± 2.2%,92.1% ± 0.9%,87.1% ± 1.3%,76.2% ± 1.3%,74.0% ± 1.1%,55.1% ± 2.1%,—,3
FedAvg,71.7% ± 3.5%,74.2% ± 2.9%,85.6% ± 0.4%,83.8% ± 0.2%,87.5% ± 3.4%,83.0% ± 5.7%,72.6% ± 2.3%,68.0% ± 4.3%,59.7% ± 4.5%,78.3 ± 1.5,3
FedProx,73.3% ± 1.0%,76.4% ± 1.4%,87.9% ± 2.5%,85.9% ± 2.0%,92.3% ± 2.7%,87.2% ± 1.3%,73.2% ± 5.3%,69.9% ± 2.5%,59.6% ± 0.5%,74.7 ± 4.2,3
GCFL+,72.4% ± 1.9%,74.6% ± 2.1%,87.3% ± 3.3%,86.1% ± 3.9%,84.2% ± 7.6%,85.9% ± 0.5%,71.0% ± 0.7%,71.9% ± 3.3%,59.9% ± 1.5%,73.7 ± 7.8,3
FedALA-Full,72.3% ± 1.4%,74.6% ± 0.9%,82.7% ± 0.8%,81.8% ± 0.9%,86.4% ± 1.6%,85.1% ± 2.8%,72.2% ± 0.3%,69.5% ± 2.5%,59.7% ± 2.6%,69.3 ± 4.0,3
APPLE-Full,68.4% ± 3.1%,70.5% ± 3.2%,79.0% ± 0.7%,80.0% ± 1.0%,86.7% ± 3.0%,71.7% ± 8.5%,68.5% ± 2.9%,67.5% ± 2.9%,58.2% ± 3.6%,71.0 ± 13.9,3
APPLE-ALA,72.5% ± 1.2%,76.1% ± 0.7%,87.3% ± 2.2%,85.5% ± 2.7%,92.2% ± 1.2%,87.9% ± 1.7%,76.7% ± 1.1%,68.4% ± 2.1%,55.6% ± 3.4%,78.3 ± 0.6,3
APPLE-PostALA,73.2% ± 1.1%,75.9% ± 0.5%,86.7% ± 3.1%,85.5% ± 2.9%,88.1% ± 6.0%,87.0% ± 1.3%,75.7% ± 2.3%,70.0% ± 1.7%,58.7% ± 3.8%,69.7 ± 11.1,3
Local-Centralized Upper Bound,82.9% ± 1.4%,85.7% ± 1.6%,95.4% ± 1.3%,94.2% ± 0.9%,97.5% ± 1.6%,95.4% ± 2.7%,88.8% ± 3.6%,80.5% ± 0.9%,66.2% ± 1.2%,—,3
