Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,32.3% ± 2.2%,34.1% ± 3.4%,32.6% ± 4.9%,16.7% ± 3.7%,48.5% ± 5.8%,39.8% ± 10.2%,28.0% ± 4.2%,30.8% ± 7.2%,23.5% ± 3.8%,—,3
FedAvg,23.6% ± 4.5%,24.4% ± 5.1%,32.9% ± 11.0%,25.4% ± 8.2%,24.1% ± 4.8%,29.6% ± 10.0%,24.9% ± 1.8%,24.7% ± 6.4%,18.8% ± 2.8%,74.0 ± 5.3,3
FedProx,23.5% ± 2.3%,24.3% ± 2.1%,38.3% ± 8.4%,29.6% ± 3.3%,24.0% ± 4.8%,28.3% ± 2.2%,24.9% ± 1.5%,25.2% ± 4.8%,19.0% ± 2.4%,74.0 ± 3.6,3
GCFL+,25.8% ± 1.6%,27.7% ± 3.1%,43.7% ± 5.8%,34.9% ± 1.9%,32.6% ± 13.3%,33.6% ± 5.6%,26.9% ± 2.5%,25.6% ± 1.0%,19.6% ± 0.9%,72.0 ± 12.2,3
FedALA-Full,26.6% ± 2.1%,26.9% ± 2.5%,35.7% ± 7.4%,27.2% ± 3.4%,27.6% ± 3.0%,31.6% ± 6.3%,25.6% ± 1.2%,27.8% ± 2.8%,22.1% ± 0.4%,78.0 ± 2.6,3
APPLE-Full,27.5% ± 4.2%,27.9% ± 4.6%,33.4% ± 5.7%,23.8% ± 5.4%,30.8% ± 7.7%,28.9% ± 5.8%,23.9% ± 2.2%,30.6% ± 6.2%,25.2% ± 2.9%,80.0 ± 0.0,3
APPLE-ALA,35.2% ± 2.5%,38.4% ± 1.6%,47.8% ± 3.0%,36.4% ± 1.9%,44.8% ± 4.3%,51.0% ± 6.3%,36.0% ± 3.6%,35.9% ± 2.5%,24.2% ± 4.6%,72.7 ± 0.6,3
APPLE-PostALA,38.5% ± 0.5%,40.2% ± 0.9%,53.1% ± 5.1%,39.8% ± 4.6%,51.8% ± 1.2%,51.2% ± 3.9%,34.5% ± 6.3%,36.4% ± 2.3%,27.0% ± 2.0%,73.3 ± 3.8,3
Local-Centralized Upper Bound,87.4% ± 0.7%,88.8% ± 0.5%,95.0% ± 0.8%,93.8% ± 0.8%,97.1% ± 0.7%,94.6% ± 1.7%,92.1% ± 1.1%,84.3% ± 0.8%,75.7% ± 1.3%,—,3
