Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,73.3% ± 0.7%,76.5% ± 1.0%,85.0% ± 0.9%,83.3% ± 1.0%,92.9% ± 1.3%,85.2% ± 2.5%,75.7% ± 1.0%,73.9% ± 1.7%,54.7% ± 0.9%,—,3
FedAvg,70.8% ± 4.3%,73.5% ± 3.5%,85.5% ± 0.9%,83.9% ± 0.2%,88.1% ± 2.9%,83.0% ± 4.7%,70.2% ± 5.7%,68.0% ± 4.3%,58.4% ± 5.0%,74.0 ± 3.6,3
FedProx,73.2% ± 1.0%,76.6% ± 0.1%,88.2% ± 2.9%,86.3% ± 1.9%,91.3% ± 4.1%,87.9% ± 0.8%,77.0% ± 3.4%,68.3% ± 3.4%,58.4% ± 3.4%,68.0 ± 11.0,3
GCFL+,73.0% ± 1.2%,75.6% ± 0.7%,86.3% ± 3.6%,85.6% ± 4.2%,87.3% ± 3.2%,86.7% ± 1.1%,72.5% ± 1.4%,71.8% ± 4.5%,59.5% ± 2.4%,77.7 ± 1.5,3
FedALA-Full,72.4% ± 2.2%,74.7% ± 1.6%,83.2% ± 1.7%,82.0% ± 1.5%,86.0% ± 0.5%,85.2% ± 0.5%,72.5% ± 2.3%,70.0% ± 3.6%,59.7% ± 4.4%,67.7 ± 6.7,3
APPLE-Full,67.3% ± 3.1%,69.4% ± 3.3%,78.9% ± 1.2%,80.4% ± 0.3%,83.9% ± 5.2%,72.7% ± 8.3%,67.2% ± 1.2%,66.1% ± 3.8%,57.0% ± 2.6%,63.7 ± 9.1,3
APPLE-ALA,72.5% ± 1.4%,76.1% ± 0.9%,87.5% ± 1.8%,85.8% ± 1.9%,92.4% ± 1.3%,87.1% ± 1.6%,76.7% ± 1.6%,68.5% ± 2.4%,55.7% ± 3.3%,78.3 ± 0.6,3
APPLE-PostALA,73.8% ± 1.6%,76.3% ± 0.6%,86.5% ± 2.9%,85.6% ± 3.2%,86.9% ± 6.0%,88.4% ± 3.7%,76.5% ± 0.3%,69.9% ± 0.7%,59.7% ± 5.5%,76.7 ± 5.8,3
Local-Centralized Upper Bound,82.4% ± 4.2%,85.0% ± 3.5%,95.2% ± 0.5%,94.4% ± 0.8%,98.2% ± 1.5%,94.8% ± 0.4%,82.7% ± 10.2%,81.5% ± 2.4%,68.0% ± 4.8%,—,3
