Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,75.6% ± 1.5%,78.4% ± 1.5%,84.8% ± 1.6%,82.8% ± 2.0%,92.1% ± 1.8%,87.2% ± 1.9%,78.9% ± 2.6%,76.3% ± 1.3%,57.4% ± 1.5%,—,3
FedAvg,72.7% ± 2.1%,75.1% ± 1.7%,85.2% ± 0.9%,83.4% ± 0.6%,88.7% ± 4.0%,83.1% ± 3.5%,74.2% ± 1.2%,69.6% ± 2.8%,60.1% ± 3.1%,75.7 ± 1.5,3
FedProx,75.1% ± 0.5%,77.7% ± 0.5%,87.6% ± 3.1%,85.7% ± 2.5%,90.8% ± 2.9%,87.9% ± 1.8%,77.1% ± 1.8%,71.7% ± 0.9%,61.2% ± 2.8%,74.3 ± 4.0,3
GCFL+,73.1% ± 1.0%,74.9% ± 0.6%,86.1% ± 1.9%,84.9% ± 3.0%,81.7% ± 4.3%,86.0% ± 0.5%,74.1% ± 1.5%,71.5% ± 3.6%,61.2% ± 3.1%,73.7 ± 3.1,3
FedALA-Full,72.4% ± 1.8%,74.6% ± 1.3%,82.3% ± 1.3%,81.3% ± 1.5%,85.3% ± 3.2%,85.3% ± 3.4%,72.7% ± 1.0%,69.7% ± 2.2%,59.6% ± 3.6%,63.3 ± 6.4,3
APPLE-Full,70.0% ± 2.4%,72.1% ± 2.3%,80.9% ± 1.1%,80.5% ± 1.4%,87.8% ± 1.0%,74.7% ± 6.5%,70.5% ± 1.2%,68.1% ± 3.3%,59.4% ± 2.2%,70.3 ± 13.3,3
APPLE-ALA,75.1% ± 0.5%,78.2% ± 0.7%,87.3% ± 1.5%,84.7% ± 1.9%,92.5% ± 2.2%,89.4% ± 1.2%,79.6% ± 2.6%,71.4% ± 1.4%,58.3% ± 0.6%,71.7 ± 9.7,3
APPLE-PostALA,76.0% ± 0.7%,78.4% ± 1.3%,87.4% ± 3.6%,86.0% ± 3.3%,89.1% ± 1.3%,89.7% ± 3.4%,78.8% ± 3.5%,73.6% ± 1.4%,61.1% ± 2.5%,70.3 ± 9.3,3
Local-Centralized Upper Bound,85.8% ± 1.6%,87.9% ± 0.8%,95.2% ± 0.4%,94.4% ± 0.8%,96.7% ± 1.6%,95.7% ± 1.2%,90.7% ± 2.8%,85.2% ± 2.6%,71.0% ± 5.8%,—,3
