Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,73.2% ± 1.6%,76.2% ± 1.3%,81.4% ± 1.1%,79.3% ± 0.7%,91.1% ± 1.5%,87.9% ± 1.6%,75.9% ± 0.8%,73.6% ± 4.3%,52.6% ± 3.0%,—,3
FedAvg,68.9% ± 2.0%,70.9% ± 2.0%,83.4% ± 1.0%,82.0% ± 1.3%,83.2% ± 3.6%,76.4% ± 4.0%,70.1% ± 2.5%,67.1% ± 4.1%,57.7% ± 2.4%,67.7 ± 10.7,3
FedProx,71.5% ± 4.3%,73.9% ± 3.8%,85.3% ± 2.2%,84.1% ± 2.7%,87.8% ± 2.4%,81.3% ± 6.5%,71.4% ± 1.9%,69.3% ± 3.9%,59.6% ± 5.8%,71.7 ± 11.0,3
GCFL+,72.3% ± 0.3%,74.1% ± 0.2%,86.2% ± 3.5%,85.4% ± 3.4%,81.4% ± 4.7%,83.4% ± 1.2%,74.8% ± 0.5%,70.8% ± 2.8%,60.2% ± 0.4%,72.7 ± 5.1,3
FedALA-Full,71.8% ± 1.2%,74.2% ± 1.1%,84.2% ± 4.3%,83.2% ± 4.7%,88.0% ± 0.6%,82.0% ± 3.4%,72.7% ± 1.5%,69.5% ± 3.2%,58.6% ± 1.7%,70.7 ± 2.1,3
APPLE-Full,72.0% ± 0.4%,74.5% ± 0.5%,79.9% ± 2.4%,79.6% ± 2.5%,89.3% ± 1.3%,84.2% ± 2.4%,67.9% ± 2.7%,71.9% ± 1.2%,59.4% ± 1.0%,75.0 ± 2.6,3
APPLE-ALA,73.0% ± 1.4%,75.8% ± 1.8%,84.0% ± 3.4%,82.2% ± 2.9%,91.1% ± 4.6%,83.3% ± 2.0%,76.4% ± 3.2%,71.3% ± 1.5%,56.8% ± 1.1%,63.0 ± 10.4,3
APPLE-PostALA,75.6% ± 1.1%,78.3% ± 0.9%,87.0% ± 2.0%,86.2% ± 2.3%,88.9% ± 1.8%,91.1% ± 3.2%,77.2% ± 2.0%,73.3% ± 2.8%,60.8% ± 4.0%,76.7 ± 3.2,3
Local-Centralized Upper Bound,84.9% ± 1.0%,87.6% ± 0.5%,95.8% ± 0.6%,93.9% ± 0.9%,98.4% ± 0.5%,97.3% ± 1.8%,90.3% ± 2.7%,83.9% ± 2.6%,68.0% ± 2.8%,—,3
