Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,71.3% ± 0.9%,74.5% ± 1.1%,82.4% ± 0.6%,80.1% ± 0.3%,89.6% ± 2.8%,86.4% ± 1.5%,73.6% ± 1.8%,70.8% ± 3.8%,52.0% ± 0.9%,—,3
FedAvg,66.0% ± 3.1%,67.8% ± 3.1%,83.1% ± 1.0%,82.3% ± 1.1%,77.9% ± 5.5%,73.2% ± 2.6%,66.7% ± 4.3%,65.0% ± 4.5%,56.1% ± 3.9%,67.7 ± 15.0,3
FedProx,69.6% ± 3.4%,71.8% ± 3.0%,85.3% ± 0.7%,84.3% ± 1.2%,83.6% ± 0.9%,80.7% ± 4.9%,69.1% ± 0.7%,67.7% ± 4.5%,58.0% ± 5.4%,75.7 ± 3.8,3
GCFL+,71.2% ± 1.7%,72.9% ± 1.9%,86.2% ± 4.1%,85.8% ± 3.5%,80.0% ± 5.9%,81.8% ± 1.5%,73.1% ± 2.6%,69.7% ± 2.9%,59.8% ± 0.9%,69.7 ± 4.0,3
FedALA-Full,70.5% ± 2.1%,72.8% ± 2.2%,83.3% ± 5.2%,82.9% ± 4.7%,86.1% ± 2.2%,80.4% ± 4.7%,71.0% ± 2.9%,68.3% ± 2.7%,58.1% ± 1.8%,74.3 ± 4.0,3
APPLE-Full,70.6% ± 2.2%,72.6% ± 2.6%,79.8% ± 2.8%,80.4% ± 2.4%,82.3% ± 9.4%,83.2% ± 0.7%,67.4% ± 4.1%,71.3% ± 1.4%,59.0% ± 2.5%,68.3 ± 11.7,3
APPLE-ALA,72.1% ± 1.7%,75.0% ± 2.1%,85.1% ± 3.8%,83.5% ± 2.4%,91.1% ± 4.7%,83.4% ± 4.9%,75.1% ± 1.3%,68.4% ± 1.0%,57.2% ± 0.6%,71.3 ± 11.7,3
APPLE-PostALA,73.5% ± 0.3%,76.5% ± 0.9%,86.1% ± 2.6%,85.1% ± 2.0%,90.3% ± 5.8%,87.6% ± 1.8%,75.9% ± 2.4%,70.8% ± 1.3%,57.9% ± 3.1%,65.3 ± 13.7,3
Local-Centralized Upper Bound,83.3% ± 2.7%,86.0% ± 3.0%,95.8% ± 0.9%,94.3% ± 0.5%,98.4% ± 1.8%,96.3% ± 1.5%,86.2% ± 7.8%,80.3% ± 7.1%,68.6% ± 3.2%,—,3
