Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,48.9% ± 5.2%,48.1% ± 6.7%,47.4% ± 6.4%,48.3% ± 6.4%,51.3% ± 11.2%,51.4% ± 11.0%,50.1% ± 6.8%,47.1% ± 6.4%,40.7% ± 2.2%,—,3
FedAvg,60.4% ± 5.4%,61.0% ± 5.7%,66.7% ± 9.3%,67.2% ± 9.4%,60.7% ± 5.6%,66.8% ± 10.3%,62.6% ± 1.7%,61.7% ± 7.0%,53.4% ± 4.0%,74.7 ± 4.6,3
FedProx,60.5% ± 3.3%,61.1% ± 3.2%,72.0% ± 7.2%,73.5% ± 6.9%,59.4% ± 5.8%,66.8% ± 3.6%,62.9% ± 1.4%,62.5% ± 5.3%,53.9% ± 3.8%,71.7 ± 3.8,3
GCFL+,63.5% ± 2.0%,64.7% ± 2.8%,76.0% ± 3.5%,76.3% ± 1.0%,68.9% ± 11.5%,71.4% ± 4.7%,65.0% ± 3.5%,63.7% ± 1.6%,54.6% ± 1.3%,72.0 ± 12.2,3
FedALA-Full,62.6% ± 3.0%,63.0% ± 3.3%,67.8% ± 3.6%,69.3% ± 3.3%,64.7% ± 5.4%,68.8% ± 6.4%,63.0% ± 0.9%,63.2% ± 3.1%,55.5% ± 1.6%,78.3 ± 2.1,3
APPLE-Full,60.3% ± 4.9%,60.6% ± 5.4%,63.5% ± 5.4%,65.3% ± 7.3%,63.1% ± 12.0%,62.3% ± 6.6%,59.0% ± 3.6%,63.7% ± 5.3%,55.0% ± 2.3%,80.0 ± 0.0,3
APPLE-ALA,69.8% ± 1.7%,71.6% ± 1.1%,79.2% ± 0.9%,79.2% ± 0.2%,81.3% ± 5.5%,78.8% ± 5.6%,70.2% ± 1.7%,70.3% ± 1.2%,57.1% ± 4.3%,72.3 ± 0.6,3
APPLE-PostALA,72.1% ± 0.8%,73.3% ± 0.7%,80.7% ± 1.7%,80.6% ± 1.1%,82.7% ± 0.7%,80.9% ± 1.0%,71.4% ± 2.0%,71.9% ± 1.8%,59.7% ± 2.9%,78.0 ± 2.0,3
Local-Centralized Upper Bound,88.1% ± 0.7%,89.6% ± 0.6%,95.3% ± 0.4%,93.8% ± 0.2%,98.5% ± 0.3%,95.8% ± 0.9%,92.5% ± 1.8%,85.8% ± 0.6%,75.5% ± 2.0%,—,3
