Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,36.1% ± 1.7%,43.1% ± 2.8%,56.4% ± 3.4%,48.8% ± 1.7%,64.7% ± 3.9%,57.0% ± 6.1%,38.1% ± 4.1%,34.4% ± 2.8%,21.1% ± 1.2%,—,3
FedAvg,29.5% ± 1.2%,32.6% ± 1.1%,54.9% ± 1.1%,51.2% ± 1.0%,44.6% ± 8.0%,37.0% ± 3.5%,30.4% ± 1.8%,30.1% ± 4.4%,20.9% ± 1.9%,71.3 ± 9.6,3
FedProx,31.4% ± 3.5%,36.1% ± 3.3%,58.0% ± 2.2%,54.0% ± 2.3%,52.1% ± 3.0%,46.2% ± 8.4%,30.6% ± 2.5%,30.1% ± 4.7%,21.3% ± 2.9%,74.3 ± 6.0,3
GCFL+,32.1% ± 2.2%,36.0% ± 3.3%,61.2% ± 10.3%,58.2% ± 9.6%,45.6% ± 11.0%,48.1% ± 4.5%,33.4% ± 3.9%,30.7% ± 2.8%,22.1% ± 1.5%,74.3 ± 5.5,3
FedALA-Full,33.3% ± 1.5%,38.0% ± 2.1%,57.6% ± 9.3%,53.7% ± 9.2%,57.8% ± 1.2%,46.3% ± 7.0%,32.7% ± 3.8%,31.2% ± 4.0%,22.3% ± 1.3%,75.7 ± 4.9,3
APPLE-Full,33.0% ± 0.8%,37.8% ± 1.9%,51.3% ± 2.1%,47.3% ± 2.4%,55.5% ± 7.2%,49.0% ± 4.6%,29.0% ± 2.1%,33.1% ± 1.2%,22.6% ± 1.0%,67.3 ± 14.8,3
APPLE-ALA,33.9% ± 2.1%,41.9% ± 3.7%,59.2% ± 7.7%,55.5% ± 7.3%,72.1% ± 7.9%,48.4% ± 7.5%,38.2% ± 4.4%,30.2% ± 1.4%,20.5% ± 1.6%,71.3 ± 10.8,3
APPLE-PostALA,36.4% ± 1.6%,42.8% ± 4.7%,64.0% ± 7.7%,59.8% ± 7.1%,60.9% ± 9.3%,61.0% ± 11.6%,38.0% ± 5.8%,31.7% ± 2.0%,22.6% ± 2.7%,75.7 ± 2.5,3
Local-Centralized Upper Bound,84.7% ± 0.9%,87.1% ± 0.1%,95.1% ± 0.9%,93.4% ± 0.8%,97.2% ± 2.5%,96.1% ± 1.2%,90.1% ± 2.5%,82.9% ± 2.6%,69.2% ± 5.6%,—,3
