Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,75.1% ± 0.8%,78.2% ± 0.8%,84.7% ± 1.3%,82.4% ± 1.4%,93.7% ± 1.0%,88.3% ± 2.3%,77.3% ± 0.5%,76.2% ± 1.2%,55.7% ± 1.2%,—,3
FedAvg,72.4% ± 3.1%,75.0% ± 2.3%,85.1% ± 1.8%,83.1% ± 1.5%,89.9% ± 3.4%,83.2% ± 4.0%,73.2% ± 1.3%,68.6% ± 4.2%,60.1% ± 4.7%,71.3 ± 9.0,3
FedProx,75.1% ± 0.5%,77.8% ± 0.4%,87.7% ± 2.4%,85.7% ± 1.8%,91.7% ± 2.7%,87.9% ± 0.7%,76.8% ± 2.3%,71.2% ± 2.0%,61.5% ± 2.3%,73.7 ± 4.7,3
GCFL+,73.3% ± 1.2%,75.9% ± 0.7%,86.7% ± 3.2%,85.7% ± 3.8%,86.5% ± 3.3%,87.8% ± 0.9%,72.6% ± 1.1%,72.4% ± 4.8%,59.9% ± 2.1%,74.7 ± 4.2,3
FedALA-Full,72.0% ± 1.6%,74.5% ± 1.1%,82.7% ± 1.1%,81.4% ± 1.0%,85.5% ± 2.4%,86.1% ± 2.4%,73.7% ± 2.1%,68.3% ± 2.1%,58.9% ± 3.4%,68.7 ± 7.6,3
APPLE-Full,67.6% ± 4.0%,70.4% ± 3.5%,76.7% ± 4.0%,78.9% ± 2.4%,87.3% ± 4.1%,75.6% ± 9.3%,66.6% ± 3.2%,65.9% ± 5.7%,56.5% ± 4.7%,76.7 ± 1.5,3
APPLE-ALA,75.1% ± 0.1%,78.3% ± 0.3%,87.4% ± 1.4%,85.4% ± 1.5%,93.1% ± 1.1%,88.9% ± 1.3%,79.8% ± 0.5%,72.3% ± 2.0%,57.5% ± 0.9%,72.7 ± 8.1,3
APPLE-PostALA,75.4% ± 1.1%,78.0% ± 1.0%,87.3% ± 3.7%,85.8% ± 3.1%,90.4% ± 3.7%,89.0% ± 3.2%,78.1% ± 3.6%,71.7% ± 1.8%,60.8% ± 4.8%,74.0 ± 8.7,3
Local-Centralized Upper Bound,85.2% ± 1.9%,87.5% ± 1.0%,95.2% ± 0.2%,93.8% ± 0.8%,97.5% ± 1.6%,96.1% ± 2.7%,90.8% ± 2.3%,82.8% ± 2.9%,70.2% ± 6.1%,—,3
