Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,22.4% ± 6.0%,19.6% ± 8.6%,27.4% ± 4.1%,18.3% ± 4.2%,21.8% ± 12.7%,22.0% ± 11.1%,18.3% ± 6.2%,20.3% ± 10.4%,15.7% ± 2.4%,—,3
FedAvg,22.1% ± 5.6%,23.0% ± 6.6%,32.2% ± 12.9%,26.2% ± 8.4%,23.1% ± 11.1%,27.6% ± 10.0%,23.0% ± 3.4%,23.4% ± 6.2%,17.8% ± 2.6%,74.7 ± 2.1,3
FedProx,23.1% ± 2.4%,23.8% ± 2.3%,39.6% ± 9.0%,32.2% ± 4.6%,23.8% ± 3.6%,27.9% ± 4.3%,23.9% ± 2.0%,25.1% ± 4.5%,18.6% ± 2.3%,78.0 ± 1.7,3
GCFL+,26.1% ± 1.4%,27.7% ± 3.0%,43.5% ± 5.9%,35.1% ± 2.4%,32.7% ± 13.3%,30.9% ± 2.8%,28.8% ± 0.8%,26.5% ± 0.6%,19.8% ± 1.1%,76.0 ± 5.3,3
FedALA-Full,25.5% ± 2.8%,25.9% ± 2.9%,36.4% ± 5.4%,26.7% ± 3.1%,26.4% ± 4.7%,29.8% ± 5.6%,26.4% ± 2.5%,26.0% ± 3.3%,20.8% ± 2.5%,78.0 ± 2.6,3
APPLE-Full,26.6% ± 4.3%,27.0% ± 4.8%,35.3% ± 6.8%,25.9% ± 6.5%,29.1% ± 6.7%,29.2% ± 5.7%,23.1% ± 2.1%,29.0% ± 7.3%,24.5% ± 3.3%,79.3 ± 1.2,3
APPLE-ALA,34.0% ± 0.6%,37.8% ± 0.9%,48.0% ± 2.9%,38.6% ± 2.3%,46.6% ± 0.9%,51.1% ± 7.9%,34.9% ± 4.9%,33.2% ± 2.1%,23.0% ± 2.5%,70.3 ± 3.8,3
APPLE-PostALA,34.0% ± 2.6%,37.8% ± 2.5%,52.7% ± 6.0%,43.0% ± 5.7%,50.9% ± 3.0%,48.7% ± 8.1%,32.7% ± 1.5%,33.0% ± 5.1%,23.5% ± 3.0%,76.0 ± 5.2,3
Local-Centralized Upper Bound,85.3% ± 2.8%,87.2% ± 2.1%,95.3% ± 0.2%,94.1% ± 0.4%,98.1% ± 0.3%,95.5% ± 0.2%,88.0% ± 2.8%,81.0% ± 4.8%,73.5% ± 4.5%,—,3
