Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,46.2% ± 6.1%,41.7% ± 6.7%,49.3% ± 7.0%,49.5% ± 6.7%,42.5% ± 10.9%,44.9% ± 8.8%,43.0% ± 7.0%,40.9% ± 7.1%,37.4% ± 0.3%,—,3
FedAvg,59.0% ± 5.9%,59.7% ± 6.3%,67.1% ± 11.1%,67.5% ± 10.1%,60.7% ± 8.4%,64.6% ± 8.9%,60.9% ± 4.9%,60.6% ± 7.7%,51.8% ± 3.1%,72.0 ± 6.2,3
FedProx,58.7% ± 4.5%,59.4% ± 4.4%,73.3% ± 6.8%,73.5% ± 7.0%,59.1% ± 5.0%,65.0% ± 3.3%,61.5% ± 2.6%,59.3% ± 7.3%,51.8% ± 4.4%,74.0 ± 5.3,3
GCFL+,63.2% ± 2.3%,64.3% ± 3.3%,77.2% ± 3.5%,77.3% ± 1.6%,67.2% ± 13.6%,70.6% ± 2.9%,66.5% ± 0.6%,63.2% ± 1.6%,54.1% ± 1.0%,77.7 ± 2.5,3
FedALA-Full,61.7% ± 3.7%,62.3% ± 4.0%,69.8% ± 3.1%,70.6% ± 3.0%,63.6% ± 8.2%,68.3% ± 6.8%,63.6% ± 1.4%,62.1% ± 3.7%,54.1% ± 2.7%,79.3 ± 1.2,3
APPLE-Full,59.3% ± 3.8%,59.5% ± 4.1%,64.3% ± 5.4%,65.9% ± 7.3%,61.4% ± 9.1%,61.6% ± 5.2%,58.3% ± 3.8%,62.2% ± 5.3%,54.2% ± 1.0%,78.0 ± 2.0,3
APPLE-ALA,69.1% ± 1.9%,71.0% ± 1.4%,78.3% ± 0.7%,78.6% ± 1.1%,82.2% ± 2.9%,79.4% ± 3.3%,68.8% ± 2.1%,68.2% ± 4.9%,56.5% ± 3.4%,75.3 ± 2.9,3
APPLE-PostALA,70.9% ± 3.1%,73.1% ± 2.7%,82.7% ± 1.0%,82.4% ± 1.0%,84.4% ± 0.8%,83.8% ± 3.9%,69.9% ± 0.6%,69.4% ± 5.2%,57.9% ± 4.3%,77.3 ± 2.9,3
Local-Centralized Upper Bound,86.3% ± 1.2%,87.9% ± 1.2%,95.7% ± 0.3%,94.6% ± 0.6%,97.5% ± 1.3%,95.5% ± 1.1%,88.7% ± 3.9%,83.1% ± 1.2%,75.0% ± 2.1%,—,3
