Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,70.7% ± 2.1%,73.6% ± 1.6%,81.3% ± 0.7%,79.3% ± 0.2%,87.5% ± 1.8%,86.4% ± 0.5%,71.7% ± 2.2%,70.3% ± 2.1%,52.3% ± 3.3%,—,3
FedAvg,68.6% ± 1.5%,70.6% ± 1.5%,82.9% ± 0.6%,81.4% ± 0.8%,81.9% ± 6.6%,75.9% ± 3.2%,70.3% ± 2.2%,67.1% ± 4.5%,57.7% ± 2.5%,70.0 ± 12.1,3
FedProx,71.5% ± 4.3%,73.9% ± 4.0%,85.9% ± 1.4%,84.5% ± 1.7%,87.0% ± 3.6%,82.8% ± 5.6%,71.0% ± 1.8%,69.3% ± 4.1%,59.3% ± 5.9%,78.7 ± 1.2,3
GCFL+,71.5% ± 0.8%,73.2% ± 1.1%,86.1% ± 3.9%,85.4% ± 3.4%,80.2% ± 5.6%,82.6% ± 2.6%,72.3% ± 3.6%,71.3% ± 2.5%,59.9% ± 0.1%,67.0 ± 12.1,3
FedALA-Full,71.4% ± 1.5%,73.7% ± 1.5%,83.1% ± 4.6%,83.0% ± 4.0%,86.9% ± 1.7%,80.5% ± 5.1%,73.5% ± 1.1%,68.7% ± 1.7%,59.0% ± 1.4%,63.3 ± 7.6,3
APPLE-Full,70.4% ± 1.8%,73.0% ± 1.7%,79.3% ± 2.7%,80.2% ± 2.0%,86.8% ± 3.5%,83.7% ± 1.6%,67.3% ± 3.9%,68.9% ± 1.6%,58.2% ± 1.8%,66.0 ± 14.4,3
APPLE-ALA,71.4% ± 2.3%,74.3% ± 2.5%,84.9% ± 3.4%,83.2% ± 2.4%,90.2% ± 4.2%,84.6% ± 3.2%,73.4% ± 2.6%,67.3% ± 0.5%,56.0% ± 2.1%,74.3 ± 6.7,3
APPLE-PostALA,71.3% ± 1.3%,74.0% ± 0.9%,85.8% ± 3.2%,86.0% ± 2.8%,84.5% ± 0.8%,86.1% ± 1.4%,72.9% ± 1.3%,69.4% ± 2.2%,57.1% ± 3.5%,76.0 ± 5.3,3
Local-Centralized Upper Bound,84.7% ± 2.2%,87.1% ± 1.2%,95.3% ± 1.2%,94.1% ± 0.4%,97.4% ± 1.1%,95.3% ± 3.0%,90.7% ± 1.3%,82.2% ± 3.4%,69.8% ± 6.7%,—,3
