Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,74.5% ± 0.2%,78.1% ± 0.1%,85.8% ± 0.7%,83.5% ± 0.8%,94.2% ± 0.8%,88.8% ± 0.3%,77.7% ± 0.4%,74.7% ± 0.5%,55.1% ± 0.5%,—,3
FedAvg,70.1% ± 4.6%,72.9% ± 3.9%,84.7% ± 0.6%,82.9% ± 0.6%,88.4% ± 3.6%,82.0% ± 5.8%,69.6% ± 5.5%,67.1% ± 5.1%,57.6% ± 5.2%,75.3 ± 4.7,3
FedProx,73.3% ± 1.0%,76.3% ± 1.3%,88.0% ± 2.7%,85.8% ± 2.5%,90.7% ± 3.9%,87.8% ± 0.8%,74.5% ± 3.9%,69.8% ± 2.7%,58.9% ± 0.8%,66.3 ± 10.0,3
GCFL+,73.0% ± 1.4%,75.5% ± 1.1%,86.9% ± 3.6%,85.3% ± 4.9%,86.6% ± 4.9%,87.0% ± 1.5%,72.8% ± 2.3%,71.0% ± 5.0%,59.9% ± 1.9%,72.0 ± 10.6,3
FedALA-Full,72.3% ± 2.0%,74.6% ± 1.6%,82.7% ± 0.9%,81.9% ± 0.9%,86.4% ± 1.3%,84.8% ± 3.9%,72.6% ± 0.7%,69.3% ± 3.3%,59.7% ± 3.1%,69.3 ± 4.0,3
APPLE-Full,69.0% ± 1.1%,70.8% ± 0.7%,80.1% ± 0.4%,79.9% ± 0.8%,85.1% ± 4.4%,73.1% ± 3.9%,68.7% ± 2.6%,68.0% ± 3.2%,59.3% ± 1.9%,71.0 ± 13.9,3
APPLE-ALA,73.6% ± 2.2%,77.0% ± 1.8%,87.7% ± 2.0%,85.3% ± 2.6%,91.3% ± 1.7%,88.7% ± 1.3%,79.7% ± 2.0%,70.2% ± 3.4%,55.2% ± 2.8%,77.0 ± 4.4,3
APPLE-PostALA,73.8% ± 2.2%,76.8% ± 2.4%,87.4% ± 3.0%,85.9% ± 2.7%,89.5% ± 4.1%,88.8% ± 2.9%,75.3% ± 5.8%,72.0% ± 2.4%,58.3% ± 0.3%,72.7 ± 6.8,3
Local-Centralized Upper Bound,83.2% ± 1.0%,86.2% ± 1.0%,96.1% ± 1.0%,94.8% ± 1.4%,98.0% ± 0.9%,96.5% ± 1.6%,89.8% ± 2.4%,81.0% ± 0.8%,65.7% ± 1.7%,—,3
